dataset,regime,seed,method,status,rows
mnist,iid,42,feddf_logit,present,1
mnist,iid,42,feddf_prob,present,1
mnist,iid,42,confidence_logit,present,1
mnist,iid,42,consensus_logit,present,1
mnist,iid,42,energy_logit,present,1
mnist,iid,42,expert_logit,present,1
mnist,iid,42,oracle_logit,present,1
mnist,iid,42,expert_prob,present,1
mnist,iid,42,expert_prob_sr,present,1
mnist,iid,42,oracle_prob,present,1
mnist,iid,43,feddf_logit,present,1
mnist,iid,43,feddf_prob,present,1
mnist,iid,43,confidence_logit,present,1
mnist,iid,43,consensus_logit,present,1
mnist,iid,43,energy_logit,present,1
mnist,iid,43,expert_logit,present,1
mnist,iid,43,oracle_logit,present,1
mnist,iid,43,expert_prob,present,1
mnist,iid,43,expert_prob_sr,present,1
mnist,iid,43,oracle_prob,present,1
mnist,iid,44,feddf_logit,present,1
mnist,iid,44,feddf_prob,present,1
mnist,iid,44,confidence_logit,present,1
mnist,iid,44,consensus_logit,present,1
mnist,iid,44,energy_logit,present,1
mnist,iid,44,expert_logit,present,1
mnist,iid,44,oracle_logit,present,1
mnist,iid,44,expert_prob,present,1
mnist,iid,44,expert_prob_sr,present,1
mnist,iid,44,oracle_prob,present,1
mnist,alpha1p0,42,feddf_logit,present,1
mnist,alpha1p0,42,feddf_prob,present,1
mnist,alpha1p0,42,confidence_logit,present,1
mnist,alpha1p0,42,consensus_logit,present,1
mnist,alpha1p0,42,energy_logit,present,1
mnist,alpha1p0,42,expert_logit,present,1
mnist,alpha1p0,42,oracle_logit,present,1
mnist,alpha1p0,42,expert_prob,present,1
mnist,alpha1p0,42,expert_prob_sr,present,1
mnist,alpha1p0,42,oracle_prob,present,1
mnist,alpha1p0,43,feddf_logit,present,1
mnist,alpha1p0,43,feddf_prob,present,1
mnist,alpha1p0,43,confidence_logit,present,1
mnist,alpha1p0,43,consensus_logit,present,1
mnist,alpha1p0,43,energy_logit,present,1
mnist,alpha1p0,43,expert_logit,present,1
mnist,alpha1p0,43,oracle_logit,present,1
mnist,alpha1p0,43,expert_prob,present,1
mnist,alpha1p0,43,expert_prob_sr,present,1
mnist,alpha1p0,43,oracle_prob,present,1
mnist,alpha1p0,44,feddf_logit,present,1
mnist,alpha1p0,44,feddf_prob,present,1
mnist,alpha1p0,44,confidence_logit,present,1
mnist,alpha1p0,44,consensus_logit,present,1
mnist,alpha1p0,44,energy_logit,present,1
mnist,alpha1p0,44,expert_logit,present,1
mnist,alpha1p0,44,oracle_logit,present,1
mnist,alpha1p0,44,expert_prob,present,1
mnist,alpha1p0,44,expert_prob_sr,present,1
mnist,alpha1p0,44,oracle_prob,present,1
mnist,alpha0p5,42,feddf_logit,present,1
mnist,alpha0p5,42,feddf_prob,present,1
mnist,alpha0p5,42,confidence_logit,present,1
mnist,alpha0p5,42,consensus_logit,present,1
mnist,alpha0p5,42,energy_logit,present,1
mnist,alpha0p5,42,expert_logit,present,1
mnist,alpha0p5,42,oracle_logit,present,1
mnist,alpha0p5,42,expert_prob,present,1
mnist,alpha0p5,42,expert_prob_sr,present,1
mnist,alpha0p5,42,oracle_prob,present,1
mnist,alpha0p5,43,feddf_logit,present,1
mnist,alpha0p5,43,feddf_prob,present,1
mnist,alpha0p5,43,confidence_logit,present,1
mnist,alpha0p5,43,consensus_logit,present,1
mnist,alpha0p5,43,energy_logit,present,1
mnist,alpha0p5,43,expert_logit,present,1
mnist,alpha0p5,43,oracle_logit,present,1
mnist,alpha0p5,43,expert_prob,present,1
mnist,alpha0p5,43,expert_prob_sr,present,1
mnist,alpha0p5,43,oracle_prob,present,1
mnist,alpha0p5,44,feddf_logit,present,1
mnist,alpha0p5,44,feddf_prob,present,1
mnist,alpha0p5,44,confidence_logit,present,1
mnist,alpha0p5,44,consensus_logit,present,1
mnist,alpha0p5,44,energy_logit,present,1
mnist,alpha0p5,44,expert_logit,present,1
mnist,alpha0p5,44,oracle_logit,present,1
mnist,alpha0p5,44,expert_prob,present,1
mnist,alpha0p5,44,expert_prob_sr,present,1
mnist,alpha0p5,44,oracle_prob,present,1
mnist,alpha0p1,42,feddf_logit,present,1
mnist,alpha0p1,42,feddf_prob,present,1
mnist,alpha0p1,42,confidence_logit,present,1
mnist,alpha0p1,42,consensus_logit,present,1
mnist,alpha0p1,42,energy_logit,present,1
mnist,alpha0p1,42,expert_logit,present,1
mnist,alpha0p1,42,oracle_logit,present,1
mnist,alpha0p1,42,expert_prob,present,1
mnist,alpha0p1,42,expert_prob_sr,present,1
mnist,alpha0p1,42,oracle_prob,present,1
mnist,alpha0p1,43,feddf_logit,present,1
mnist,alpha0p1,43,feddf_prob,present,1
mnist,alpha0p1,43,confidence_logit,present,1
mnist,alpha0p1,43,consensus_logit,present,1
mnist,alpha0p1,43,energy_logit,present,1
mnist,alpha0p1,43,expert_logit,present,1
