dataset,regime,seed,method,proxy_size,batch_size,updates,examples_seen,run_id
mnist,shared_proxy,42,supervised_proxy_ce,10000,256,1200,300000,6a792410c5ba63055db3575f85b42ca16fffa14b758a2d201cd4bb1bda0dca12
mnist,shared_proxy,43,supervised_proxy_ce,10000,256,1200,300000,e69a479dabc5273740826cace6a7c5e95ed551e5d2a6588ec156444b8ca566c1
mnist,shared_proxy,44,supervised_proxy_ce,10000,256,1200,300000,5f9930aff87d271d407bcad753d8a1e416f1b2df949cd15cbf64c562ffadf4ae
fmnist,shared_proxy,42,supervised_proxy_ce,10000,256,1200,300000,49a3fb66aa97848bd80382256a0476b0fa1cdb3fc1ae43f80d83e46a7c64616c
fmnist,shared_proxy,43,supervised_proxy_ce,10000,256,1200,300000,22586331b46c794eece85deac5cf4e083b389e5b9640cf9d936f443e37847d3d
fmnist,shared_proxy,44,supervised_proxy_ce,10000,256,1200,300000,97f85f9d97baf224320013b328b44bec7def54d0aee2186ae8b9880db1a9e656
cifar,shared_proxy,42,supervised_proxy_ce,10000,256,1200,300000,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d
cifar,shared_proxy,43,supervised_proxy_ce,10000,256,1200,300000,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752
cifar,shared_proxy,44,supervised_proxy_ce,10000,256,1200,300000,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5
mnist,iid,42,expert_prob,10000,256,1200,300000,9bc82c354ac078be
mnist,alpha1p0,42,expert_prob,10000,256,1200,300000,1d5cb3fb595a35f8
mnist,alpha0p5,42,expert_prob,10000,256,1200,300000,f2209cbb09508377
mnist,alpha0p1,42,expert_prob,10000,256,1200,300000,d9427415fddfb7dc
mnist,multi,42,expert_prob,10000,256,1200,300000,d2eabc31aba5005e
mnist,single,42,expert_prob,10000,256,1200,300000,9cf5cccd877e965c
mnist,iid,43,expert_prob,10000,256,1200,300000,a32a4765a0f13177
mnist,alpha1p0,43,expert_prob,10000,256,1200,300000,79c4344e2806e503
mnist,alpha0p5,43,expert_prob,10000,256,1200,300000,133745d7ef97778c
mnist,alpha0p1,43,expert_prob,10000,256,1200,300000,d78a0dac27b97e4e
mnist,multi,43,expert_prob,10000,256,1200,300000,d42eca86862ebedd
mnist,single,43,expert_prob,10000,256,1200,300000,27fb114f3b7d7acc
mnist,iid,44,expert_prob,10000,256,1200,300000,ed9d70c5453f65bd
mnist,alpha1p0,44,expert_prob,10000,256,1200,300000,18a721009ab5f2f6
mnist,alpha0p5,44,expert_prob,10000,256,1200,300000,23eaac99842b9e84
mnist,alpha0p1,44,expert_prob,10000,256,1200,300000,cc4acf0198322c91
mnist,multi,44,expert_prob,10000,256,1200,300000,514513f25daa1b3d
mnist,single,44,expert_prob,10000,256,1200,300000,0c88e9d2da5109c1
fmnist,iid,42,expert_prob,10000,256,1200,300000,a893354e6047afe2
fmnist,alpha1p0,42,expert_prob,10000,256,1200,300000,be206107d3b9963a
fmnist,alpha0p5,42,expert_prob,10000,256,1200,300000,a94e698fa3ce41b2
fmnist,alpha0p1,42,expert_prob,10000,256,1200,300000,f003b578acbead11
fmnist,multi,42,expert_prob,10000,256,1200,300000,1ae17f261134557f
fmnist,single,42,expert_prob,10000,256,1200,300000,d167fc214edc5c68
fmnist,iid,43,expert_prob,10000,256,1200,300000,9f917542ec1bb40f
fmnist,alpha1p0,43,expert_prob,10000,256,1200,300000,b98312a1293a366c
fmnist,alpha0p5,43,expert_prob,10000,256,1200,300000,a9382d7e110e1b4f
fmnist,alpha0p1,43,expert_prob,10000,256,1200,300000,89b7a98af918a190
fmnist,multi,43,expert_prob,10000,256,1200,300000,938891f0341da58b
fmnist,single,43,expert_prob,10000,256,1200,300000,e73aba17d579b084
fmnist,iid,44,expert_prob,10000,256,1200,300000,fdee26de7f721f8c
fmnist,alpha1p0,44,expert_prob,10000,256,1200,300000,81815007cc97fb81
fmnist,alpha0p5,44,expert_prob,10000,256,1200,300000,4fe5e732841bca5c
fmnist,alpha0p1,44,expert_prob,10000,256,1200,300000,0319b4e50dba203c
fmnist,multi,44,expert_prob,10000,256,1200,300000,393db1feef47cf9d
fmnist,single,44,expert_prob,10000,256,1200,300000,ab8e9ca45adc2256
