dataset,regime,mean,sd,n,seeds,contrast,metric
cifar,alpha0p1,0.3893333333333333,0.11142640321455835,3,"42,43,44",selection_logit,student_test_accuracy
cifar,alpha0p5,0.09859999999999998,0.0309917731019056,3,"42,43,44",selection_logit,student_test_accuracy
cifar,alpha1p0,0.03639999999999999,0.005257375771237957,3,"42,43,44",selection_logit,student_test_accuracy
cifar,iid,0.013466666666666627,0.00785005307837684,3,"42,43,44",selection_logit,student_test_accuracy
cifar,multi,0.3833,0.0733405072248618,3,"42,43,44",selection_logit,student_test_accuracy
cifar,single,0.6888666666666666,0.009096336258809517,3,"42,43,44",selection_logit,student_test_accuracy
fmnist,alpha0p1,0.3462666666666667,0.14108339141562107,3,"42,43,44",selection_logit,student_test_accuracy
fmnist,alpha0p5,0.04299999999999996,0.013390668392578471,3,"42,43,44",selection_logit,student_test_accuracy
fmnist,alpha1p0,0.02673333333333335,0.014453488621551994,3,"42,43,44",selection_logit,student_test_accuracy
fmnist,iid,0.005699999999999965,0.002351595203260989,3,"42,43,44",selection_logit,student_test_accuracy
fmnist,multi,0.6921666666666667,0.0070995305009087266,3,"42,43,44",selection_logit,student_test_accuracy
fmnist,single,0.7995,0.012813664581219478,3,"42,43,44",selection_logit,student_test_accuracy
mnist,alpha0p1,0.2924,0.1796969949665269,3,"42,43,44",selection_logit,student_test_accuracy
mnist,alpha0p5,0.022133333333333338,0.011735558501125246,3,"42,43,44",selection_logit,student_test_accuracy
mnist,alpha1p0,0.004466666666666656,0.0010598742063723625,3,"42,43,44",selection_logit,student_test_accuracy
mnist,iid,0.0012000000000000528,0.000458257569495582,3,"42,43,44",selection_logit,student_test_accuracy
mnist,multi,0.5885,0.032884494826589644,3,"42,43,44",selection_logit,student_test_accuracy
mnist,single,0.8848666666666668,0.00035118845842838596,3,"42,43,44",selection_logit,student_test_accuracy
cifar,alpha0p1,-0.8910725119908648,0.4787226842638009,3,"42,43,44",selection_logit,student_test_nll
cifar,alpha0p5,-0.22227971092859902,0.09865375089210539,3,"42,43,44",selection_logit,student_test_nll
cifar,alpha1p0,-0.07376400828361511,0.021432562357377127,3,"42,43,44",selection_logit,student_test_nll
cifar,iid,-0.032608476734161375,0.04386677170201871,3,"42,43,44",selection_logit,student_test_nll
cifar,multi,-0.3780147130330403,0.1600936605967371,3,"42,43,44",selection_logit,student_test_nll
cifar,single,-0.9729657333374022,0.40320502933717717,3,"42,43,44",selection_logit,student_test_nll
fmnist,alpha0p1,-1.2319609526157378,1.118123335086249,3,"42,43,44",selection_logit,student_test_nll
fmnist,alpha0p5,-0.08622791504859924,0.027204633426511065,3,"42,43,44",selection_logit,student_test_nll
fmnist,alpha1p0,-0.061636275446414944,0.030287890323702615,3,"42,43,44",selection_logit,student_test_nll
fmnist,iid,-0.019820734941959333,0.005726212109094969,3,"42,43,44",selection_logit,student_test_nll
fmnist,multi,-5.335272782262166,1.2912121200157396,3,"42,43,44",selection_logit,student_test_nll
fmnist,single,-5.437081506093342,1.320612063984185,3,"42,43,44",selection_logit,student_test_nll
mnist,alpha0p1,-1.04804011144444,0.6637146629042519,3,"42,43,44",selection_logit,student_test_nll
mnist,alpha0p5,-0.06799199157068507,0.03360872140807185,3,"42,43,44",selection_logit,student_test_nll
mnist,alpha1p0,-0.015633262522006402,0.0038239303357586346,3,"42,43,44",selection_logit,student_test_nll
mnist,iid,-0.0043135007072239995,0.000633238548537729,3,"42,43,44",selection_logit,student_test_nll
mnist,multi,-3.3705556056374957,0.2237164044462211,3,"42,43,44",selection_logit,student_test_nll
mnist,single,-5.910887008750194,2.4186146921188416,3,"42,43,44",selection_logit,student_test_nll
cifar,alpha0p1,0.6114333333333334,0.09629747314095698,3,"42,43,44",selection_logit,target_accuracy
cifar,alpha0p5,0.30440000000000006,0.031869891747541304,3,"42,43,44",selection_logit,target_accuracy
cifar,alpha1p0,0.21173333333333333,0.0071932839046803315,3,"42,43,44",selection_logit,target_accuracy
cifar,iid,0.1628666666666667,0.008434650753489113,3,"42,43,44",selection_logit,target_accuracy
cifar,multi,0.5846333333333333,0.05032020800168993,3,"42,43,44",selection_logit,target_accuracy
cifar,single,0.9026000000000001,0.01695553007133657,3,"42,43,44",selection_logit,target_accuracy
fmnist,alpha0p1,0.42040000000000005,0.1559194984599425,3,"42,43,44",selection_logit,target_accuracy
fmnist,alpha0p5,0.12413333333333336,0.014174742796020452,3,"42,43,44",selection_logit,target_accuracy
fmnist,alpha1p0,0.10246666666666666,0.009045625093564989,3,"42,43,44",selection_logit,target_accuracy
fmnist,iid,0.0716666666666667,0.0014571661996262994,3,"42,43,44",selection_logit,target_accuracy
fmnist,multi,0.7907333333333333,0.0051733290377989054,3,"42,43,44",selection_logit,target_accuracy
fmnist,single,0.8966333333333334,0.00781430312525262,3,"42,43,44",selection_logit,target_accuracy
mnist,alpha0p1,0.28950000000000004,0.1735857425020846,3,"42,43,44",selection_logit,target_accuracy
mnist,alpha0p5,0.03533333333333336,0.015695009822658083,3,"42,43,44",selection_logit,target_accuracy
mnist,alpha1p0,0.01666666666666668,0.002154839514519235,3,"42,43,44",selection_logit,target_accuracy
mnist,iid,0.011399999999999966,0.000500000000000056,3,"42,43,44",selection_logit,target_accuracy
mnist,multi,0.6011666666666666,0.04122891380249221,3,"42,43,44",selection_logit,target_accuracy
mnist,single,0.9000333333333334,5.7735026918956215e-05,3,"42,43,44",selection_logit,target_accuracy
cifar,alpha0p1,-0.9675708902426283,0.048108134870786586,3,"42,43,44",selection_logit,target_nll
cifar,alpha0p5,-0.3484580614744177,0.03787788474594258,3,"42,43,44",selection_logit,target_nll
cifar,alpha1p0,-0.20324803980189587,0.038185594205459875,3,"42,43,44",selection_logit,target_nll
cifar,iid,-0.08687721106214623,0.008627779495298811,3,"42,43,44",selection_logit,target_nll
cifar,multi,-1.415477769791302,0.0328113754915391,3,"42,43,44",selection_logit,target_nll
cifar,single,-1.9894396060231527,0.005719723729245979,3,"42,43,44",selection_logit,target_nll
fmnist,alpha0p1,-1.0382655692915346,0.18362197991972834,3,"42,43,44",selection_logit,target_nll
