dataset,regime,mean,sd,n,metric,seeds
cifar,alpha0p1,0.7637,0.01380434714138984,3,student_test_accuracy_left,"42,43,44"
cifar,alpha0p5,0.7538,0.006668583057891646,3,student_test_accuracy_left,"42,43,44"
cifar,alpha1p0,0.7555666666666667,0.013588352855785506,3,student_test_accuracy_left,"42,43,44"
cifar,iid,0.7528333333333334,0.007105866121264426,3,student_test_accuracy_left,"42,43,44"
cifar,multi,0.7509666666666668,0.014656511635902066,3,student_test_accuracy_left,"42,43,44"
cifar,single,0.7876,0.012492797925204746,3,student_test_accuracy_left,"42,43,44"
fmnist,alpha0p1,0.8952666666666667,0.0021079215671683336,3,student_test_accuracy_left,"42,43,44"
fmnist,alpha0p5,0.8889666666666667,0.009360733589486086,3,student_test_accuracy_left,"42,43,44"
fmnist,alpha1p0,0.8874666666666666,0.0007023769168568444,3,student_test_accuracy_left,"42,43,44"
fmnist,iid,0.8880666666666667,0.0011150485789118512,3,student_test_accuracy_left,"42,43,44"
fmnist,multi,0.9003,0.0035000000000000447,3,student_test_accuracy_left,"42,43,44"
fmnist,single,0.9029666666666666,0.003516153201061239,3,student_test_accuracy_left,"42,43,44"
mnist,alpha0p1,0.9869666666666667,0.0013576941236277142,3,student_test_accuracy_left,"42,43,44"
mnist,alpha0p5,0.9805999999999999,0.0020952326839757643,3,student_test_accuracy_left,"42,43,44"
mnist,alpha1p0,0.9822666666666667,0.0007023769168568444,3,student_test_accuracy_left,"42,43,44"
mnist,iid,0.9842333333333334,0.0012220201853215562,3,student_test_accuracy_left,"42,43,44"
mnist,multi,0.988,0.0010000000000000009,3,student_test_accuracy_left,"42,43,44"
mnist,single,0.9870333333333333,0.0014224392195567686,3,student_test_accuracy_left,"42,43,44"
cifar,alpha0p1,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,alpha0p5,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,alpha1p0,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,iid,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,multi,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,single,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
fmnist,alpha0p1,0.8977333333333334,0.0036004629331980605,3,student_test_accuracy_right,"42,43,44"
fmnist,alpha0p5,0.8977333333333334,0.0036004629331980605,3,student_test_accuracy_right,"42,43,44"
fmnist,alpha1p0,0.8977333333333334,0.0036004629331980605,3,student_test_accuracy_right,"42,43,44"
fmnist,iid,0.8977333333333334,0.0036004629331980605,3,student_test_accuracy_right,"42,43,44"
fmnist,multi,0.8977333333333334,0.0036004629331980605,3,student_test_accuracy_right,"42,43,44"
fmnist,single,0.8977333333333334,0.0036004629331980605,3,student_test_accuracy_right,"42,43,44"
mnist,alpha0p1,0.9862333333333334,0.0024110855093366548,3,student_test_accuracy_right,"42,43,44"
mnist,alpha0p5,0.9862333333333334,0.0024110855093366548,3,student_test_accuracy_right,"42,43,44"
mnist,alpha1p0,0.9862333333333334,0.0024110855093366548,3,student_test_accuracy_right,"42,43,44"
mnist,iid,0.9862333333333334,0.0024110855093366548,3,student_test_accuracy_right,"42,43,44"
mnist,multi,0.9862333333333334,0.0024110855093366548,3,student_test_accuracy_right,"42,43,44"
mnist,single,0.9862333333333334,0.0024110855093366548,3,student_test_accuracy_right,"42,43,44"
cifar,alpha0p1,1.0287244489034018,0.114196087682547,3,student_test_nll_left,"42,43,44"
cifar,alpha0p5,0.7905251474380494,0.04696149873028215,3,student_test_nll_left,"42,43,44"
cifar,alpha1p0,0.7653777619361878,0.032505810397819856,3,student_test_nll_left,"42,43,44"
cifar,iid,0.7622028363068899,0.03330426301216335,3,student_test_nll_left,"42,43,44"
cifar,multi,1.5757289653778077,0.011195816525286222,3,student_test_nll_left,"42,43,44"
cifar,single,1.7122937920888266,0.1426934242825896,3,student_test_nll_left,"42,43,44"
fmnist,alpha0p1,0.5095045478343964,0.04843120629375058,3,student_test_nll_left,"42,43,44"
fmnist,alpha0p5,0.3847650167544683,0.028209385916070945,3,student_test_nll_left,"42,43,44"
fmnist,alpha1p0,0.3773205910523732,0.011114662145762661,3,student_test_nll_left,"42,43,44"
fmnist,iid,0.3470316455006599,0.016322708776879694,3,student_test_nll_left,"42,43,44"
fmnist,multi,1.7003504521687827,0.09190880606857445,3,student_test_nll_left,"42,43,44"
fmnist,single,2.937379565684001,0.25859788535892364,3,student_test_nll_left,"42,43,44"
mnist,alpha0p1,0.04949297057037083,0.006972355442255566,3,student_test_nll_left,"42,43,44"
mnist,alpha0p5,0.06364837871105793,0.00893402320872787,3,student_test_nll_left,"42,43,44"
mnist,alpha1p0,0.05402782554372673,0.003441990483727114,3,student_test_nll_left,"42,43,44"
mnist,iid,0.04989531125399901,0.004888381992670253,3,student_test_nll_left,"42,43,44"
mnist,multi,0.1157144559480948,0.016097158387024812,3,student_test_nll_left,"42,43,44"
mnist,single,0.30366416846538197,0.03408168217427896,3,student_test_nll_left,"42,43,44"
cifar,alpha0p1,0.8753860672314961,0.026469024248099174,3,student_test_nll_right,"42,43,44"
cifar,alpha0p5,0.8753860672314961,0.026469024248099174,3,student_test_nll_right,"42,43,44"
cifar,alpha1p0,0.8753860672314961,0.026469024248099174,3,student_test_nll_right,"42,43,44"
cifar,iid,0.8753860672314961,0.026469024248099174,3,student_test_nll_right,"42,43,44"
cifar,multi,0.8753860672314961,0.026469024248099174,3,student_test_nll_right,"42,43,44"
cifar,single,0.8753860672314961,0.026469024248099174,3,student_test_nll_right,"42,43,44"
fmnist,alpha0p1,0.39627337088584896,0.046188835647818144,3,student_test_nll_right,"42,43,44"
fmnist,alpha0p5,0.39627337088584896,0.046188835647818144,3,student_test_nll_right,"42,43,44"
fmnist,alpha1p0,0.39627337088584896,0.046188835647818144,3,student_test_nll_right,"42,43,44"
fmnist,iid,0.39627337088584896,0.046188835647818144,3,student_test_nll_right,"42,43,44"
fmnist,multi,0.39627337088584896,0.046188835647818144,3,student_test_nll_right,"42,43,44"
fmnist,single,0.39627337088584896,0.046188835647818144,3,student_test_nll_right,"42,43,44"
mnist,alpha0p1,0.049376982656603,0.006223197511901212,3,student_test_nll_right,"42,43,44"
mnist,alpha0p5,0.049376982656603,0.006223197511901212,3,student_test_nll_right,"42,43,44"
mnist,alpha1p0,0.049376982656603,0.006223197511901212,3,student_test_nll_right,"42,43,44"
mnist,iid,0.049376982656603,0.006223197511901212,3,student_test_nll_right,"42,43,44"
mnist,multi,0.049376982656603,0.006223197511901212,3,student_test_nll_right,"42,43,44"
mnist,single,0.049376982656603,0.006223197511901212,3,student_test_nll_right,"42,43,44"
cifar,alpha0p1,-0.02643333333333331,0.010488247390929222,3,delta_student_test_accuracy,"42,43,44"
cifar,alpha0p5,-0.03633333333333333,0.00797767718909036,3,delta_student_test_accuracy,"42,43,44"
cifar,alpha1p0,-0.03456666666666667,0.010824201279232316,3,delta_student_test_accuracy,"42,43,44"
cifar,iid,-0.037299999999999965,0.008853812738024191,3,delta_student_test_accuracy,"42,43,44"
cifar,multi,-0.03916666666666661,0.01657417670152375,3,delta_student_test_accuracy,"42,43,44"
cifar,single,-0.0025333333333333505,0.012897415761823497,3,delta_student_test_accuracy,"42,43,44"
fmnist,alpha0p1,-0.002466666666666654,0.00409918691124634,3,delta_student_test_accuracy,"42,43,44"
fmnist,alpha0p5,-0.008766666666666664,0.012093110986563063,3,delta_student_test_accuracy,"42,43,44"
fmnist,alpha1p0,-0.010266666666666683,0.0029022979401387146,3,delta_student_test_accuracy,"42,43,44"
fmnist,iid,-0.009666666666666676,0.004499259198282858,3,delta_student_test_accuracy,"42,43,44"
fmnist,multi,0.00256666666666668,0.0012897028081435217,3,delta_student_test_accuracy,"42,43,44"
fmnist,single,0.005233333333333312,0.0010408329997330585,3,delta_student_test_accuracy,"42,43,44"
mnist,alpha0p1,0.0007333333333332895,0.0034645827069552204,3,delta_student_test_accuracy,"42,43,44"
mnist,alpha0p5,-0.005633333333333379,0.003774034092762524,3,delta_student_test_accuracy,"42,43,44"
mnist,alpha1p0,-0.003966666666666711,0.0021571586249817835,3,delta_student_test_accuracy,"42,43,44"
mnist,iid,-0.0020000000000000386,0.0024331050121193395,3,delta_student_test_accuracy,"42,43,44"
mnist,multi,0.0017666666666666202,0.002968725877094988,3,delta_student_test_accuracy,"42,43,44"
mnist,single,0.0007999999999999859,0.0013892443989449914,3,delta_student_test_accuracy,"42,43,44"
cifar,alpha0p1,0.15333838167190558,0.1069325794748469,3,delta_student_test_nll,"42,43,44"
cifar,alpha0p5,-0.08486091979344686,0.06848185760212609,3,delta_student_test_nll,"42,43,44"
cifar,alpha1p0,-0.1100083052953084,0.0502913090627294,3,delta_student_test_nll,"42,43,44"
cifar,iid,-0.11318323092460625,0.05442494716749966,3,delta_student_test_nll,"42,43,44"
cifar,multi,0.7003428981463115,0.015458782073749757,3,delta_student_test_nll,"42,43,44"
cifar,single,0.8369077248573306,0.1661545261678175,3,delta_student_test_nll,"42,43,44"
fmnist,alpha0p1,0.11323117694854741,0.0540312853229262,3,delta_student_test_nll,"42,43,44"
fmnist,alpha0p5,-0.011508354131380702,0.07193131276225884,3,delta_student_test_nll,"42,43,44"
fmnist,alpha1p0,-0.018952779833475746,0.03821347054364155,3,delta_student_test_nll,"42,43,44"
fmnist,iid,-0.049241725385189006,0.04392721344865758,3,delta_student_test_nll,"42,43,44"
fmnist,multi,1.3040770812829336,0.08954695834869365,3,delta_student_test_nll,"42,43,44"
fmnist,single,2.5411061947981515,0.2474605845690669,3,delta_student_test_nll,"42,43,44"
mnist,alpha0p1,0.0001159879137678325,0.011248251253915816,3,delta_student_test_nll,"42,43,44"
mnist,alpha0p5,0.01427139605445493,0.007420707590594181,3,delta_student_test_nll,"42,43,44"
mnist,alpha1p0,0.004650842887123731,0.003912097369713519,3,delta_student_test_nll,"42,43,44"
mnist,iid,0.0005183285973959992,0.005764523217952348,3,delta_student_test_nll,"42,43,44"
mnist,multi,0.0663374732914918,0.021112531505454335,3,delta_student_test_nll,"42,43,44"
mnist,single,0.2542871858087789,0.038305623800033654,3,delta_student_test_nll,"42,43,44"
