dataset,regime,seed,method,proxy_size,status
cifar,shared_proxy,42,supervised_proxy_ce,100,present
cifar,shared_proxy,42,supervised_proxy_ce,500,present
cifar,shared_proxy,42,supervised_proxy_ce,1000,present
cifar,shared_proxy,42,supervised_proxy_ce,5000,present
cifar,shared_proxy,42,supervised_proxy_ce,10000,present
cifar,shared_proxy,43,supervised_proxy_ce,100,present
cifar,shared_proxy,43,supervised_proxy_ce,500,present
cifar,shared_proxy,43,supervised_proxy_ce,1000,present
cifar,shared_proxy,43,supervised_proxy_ce,5000,present
cifar,shared_proxy,43,supervised_proxy_ce,10000,present
cifar,shared_proxy,44,supervised_proxy_ce,100,present
cifar,shared_proxy,44,supervised_proxy_ce,500,present
cifar,shared_proxy,44,supervised_proxy_ce,1000,present
cifar,shared_proxy,44,supervised_proxy_ce,5000,present
cifar,shared_proxy,44,supervised_proxy_ce,10000,present
cifar,iid,42,expert_prob,100,present
cifar,iid,42,expert_prob,500,present
cifar,iid,42,expert_prob,1000,present
cifar,iid,42,expert_prob,5000,present
cifar,iid,42,expert_prob,10000,present
cifar,iid,43,expert_prob,100,present
cifar,iid,43,expert_prob,500,present
cifar,iid,43,expert_prob,1000,present
cifar,iid,43,expert_prob,5000,present
cifar,iid,43,expert_prob,10000,present
cifar,iid,44,expert_prob,100,present
cifar,iid,44,expert_prob,500,present
cifar,iid,44,expert_prob,1000,present
cifar,iid,44,expert_prob,5000,present
cifar,iid,44,expert_prob,10000,present
cifar,alpha0p1,42,expert_prob,100,present
cifar,alpha0p1,42,expert_prob,500,present
cifar,alpha0p1,42,expert_prob,1000,present
cifar,alpha0p1,42,expert_prob,5000,present
cifar,alpha0p1,42,expert_prob,10000,present
cifar,alpha0p1,43,expert_prob,100,present
cifar,alpha0p1,43,expert_prob,500,present
cifar,alpha0p1,43,expert_prob,1000,present
cifar,alpha0p1,43,expert_prob,5000,present
cifar,alpha0p1,43,expert_prob,10000,present
cifar,alpha0p1,44,expert_prob,100,present
cifar,alpha0p1,44,expert_prob,500,present
cifar,alpha0p1,44,expert_prob,1000,present
cifar,alpha0p1,44,expert_prob,5000,present
cifar,alpha0p1,44,expert_prob,10000,present
cifar,single,42,expert_prob,100,present
cifar,single,42,expert_prob,500,present
cifar,single,42,expert_prob,1000,present
cifar,single,42,expert_prob,5000,present
cifar,single,42,expert_prob,10000,present
cifar,single,43,expert_prob,100,present
cifar,single,43,expert_prob,500,present
cifar,single,43,expert_prob,1000,present
cifar,single,43,expert_prob,5000,present
cifar,single,43,expert_prob,10000,present
cifar,single,44,expert_prob,100,present
cifar,single,44,expert_prob,500,present
cifar,single,44,expert_prob,1000,present
cifar,single,44,expert_prob,5000,present
cifar,single,44,expert_prob,10000,present
