dataset,seed,proxy_size,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,regime
cifar,42,100,expert_prob,supervised_proxy_ce,da7b6ec3376d2c08,3190d167404745bc509343a87d34eebe5d3b6ac0d91cf99f6dacd194f80e27d2,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.4146,0.3383,0.07630000000000003,1.9504141399383543,2.8901977760314943,-0.93978363609314,iid
cifar,42,500,expert_prob,supervised_proxy_ce,54137279e4a9b224,8588a035240f3e55cc608d8502f0a5dd28526507f2be33057aec4d53bba595af,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.5777,0.4602,0.1175,1.228393250656128,2.269878453063965,-1.041485202407837,iid
cifar,42,1000,expert_prob,supervised_proxy_ce,b94ba5ca2553bfc5,25c35af941cbfc761e2daf27bb6e78580600ef827a220c61f0fe1b57cab972c3,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.6417,0.5467,0.09500000000000008,1.0688322467803957,1.8780779983520508,-0.8092457515716551,iid
cifar,42,5000,expert_prob,supervised_proxy_ce,8dfd89bf4b4933ff,d7c5b54faf0ee7155969a97c2e17988830842bfd5ed7ccfda682067a4aaeb488,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.7404,0.7269,0.013499999999999956,0.8116266550064087,1.178120182800293,-0.3664935277938842,iid
cifar,42,10000,expert_prob,supervised_proxy_ce,b25818fe5626557a,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,results_baseline.csv|results_expertise.csv,results_supervised_proxy.csv,0.7475,0.7938,-0.0462999999999999,0.8006440430164338,0.8560695510864258,-0.055425508069992024,iid
cifar,43,100,expert_prob,supervised_proxy_ce,54be8f024e49d19e,f0d05d7d758b709ca01be4ebab7177c8e819a1f7561e33f01c01c46e980675ac,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.4027,0.3285,0.07419999999999999,1.8994731769561768,3.044557247543335,-1.145084070587158,iid
cifar,43,500,expert_prob,supervised_proxy_ce,f49202f7a420bfc2,450e462119cb17304e21faa68f811d1e5c52cf02f38f316c95121c157a695aa9,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.5822,0.4772,0.10500000000000004,1.193147322845459,2.2077495231628417,-1.0146022003173827,iid
cifar,43,1000,expert_prob,supervised_proxy_ce,afeee36440d91f3c,b53329337dec2e2d74ae59e1cfc8526cdac0d3c9c5e10f4306a2c2a48da5cd41,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.6511,0.5494,0.10170000000000001,1.0283697640419007,2.050018885421753,-1.0216491213798522,iid
cifar,43,5000,expert_prob,supervised_proxy_ce,7a4195884a26de7f,c3cbb69fb5477a426c5f3fac47c6578b5e3fcb06cf655bb618f41b0df5726d2b,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.7328,0.7301,0.0027000000000000357,0.8376020664215088,1.2131696081161498,-0.375567541694641,iid
cifar,43,10000,expert_prob,supervised_proxy_ce,732fa36ec846a6f7,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,results_baseline.csv|results_expertise.csv,results_supervised_proxy.csv,0.7609,0.7895,-0.02859999999999996,0.742044600391388,0.9055568433761596,-0.16351224298477163,iid
cifar,44,100,expert_prob,supervised_proxy_ce,2adfeaea012ffc17,32f68ec1925440db9cabf3ee078a8438df26b658587de1040cdf76a952e07ae3,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.4097,0.3229,0.08679999999999999,1.823207033920288,2.986520663070679,-1.163313629150391,iid
cifar,44,500,expert_prob,supervised_proxy_ce,c418af63128e3e69,aa3db1f22e84b901e59edcce5f009d15815887a6c7b9c6dd0debe41e58138b51,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.5723,0.4684,0.10390000000000005,1.1808553525924683,2.260470207977295,-1.0796148553848268,iid
cifar,44,1000,expert_prob,supervised_proxy_ce,85e3d7f32064152a,5f7d74246d0e567e82f2ee2f096e75b7a55bb28a0408f99c1b8263bd37d2ab3d,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.6609,0.5453,0.11560000000000004,0.9701654594421388,2.0318697334289557,-1.061704273986817,iid
cifar,44,5000,expert_prob,supervised_proxy_ce,0c0d42c1537f3b45,81888981caf8bf3e9cae0c2e32c58d8c1bd65fcfbc2b6c702cc9ec3ee3e93350,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.7386,0.7269,0.011700000000000044,0.7768108817100525,1.2266300662994385,-0.44981918458938597,iid
cifar,44,10000,expert_prob,supervised_proxy_ce,f048d10da4d4f8c5,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,results_baseline.csv|results_expertise.csv,results_supervised_proxy.csv,0.7501,0.7871,-0.03700000000000003,0.7439198655128479,0.864531807231903,-0.1206119417190551,iid
cifar,42,100,expert_prob,supervised_proxy_ce,70198bce1d864354,3190d167404745bc509343a87d34eebe5d3b6ac0d91cf99f6dacd194f80e27d2,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.3374,0.3383,-0.0009000000000000119,2.6688959365844727,2.8901977760314943,-0.22130183944702164,alpha0p1
cifar,42,500,expert_prob,supervised_proxy_ce,fee8296ad0b5432a,8588a035240f3e55cc608d8502f0a5dd28526507f2be33057aec4d53bba595af,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.4852,0.4602,0.025000000000000022,1.8862363456726077,2.269878453063965,-0.3836421073913572,alpha0p1
cifar,42,1000,expert_prob,supervised_proxy_ce,640c473b279cba58,25c35af941cbfc761e2daf27bb6e78580600ef827a220c61f0fe1b57cab972c3,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.5653,0.5467,0.01860000000000006,1.634368112564087,1.8780779983520508,-0.24370988578796382,alpha0p1
cifar,42,5000,expert_prob,supervised_proxy_ce,6538e442d6f29345,d7c5b54faf0ee7155969a97c2e17988830842bfd5ed7ccfda682067a4aaeb488,results_proxy_size_expert_prob.csv,results_proxy_size_expert_prob.csv,0.7165,0.7269,-0.010399999999999965,1.239797230529785,1.178120182800293,0.06167704772949212,alpha0p1
