dataset,regime,proxy_size,mean,sd,n,metric,seeds
cifar,alpha0p1,100,0.3292333333333333,0.025356327284000186,3,student_test_accuracy_left,"42,43,44"
cifar,alpha0p1,500,0.4808666666666667,0.008746046725997592,3,student_test_accuracy_left,"42,43,44"
cifar,alpha0p1,1000,0.5589333333333334,0.01810975795899362,3,student_test_accuracy_left,"42,43,44"
cifar,alpha0p1,5000,0.7043666666666667,0.01905841896205798,3,student_test_accuracy_left,"42,43,44"
cifar,alpha0p1,10000,0.7637,0.01380434714138984,3,student_test_accuracy_left,"42,43,44"
cifar,iid,100,0.40900000000000003,0.005980802621722282,3,student_test_accuracy_left,"42,43,44"
cifar,iid,500,0.5774,0.004956813492557498,3,student_test_accuracy_left,"42,43,44"
cifar,iid,1000,0.6512333333333333,0.009600694419328855,3,student_test_accuracy_left,"42,43,44"
cifar,iid,5000,0.7372666666666667,0.003971565602295025,3,student_test_accuracy_left,"42,43,44"
cifar,iid,10000,0.7528333333333334,0.007105866121264426,3,student_test_accuracy_left,"42,43,44"
cifar,single,100,0.3308,0.00780448588953811,3,student_test_accuracy_left,"42,43,44"
cifar,single,500,0.4972666666666667,0.007266590213665091,3,student_test_accuracy_left,"42,43,44"
cifar,single,1000,0.5764,0.009488413987595649,3,student_test_accuracy_left,"42,43,44"
cifar,single,5000,0.7352666666666666,0.011135678395739222,3,student_test_accuracy_left,"42,43,44"
cifar,single,10000,0.7876,0.012492797925204746,3,student_test_accuracy_left,"42,43,44"
cifar,alpha0p1,100,0.3299,0.007794870107962036,3,student_test_accuracy_right,"42,43,44"
cifar,alpha0p1,500,0.46859999999999996,0.008501764522732921,3,student_test_accuracy_right,"42,43,44"
cifar,alpha0p1,1000,0.5471333333333334,0.0020840665376453934,3,student_test_accuracy_right,"42,43,44"
cifar,alpha0p1,5000,0.7279666666666667,0.0018475208614068073,3,student_test_accuracy_right,"42,43,44"
cifar,alpha0p1,10000,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,iid,100,0.3299,0.007794870107962036,3,student_test_accuracy_right,"42,43,44"
cifar,iid,500,0.46859999999999996,0.008501764522732921,3,student_test_accuracy_right,"42,43,44"
cifar,iid,1000,0.5471333333333334,0.0020840665376453934,3,student_test_accuracy_right,"42,43,44"
cifar,iid,5000,0.7279666666666667,0.0018475208614068073,3,student_test_accuracy_right,"42,43,44"
cifar,iid,10000,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,single,100,0.3299,0.007794870107962036,3,student_test_accuracy_right,"42,43,44"
cifar,single,500,0.46859999999999996,0.008501764522732921,3,student_test_accuracy_right,"42,43,44"
cifar,single,1000,0.5471333333333334,0.0020840665376453934,3,student_test_accuracy_right,"42,43,44"
cifar,single,5000,0.7279666666666667,0.0018475208614068073,3,student_test_accuracy_right,"42,43,44"
cifar,single,10000,0.7901333333333334,0.0033946035605550732,3,student_test_accuracy_right,"42,43,44"
cifar,alpha0p1,100,2.9848738366444905,0.29040725033211134,3,student_test_nll_left,"42,43,44"
cifar,alpha0p1,500,2.120852924346924,0.21826562047288403,3,student_test_nll_left,"42,43,44"
cifar,alpha0p1,1000,1.8864406249364218,0.26732521250235375,3,student_test_nll_left,"42,43,44"
cifar,alpha0p1,5000,1.3264150243759154,0.10634755840890986,3,student_test_nll_left,"42,43,44"
cifar,alpha0p1,10000,1.0287244489034018,0.114196087682547,3,student_test_nll_left,"42,43,44"
cifar,iid,100,1.8910314502716064,0.06402233217741783,3,student_test_nll_left,"42,43,44"
