dataset,regime,seed,count,mean,std,min,25%,50%,75%,max
cifar,alpha0p1,42,24.0,316.6666666666667,259.7978589908544,13.0,48.5,289.0,477.5,761.0
cifar,alpha0p1,43,24.0,297.5416666666667,210.36716952626603,8.0,135.75,282.0,399.25,743.0
cifar,alpha0p1,44,30.0,246.03333333333333,151.80102296991495,18.0,112.25,264.0,362.5,523.0
cifar,alpha0p5,42,40.0,163.7,114.71194693331105,29.0,80.0,129.5,206.75,459.0
cifar,alpha0p5,43,36.0,170.36111111111111,116.15215458988705,29.0,81.25,118.0,234.25,452.0
cifar,alpha0p5,44,40.0,162.925,104.56708986125264,44.0,84.75,123.0,220.0,451.0
cifar,alpha1p0,42,41.0,134.5121951219512,83.62688621227612,25.0,82.0,112.0,149.0,348.0
cifar,alpha1p0,43,39.0,118.7948717948718,61.00999895926443,40.0,71.0,109.0,152.0,288.0
cifar,alpha1p0,44,40.0,136.075,74.87541361556919,22.0,77.0,137.0,180.25,323.0
cifar,iid,42,55.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
cifar,iid,43,47.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
cifar,iid,44,52.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
cifar,multi,42,20.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0
cifar,multi,43,20.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0
cifar,multi,44,20.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0
cifar,single,42,10.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0
cifar,single,43,10.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0
cifar,single,44,10.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0
fmnist,alpha0p1,42,35.0,279.0571428571429,305.5941120907565,3.0,40.5,157.0,446.5,934.0
fmnist,alpha0p1,43,38.0,254.10526315789474,308.9090471821924,1.0,15.25,101.0,369.25,964.0
fmnist,alpha0p1,44,42.0,230.83333333333334,260.63739101191123,2.0,26.25,113.5,445.0,875.0
fmnist,alpha0p5,42,60.0,149.75,153.8235424224453,1.0,34.75,99.0,228.25,604.0
fmnist,alpha0p5,43,57.0,144.80701754385964,134.52090100433296,3.0,54.0,105.0,189.0,761.0
fmnist,alpha0p5,44,66.0,128.8939393939394,126.15340219661493,1.0,33.25,99.0,157.0,601.0
fmnist,alpha1p0,42,63.0,140.38095238095238,97.12287338501787,8.0,58.5,125.0,205.0,429.0
fmnist,alpha1p0,43,71.0,122.26760563380282,90.11816968315686,4.0,45.0,111.0,176.5,439.0
fmnist,alpha1p0,44,74.0,116.78378378378379,92.78761582905491,1.0,51.25,89.0,174.5,494.0
fmnist,iid,42,84.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
fmnist,iid,43,76.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
fmnist,iid,44,80.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
fmnist,multi,42,20.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0
fmnist,multi,43,20.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0
fmnist,multi,44,20.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0
fmnist,single,42,10.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
fmnist,single,43,10.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
fmnist,single,44,10.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
mnist,alpha0p1,42,48.0,206.47916666666666,235.0571672958796,1.0,25.25,118.0,347.25,892.0
mnist,alpha0p1,43,33.0,299.09090909090907,372.8454240396049,1.0,13.0,117.0,753.0,1102.0
mnist,alpha0p1,44,41.0,242.78048780487805,236.93538277293266,1.0,54.0,106.0,395.0,781.0
mnist,alpha0p5,42,73.0,132.67123287671234,158.68487770092935,3.0,33.0,71.0,189.0,935.0
mnist,alpha0p5,43,73.0,132.3972602739726,147.46334193490893,1.0,41.0,74.0,169.0,597.0
mnist,alpha0p5,44,76.0,129.17105263157896,128.53620897452927,1.0,26.0,87.5,180.0,507.0
mnist,alpha1p0,42,85.0,113.54117647058824,95.94896373310439,1.0,41.0,91.0,147.0,431.0
mnist,alpha1p0,43,87.0,113.29885057471265,89.46002289479853,10.0,46.0,82.0,164.0,503.0
mnist,alpha1p0,44,83.0,115.80722891566265,81.88160069558575,5.0,46.5,109.0,173.0,468.0
mnist,iid,42,100.0,99.94,6.57331612266479,88.0,97.0,99.0,103.0,115.0
mnist,iid,43,98.0,99.93877551020408,6.626744199933541,88.0,97.0,99.0,103.0,115.0
mnist,iid,44,100.0,99.94,6.57331612266479,88.0,97.0,99.0,103.0,115.0
mnist,multi,42,20.0,499.95,33.02546864084397,442.0,485.0,493.5,513.0,574.0
mnist,multi,43,20.0,499.95,33.02546864084397,442.0,485.0,493.5,513.0,574.0
mnist,multi,44,20.0,499.95,33.02546864084397,442.0,485.0,493.5,513.0,574.0
mnist,single,42,10.0,999.8,67.87537599650308,884.0,973.25,987.5,1017.25,1148.0
mnist,single,43,10.0,999.8,67.87537599650308,884.0,973.25,987.5,1017.25,1148.0
mnist,single,44,10.0,999.8,67.87537599650308,884.0,973.25,987.5,1017.25,1148.0
