dataset,regime,seed,selected_epoch,selected_epoch,selected_epoch,selected_epoch,epochs_run,epochs_run,epochs_run,epochs_run,validation_accuracy,validation_accuracy,validation_accuracy,validation_accuracy
,,,mean,std,min,max,mean,std,min,max,mean,std,min,max
cifar,alpha0p1,42,11.1,5.566766466171263,3,18,16.1,5.566766466171264,8,23,0.8463757276452745,0.10725725723543902,0.6164383561643836,0.9716494845360824
cifar,alpha0p1,43,12.0,9.72967967955095,2,35,17.0,9.72967967955095,7,40,0.8485819732018782,0.1321543687625887,0.5192307692307693,0.9838709677419356
cifar,alpha0p1,44,13.4,5.58171618371586,7,22,18.4,5.581716183715862,12,27,0.8789966431567514,0.034781392472434274,0.8187919463087249,0.9209039548022598
cifar,alpha0p5,42,13.8,5.072803301265814,4,19,18.8,5.072803301265814,9,24,0.7802443680498291,0.0672639205044199,0.6846153846153846,0.8556149732620321
cifar,alpha0p5,43,14.7,5.6381636096240495,6,23,19.7,5.6381636096240495,11,28,0.7711992895339697,0.07491508628725904,0.6342182890855457,0.8672839506172839
cifar,alpha0p5,44,16.6,5.081557066709201,9,23,21.6,5.081557066709201,14,28,0.8271965212865275,0.039746725736859626,0.756701030927835,0.8842105263157894
cifar,alpha1p0,42,23.3,9.47569991551489,12,42,28.3,9.47569991551489,17,47,0.7499597468462619,0.08238925667751372,0.5767634854771784,0.828
cifar,alpha1p0,43,15.8,4.211096452627668,9,22,20.8,4.211096452627668,14,27,0.7342314004713003,0.03132558462107714,0.6793478260869565,0.7804878048780488
cifar,alpha1p0,44,18.0,6.0553007081949835,9,25,23.0,6.0553007081949835,14,30,0.7457078582935143,0.06481679669101197,0.6273062730627307,0.8197674418604651
cifar,iid,42,20.3,5.437523946307425,13,30,25.3,5.437523946307425,18,35,0.70525,0.03538380828696775,0.66,0.77
cifar,iid,43,19.8,7.728734264634367,7,28,24.8,7.728734264634367,12,33,0.68475,0.042548175310137756,0.61,0.73
cifar,iid,44,18.0,5.811865258054232,8,31,23.0,5.811865258054232,13,36,0.6992499999999999,0.0407916453864432,0.6175,0.755
cifar,multi,42,13.2,6.425643072011462,4,23,18.2,6.425643072011461,9,28,0.93625,0.053970799718201526,0.82,0.985
cifar,multi,43,10.4,6.947421584060281,1,25,15.4,6.947421584060281,6,30,0.92225,0.060259277755010936,0.7975,0.9825
cifar,multi,44,14.8,9.235198367598224,4,35,19.8,9.235198367598224,9,40,0.93725,0.02963786054656743,0.89,0.9675
cifar,single,42,1.0,0.0,1,1,6.0,0.0,6,6,1.0,0.0,1.0,1.0
cifar,single,43,1.0,0.0,1,1,6.0,0.0,6,6,1.0,0.0,1.0,1.0
cifar,single,44,1.0,0.0,1,1,6.0,0.0,6,6,1.0,0.0,1.0,1.0
fmnist,alpha0p1,42,5.2,4.2895221179054435,1,14,10.2,4.2895221179054435,6,19,0.9815475993227197,0.022634143887449436,0.9303135888501742,1.0
fmnist,alpha0p1,43,7.4,3.438345855527367,3,13,12.4,3.438345855527367,8,18,0.9718691631748362,0.03670843910140795,0.8797595190380761,0.9966216216216216
fmnist,alpha0p1,44,6.2,3.794733192202055,2,13,11.2,3.794733192202055,7,18,0.9698957822476613,0.02661741183113319,0.91792656587473,1.0
fmnist,alpha0p5,42,9.6,5.621387729022079,2,20,14.6,5.621387729022079,7,25,0.9253594264695761,0.03113471000553704,0.8640483383685801,0.9767025089605734
fmnist,alpha0p5,43,8.5,4.006938426723769,3,16,13.5,4.006938426723769,8,21,0.9021364471973821,0.03744337242090017,0.8483412322274881,0.9586956521739132
fmnist,alpha0p5,44,10.4,5.168279318217149,4,19,15.4,5.168279318217149,9,24,0.9161784988416996,0.03886728924838985,0.8604992657856094,0.9757009345794392
fmnist,alpha1p0,42,10.0,4.0824829046386295,3,17,15.0,4.0824829046386295,8,22,0.9172135984888335,0.022113346212383696,0.8765957446808511,0.9407616361071932
fmnist,alpha1p0,43,12.3,4.831608887776871,2,18,17.3,4.83160888777687,7,23,0.9054794218696116,0.028691859437031817,0.8532110091743119,0.9553846153846154
fmnist,alpha1p0,44,12.4,3.5652645218989165,7,19,17.4,3.565264521898917,12,24,0.914649508238688,0.03170504953977741,0.8596881959910914,0.951530612244898
fmnist,iid,42,12.8,5.028805910838962,7,19,17.8,5.028805910838963,12,24,0.8904,0.015167216107263872,0.87,0.914
fmnist,iid,43,13.8,5.116422361159971,6,24,18.8,5.116422361159972,11,29,0.8964000000000001,0.01686020956769718,0.87,0.932
fmnist,iid,44,12.2,4.732863826479693,6,21,17.2,4.732863826479693,11,26,0.8917999999999999,0.009635582205785205,0.878,0.908
fmnist,multi,42,2.7,2.1628170930011112,1,7,7.7,2.1628170930011112,6,12,0.9960000000000001,0.0061101009266077855,0.984,1.0
