dataset,regime,method,metric,mean,sd,n,seeds
mnist,iid,feddf_prob,student_test_accuracy,98.42333333333335,0.1222020185321544,3,"42,43,44"
mnist,iid,feddf_prob,student_test_nll,0.05005745828202923,0.005168321717473448,3,"42,43,44"
mnist,iid,expert_prob,student_test_accuracy,98.42333333333335,0.1222020185321544,3,"42,43,44"
mnist,iid,expert_prob,student_test_nll,0.04989531125399901,0.004888381992670253,3,"42,43,44"
mnist,iid,expert_prob_sr,student_test_accuracy,98.42333333333335,0.1222020185321544,3,"42,43,44"
mnist,iid,expert_prob_sr,student_test_nll,0.049839644681553635,0.0047923005772266,3,"42,43,44"
mnist,iid,oracle_prob,student_test_accuracy,98.54333333333334,0.2000833159794524,3,"42,43,44"
mnist,iid,oracle_prob,student_test_nll,0.0457631576729938,0.005312974210150934,3,"42,43,44"
mnist,iid,feddf_logit,student_test_accuracy,98.37666666666665,0.16653327995728917,3,"42,43,44"
mnist,iid,feddf_logit,student_test_nll,0.05091679497288223,0.005869129491070501,3,"42,43,44"
mnist,iid,oracle_logit,student_test_accuracy,98.49666666666667,0.2084066537645412,3,"42,43,44"
mnist,iid,oracle_logit,student_test_nll,0.046603294265658235,0.005452627268459259,3,"42,43,44"
mnist,alpha1p0,feddf_prob,student_test_accuracy,98.10333333333332,0.12741009902411166,3,"42,43,44"
mnist,alpha1p0,feddf_prob,student_test_nll,0.05877416992917806,0.0035676547028770443,3,"42,43,44"
mnist,alpha1p0,expert_prob,student_test_accuracy,98.22666666666667,0.07023769168568299,3,"42,43,44"
mnist,alpha1p0,expert_prob,student_test_nll,0.05402782554372673,0.0034419904837271137,3,"42,43,44"
mnist,alpha1p0,expert_prob_sr,student_test_accuracy,98.44666666666667,0.05131601439446932,3,"42,43,44"
mnist,alpha1p0,expert_prob_sr,student_test_nll,0.0504750843995522,0.003683907942672719,3,"42,43,44"
mnist,alpha1p0,oracle_prob,student_test_accuracy,98.45333333333332,0.04618802153517138,3,"42,43,44"
mnist,alpha1p0,oracle_prob,student_test_nll,0.04621834774074763,0.0035075286405650383,3,"42,43,44"
mnist,alpha1p0,feddf_logit,student_test_accuracy,98.01333333333334,0.14047538337137122,3,"42,43,44"
mnist,alpha1p0,feddf_logit,student_test_nll,0.0619849142911921,0.006024725520813468,3,"42,43,44"
mnist,alpha1p0,oracle_logit,student_test_accuracy,98.46000000000001,0.043588989435405755,3,"42,43,44"
mnist,alpha1p0,oracle_logit,student_test_nll,0.0463516517691857,0.0031220044930299245,3,"42,43,44"
mnist,alpha0p5,feddf_prob,student_test_accuracy,97.17666666666668,0.6600252520421775,3,"42,43,44"
mnist,alpha0p5,feddf_prob,student_test_nll,0.08804589462094008,0.017294118154664313,3,"42,43,44"
mnist,alpha0p5,expert_prob,student_test_accuracy,98.06,0.20952326839757435,3,"42,43,44"
mnist,alpha0p5,expert_prob,student_test_nll,0.06364837871105793,0.00893402320872787,3,"42,43,44"
mnist,alpha0p5,expert_prob_sr,student_test_accuracy,98.14,0.1252996408614197,3,"42,43,44"
mnist,alpha0p5,expert_prob_sr,student_test_nll,0.0644857894928592,0.01103142570465099,3,"42,43,44"
mnist,alpha0p5,oracle_prob,student_test_accuracy,98.39666666666668,0.08144527815246817,3,"42,43,44"
mnist,alpha0p5,oracle_prob,student_test_nll,0.04930831139328267,0.004050133437161925,3,"42,43,44"
mnist,alpha0p5,feddf_logit,student_test_accuracy,96.17666666666666,1.2837575056580302,3,"42,43,44"
mnist,alpha0p5,feddf_logit,student_test_nll,0.1198859174162149,0.03732225583205909,3,"42,43,44"
mnist,alpha0p5,oracle_logit,student_test_accuracy,98.39000000000001,0.12288205727444194,3,"42,43,44"
mnist,alpha0p5,oracle_logit,student_test_nll,0.05189392584552984,0.004756947288160251,3,"42,43,44"
mnist,alpha0p1,feddf_prob,student_test_accuracy,83.36000000000001,10.57113522759027,3,"42,43,44"
mnist,alpha0p1,feddf_prob,student_test_nll,0.4497387899518013,0.2616098066590162,3,"42,43,44"
