dataset,regime,metric,mean,sd,n,seeds,contrast
cifar,alpha0p1,delta_student_test_accuracy,38.93333333333333,11.142640321455834,3,"42,43,44",selection
cifar,alpha0p1,delta_student_test_nll,-0.8910725119908648,0.47872268426380093,3,"42,43,44",selection
cifar,alpha0p1,delta_target_accuracy,61.14333333333334,9.629747314095697,3,"42,43,44",selection
cifar,alpha0p1,delta_target_nll,-0.9675708902426283,0.0481081348707866,3,"42,43,44",selection
cifar,alpha0p1,delta_target_entropy,-0.28711366411113465,0.023927062160528825,3,"42,43,44",selection
cifar,alpha0p1,delta_fallback_count,212.33333333333334,43.77594468807422,3,"42,43,44",selection
cifar,alpha0p1,delta_fallback_rate,0.021233333333333337,0.004377594468807421,3,"42,43,44",selection
cifar,alpha0p1,delta_mean_selected_teachers,-7.0305333333333335,0.36430992757998454,3,"42,43,44",selection
cifar,alpha0p1,delta_effective_teachers,-6.818199999999998,0.3840291525392312,3,"42,43,44",selection
cifar,alpha0p5,delta_student_test_accuracy,9.859999999999998,3.0991773101905604,3,"42,43,44",selection
cifar,alpha0p5,delta_student_test_nll,-0.22227971092859902,0.09865375089210539,3,"42,43,44",selection
cifar,alpha0p5,delta_target_accuracy,30.440000000000005,3.18698917475413,3,"42,43,44",selection
cifar,alpha0p5,delta_target_nll,-0.3484580614744177,0.03787788474594258,3,"42,43,44",selection
cifar,alpha0p5,delta_target_entropy,-0.06561934703716983,0.01721458835756299,3,"42,43,44",selection
cifar,alpha0p5,delta_fallback_count,273.0,38.93584466786357,3,"42,43,44",selection
cifar,alpha0p5,delta_fallback_rate,0.0273,0.0038935844667863572,3,"42,43,44",selection
cifar,alpha0p5,delta_mean_selected_teachers,-5.377400000000001,0.12698236097978305,3,"42,43,44",selection
cifar,alpha0p5,delta_effective_teachers,-5.104399999999998,0.10108669546483327,3,"42,43,44",selection
cifar,alpha1p0,delta_student_test_accuracy,3.639999999999999,0.5257375771237958,3,"42,43,44",selection
cifar,alpha1p0,delta_student_test_nll,-0.07376400828361511,0.021432562357377127,3,"42,43,44",selection
cifar,alpha1p0,delta_target_accuracy,21.173333333333332,0.7193283904680331,3,"42,43,44",selection
cifar,alpha1p0,delta_target_nll,-0.20324803980189587,0.038185594205459875,3,"42,43,44",selection
cifar,alpha1p0,delta_target_entropy,-0.036530830884645926,0.017405198042590646,3,"42,43,44",selection
cifar,alpha1p0,delta_fallback_count,330.0,46.861498055439924,3,"42,43,44",selection
cifar,alpha1p0,delta_fallback_rate,0.032999999999999995,0.0046861498055439915,3,"42,43,44",selection
cifar,alpha1p0,delta_mean_selected_teachers,-4.3152,0.17512261418788813,3,"42,43,44",selection
cifar,alpha1p0,delta_effective_teachers,-3.9851999999999985,0.18664439450463033,3,"42,43,44",selection
cifar,iid,delta_student_test_accuracy,1.3466666666666627,0.7850053078376839,3,"42,43,44",selection
cifar,iid,delta_student_test_nll,-0.032608476734161375,0.04386677170201871,3,"42,43,44",selection
cifar,iid,delta_target_accuracy,16.28666666666667,0.8434650753489114,3,"42,43,44",selection
cifar,iid,delta_target_nll,-0.08687721106214623,0.00862777949529881,3,"42,43,44",selection
cifar,iid,delta_target_entropy,-0.01010439818252884,0.0020166413925643417,3,"42,43,44",selection
cifar,iid,delta_fallback_count,474.6666666666667,17.473789896108208,3,"42,43,44",selection
cifar,iid,delta_fallback_rate,0.047466666666666664,0.001747378989610821,3,"42,43,44",selection
cifar,iid,delta_mean_selected_teachers,-3.2070333333333334,0.14916455119542782,3,"42,43,44",selection
cifar,iid,delta_effective_teachers,-2.7323666666666653,0.15459451262361604,3,"42,43,44",selection
cifar,multi,delta_student_test_accuracy,38.33,7.334050722486178,3,"42,43,44",selection
cifar,multi,delta_student_test_nll,-0.3780147130330403,0.1600936605967371,3,"42,43,44",selection
cifar,multi,delta_target_accuracy,58.46333333333333,5.0320208001689934,3,"42,43,44",selection
cifar,multi,delta_target_nll,-1.4154777697913017,0.032811375491539056,3,"42,43,44",selection
cifar,multi,delta_target_entropy,-0.6830683524630216,0.025742235684020887,3,"42,43,44",selection
cifar,multi,delta_fallback_count,340.6666666666667,55.1029339811714,3,"42,43,44",selection
cifar,multi,delta_fallback_rate,0.03406666666666666,0.005510293398117138,3,"42,43,44",selection
cifar,multi,delta_mean_selected_teachers,-8.159466666666667,0.031272405301373526,3,"42,43,44",selection
cifar,multi,delta_effective_teachers,-7.818799999999999,0.02420599099396734,3,"42,43,44",selection
cifar,single,delta_student_test_accuracy,68.88666666666666,0.9096336258809518,3,"42,43,44",selection
cifar,single,delta_student_test_nll,-0.9729657333374022,0.40320502933717717,3,"42,43,44",selection
cifar,single,delta_target_accuracy,90.25999999999999,1.6955530071336606,3,"42,43,44",selection
cifar,single,delta_target_nll,-1.9894396060231525,0.0057197237292459175,3,"42,43,44",selection
cifar,single,delta_target_entropy,-1.1474717628836955,0.027009346666629647,3,"42,43,44",selection
cifar,single,delta_fallback_count,0.0,0.0,3,"42,43,44",selection
cifar,single,delta_fallback_rate,0.0,0.0,3,"42,43,44",selection
cifar,single,delta_mean_selected_teachers,-9.0,0.0,3,"42,43,44",selection
cifar,single,delta_effective_teachers,-8.999999999999998,0.0,3,"42,43,44",selection
fmnist,alpha0p1,delta_student_test_accuracy,34.62666666666667,14.108339141562107,3,"42,43,44",selection
fmnist,alpha0p1,delta_student_test_nll,-1.2319609526157378,1.118123335086249,3,"42,43,44",selection
fmnist,alpha0p1,delta_target_accuracy,42.040000000000006,15.591949845994248,3,"42,43,44",selection
fmnist,alpha0p1,delta_target_nll,-1.0382655692915346,0.18362197991972842,3,"42,43,44",selection
fmnist,alpha0p1,delta_target_entropy,-0.5355586476767508,0.1568614670330736,3,"42,43,44",selection
fmnist,alpha0p1,delta_fallback_count,44.333333333333336,5.033222956847167,3,"42,43,44",selection
fmnist,alpha0p1,delta_fallback_rate,0.004433333333333333,0.0005033222956847167,3,"42,43,44",selection
fmnist,alpha0p1,delta_mean_selected_teachers,-5.799833333333333,0.4220324671554708,3,"42,43,44",selection
fmnist,alpha0p1,delta_effective_teachers,-5.755499999999998,0.4247637814126811,3,"42,43,44",selection
fmnist,alpha0p5,delta_student_test_accuracy,4.299999999999996,1.339066839257847,3,"42,43,44",selection
fmnist,alpha0p5,delta_student_test_nll,-0.08622791504859924,0.02720463342651106,3,"42,43,44",selection
fmnist,alpha0p5,delta_target_accuracy,12.413333333333336,1.4174742796020454,3,"42,43,44",selection
fmnist,alpha0p5,delta_target_nll,-0.19689866466893294,0.030697386111175975,3,"42,43,44",selection
fmnist,alpha0p5,delta_target_entropy,-0.07566420298224297,0.009936595208057742,3,"42,43,44",selection
fmnist,alpha0p5,delta_fallback_count,98.0,21.79449471770337,3,"42,43,44",selection
fmnist,alpha0p5,delta_fallback_rate,0.009800000000000001,0.0021794494717703367,3,"42,43,44",selection
fmnist,alpha0p5,delta_mean_selected_teachers,-2.8271,0.14296611486642577,3,"42,43,44",selection
fmnist,alpha0p5,delta_effective_teachers,-2.7290999999999985,0.16465056938862951,3,"42,43,44",selection
fmnist,alpha1p0,delta_student_test_accuracy,2.6733333333333347,1.4453488621551995,3,"42,43,44",selection
fmnist,alpha1p0,delta_student_test_nll,-0.061636275446414944,0.030287890323702615,3,"42,43,44",selection
fmnist,alpha1p0,delta_target_accuracy,10.246666666666666,0.9045625093564991,3,"42,43,44",selection
fmnist,alpha1p0,delta_target_nll,-0.0891388043828798,0.024651800299141772,3,"42,43,44",selection
fmnist,alpha1p0,delta_target_entropy,-0.022563980385886584,0.008641435589192377,3,"42,43,44",selection
fmnist,alpha1p0,delta_fallback_count,125.33333333333333,32.86842456421258,3,"42,43,44",selection
fmnist,alpha1p0,delta_fallback_rate,0.012533333333333334,0.0032868424564212587,3,"42,43,44",selection
fmnist,alpha1p0,delta_mean_selected_teachers,-1.9149666666666665,0.20705519392986385,3,"42,43,44",selection
fmnist,alpha1p0,delta_effective_teachers,-1.7896333333333312,0.23991051109389355,3,"42,43,44",selection
fmnist,iid,delta_student_test_accuracy,0.5699999999999965,0.23515952032609888,3,"42,43,44",selection
fmnist,iid,delta_student_test_nll,-0.019820734941959333,0.005726212109094969,3,"42,43,44",selection
fmnist,iid,delta_target_accuracy,7.16666666666667,0.1457166199626301,3,"42,43,44",selection
fmnist,iid,delta_target_nll,-0.0244442367708196,0.0025090466124617987,3,"42,43,44",selection
fmnist,iid,delta_target_entropy,-0.0030194862365836204,0.0007824792010834112,3,"42,43,44",selection
fmnist,iid,delta_fallback_count,260.6666666666667,21.385353243127252,3,"42,43,44",selection
fmnist,iid,delta_fallback_rate,0.026066666666666665,0.0021385353243127264,3,"42,43,44",selection
fmnist,iid,delta_mean_selected_teachers,-1.2268000000000001,0.024116177143153814,3,"42,43,44",selection
fmnist,iid,delta_effective_teachers,-0.9661333333333312,0.009976138197385397,3,"42,43,44",selection
fmnist,multi,delta_student_test_accuracy,69.21666666666667,0.7099530500908725,3,"42,43,44",selection
fmnist,multi,delta_student_test_nll,-5.335272782262166,1.2912121200157396,3,"42,43,44",selection
fmnist,multi,delta_target_accuracy,79.07333333333332,0.5173329037798893,3,"42,43,44",selection
fmnist,multi,delta_target_nll,-2.008057255610453,0.0651856890006993,3,"42,43,44",selection
fmnist,multi,delta_target_entropy,-1.6623940777754764,0.07472343107420396,3,"42,43,44",selection
fmnist,multi,delta_fallback_count,40.333333333333336,11.676186592091328,3,"42,43,44",selection
fmnist,multi,delta_fallback_rate,0.004033333333333333,0.0011676186592091329,3,"42,43,44",selection
fmnist,multi,delta_mean_selected_teachers,-8.013466666666666,0.0019857828011473604,3,"42,43,44",selection
fmnist,multi,delta_effective_teachers,-7.973133333333332,0.009845980567385487,3,"42,43,44",selection
fmnist,single,delta_student_test_accuracy,79.95,1.2813664581219486,3,"42,43,44",selection
fmnist,single,delta_student_test_nll,-5.437081506093342,1.3206120639841852,3,"42,43,44",selection
fmnist,single,delta_target_accuracy,89.66333333333334,0.781430312525263,3,"42,43,44",selection
fmnist,single,delta_target_nll,-2.520082063430022,0.013859670450305284,3,"42,43,44",selection
fmnist,single,delta_target_entropy,-2.154872861940373,0.030184135988442076,3,"42,43,44",selection
fmnist,single,delta_fallback_count,0.0,0.0,3,"42,43,44",selection
fmnist,single,delta_fallback_rate,0.0,0.0,3,"42,43,44",selection
fmnist,single,delta_mean_selected_teachers,-9.0,0.0,3,"42,43,44",selection
fmnist,single,delta_effective_teachers,-8.999999999999998,0.0,3,"42,43,44",selection
mnist,alpha0p1,delta_student_test_accuracy,29.24,17.96969949665269,3,"42,43,44",selection
mnist,alpha0p1,delta_student_test_nll,-1.04804011144444,0.6637146629042519,3,"42,43,44",selection
mnist,alpha0p1,delta_target_accuracy,28.950000000000003,17.358574250208463,3,"42,43,44",selection
mnist,alpha0p1,delta_target_nll,-0.9866287833513869,0.20267476916182448,3,"42,43,44",selection
mnist,alpha0p1,delta_target_entropy,-0.5310661653015278,0.11076204061308667,3,"42,43,44",selection
mnist,alpha0p1,delta_fallback_count,8.0,5.291502622129181,3,"42,43,44",selection
mnist,alpha0p1,delta_fallback_rate,0.0008,0.0005291502622129181,3,"42,43,44",selection
mnist,alpha0p1,delta_mean_selected_teachers,-5.308866666666667,0.7309086833068366,3,"42,43,44",selection
mnist,alpha0p1,delta_effective_teachers,-5.300866666666665,0.7273206331002391,3,"42,43,44",selection
mnist,alpha0p5,delta_student_test_accuracy,2.213333333333334,1.1735558501125245,3,"42,43,44",selection
mnist,alpha0p5,delta_student_test_nll,-0.06799199157068507,0.03360872140807185,3,"42,43,44",selection
mnist,alpha0p5,delta_target_accuracy,3.5333333333333363,1.5695009822658084,3,"42,43,44",selection
mnist,alpha0p5,delta_target_nll,-0.1660003655173162,0.031016888651939967,3,"42,43,44",selection
mnist,alpha0p5,delta_target_entropy,-0.08115848695630905,0.025307685114198036,3,"42,43,44",selection
mnist,alpha0p5,delta_fallback_count,17.333333333333332,3.7859388972001824,3,"42,43,44",selection
mnist,alpha0p5,delta_fallback_rate,0.0017333333333333333,0.0003785938897200183,3,"42,43,44",selection
mnist,alpha0p5,delta_mean_selected_teachers,-1.5080333333333336,0.23137857146532223,3,"42,43,44",selection
mnist,alpha0p5,delta_effective_teachers,-1.490699999999998,0.231708674848397,3,"42,43,44",selection
mnist,alpha1p0,delta_student_test_accuracy,0.4466666666666656,0.10598742063723622,3,"42,43,44",selection
mnist,alpha1p0,delta_student_test_nll,-0.015633262522006402,0.003823930335758635,3,"42,43,44",selection
mnist,alpha1p0,delta_target_accuracy,1.666666666666668,0.21548395145192353,3,"42,43,44",selection
mnist,alpha1p0,delta_target_nll,-0.04638696425884281,0.014129502735779296,3,"42,43,44",selection
mnist,alpha1p0,delta_target_entropy,-0.020940323788528763,0.007435513624735782,3,"42,43,44",selection
mnist,alpha1p0,delta_fallback_count,22.0,2.6457513110645907,3,"42,43,44",selection
mnist,alpha1p0,delta_fallback_rate,0.0021999999999999997,0.000264575131106459,3,"42,43,44",selection
mnist,alpha1p0,delta_mean_selected_teachers,-0.675933333333333,0.07014915062446127,3,"42,43,44",selection
mnist,alpha1p0,delta_effective_teachers,-0.6539333333333316,0.06838715766379984,3,"42,43,44",selection
mnist,iid,delta_student_test_accuracy,0.12000000000000528,0.0458257569495582,3,"42,43,44",selection
mnist,iid,delta_student_test_nll,-0.0043135007072239995,0.000633238548537729,3,"42,43,44",selection
mnist,iid,delta_target_accuracy,1.1399999999999966,0.050000000000005596,3,"42,43,44",selection
mnist,iid,delta_target_nll,-0.007371031945351825,0.0001684383597900895,3,"42,43,44",selection
mnist,iid,delta_target_entropy,-0.0011283681101462346,0.00010585360786677772,3,"42,43,44",selection
mnist,iid,delta_fallback_count,32.666666666666664,7.023769168568493,3,"42,43,44",selection
mnist,iid,delta_fallback_rate,0.0032666666666666664,0.0007023769168568493,3,"42,43,44",selection
mnist,iid,delta_mean_selected_teachers,-0.2505,0.014351306560727705,3,"42,43,44",selection
mnist,iid,delta_effective_teachers,-0.2178333333333331,0.007327573495593052,3,"42,43,44",selection
mnist,multi,delta_student_test_accuracy,58.85,3.288449482658964,3,"42,43,44",selection
mnist,multi,delta_student_test_nll,-3.3705556056374957,0.2237164044462211,3,"42,43,44",selection
mnist,multi,delta_target_accuracy,60.11666666666666,4.122891380249221,3,"42,43,44",selection
mnist,multi,delta_target_nll,-1.8900543728876535,0.0023676404864303637,3,"42,43,44",selection
mnist,multi,delta_target_entropy,-1.7750689803021678,0.040809093023580996,3,"42,43,44",selection
