dataset,regime,seed,proxy_size,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,contrast
cifar,alpha0p1,42,100,expert_prob,supervised_proxy_ce,70198bce1d864354,3190d167404745bc509343a87d34eebe5d3b6ac0d91cf99f6dacd194f80e27d2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3374,0.3383,-0.0009000000000000119,2.6688959365844727,2.8901977760314943,-0.22130183944702164,expert_prob − supervised_proxy_ce
cifar,alpha0p1,42,500,expert_prob,supervised_proxy_ce,fee8296ad0b5432a,8588a035240f3e55cc608d8502f0a5dd28526507f2be33057aec4d53bba595af,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4852,0.4602,0.025000000000000022,1.8862363456726077,2.269878453063965,-0.3836421073913572,expert_prob − supervised_proxy_ce
cifar,alpha0p1,42,1000,expert_prob,supervised_proxy_ce,640c473b279cba58,25c35af941cbfc761e2daf27bb6e78580600ef827a220c61f0fe1b57cab972c3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5653,0.5467,0.01860000000000006,1.634368112564087,1.8780779983520508,-0.24370988578796382,expert_prob − supervised_proxy_ce
cifar,alpha0p1,42,5000,expert_prob,supervised_proxy_ce,6538e442d6f29345,d7c5b54faf0ee7155969a97c2e17988830842bfd5ed7ccfda682067a4aaeb488,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7165,0.7269,-0.010399999999999965,1.239797230529785,1.178120182800293,0.06167704772949212,expert_prob − supervised_proxy_ce
cifar,alpha0p1,42,10000,expert_prob,supervised_proxy_ce,b64a38c9c8e7fb27,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7773,0.7938,-0.01649999999999996,0.9024679542541504,0.8560695510864258,0.04639840316772459,expert_prob − supervised_proxy_ce
cifar,alpha0p1,43,100,expert_prob,supervised_proxy_ce,aacc2e9cbdfe6b39,f0d05d7d758b709ca01be4ebab7177c8e819a1f7561e33f01c01c46e980675ac,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3008,0.3285,-0.027700000000000002,3.2400988193511964,3.044557247543335,0.19554157180786147,expert_prob − supervised_proxy_ce
cifar,alpha0p1,43,500,expert_prob,supervised_proxy_ce,cffb23147110ff2a,450e462119cb17304e21faa68f811d1e5c52cf02f38f316c95121c157a695aa9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4708,0.4772,-0.006400000000000017,2.317886848449707,2.2077495231628417,0.11013732528686537,expert_prob − supervised_proxy_ce
cifar,alpha0p1,43,1000,expert_prob,supervised_proxy_ce,f4616d936370f02f,b53329337dec2e2d74ae59e1cfc8526cdac0d3c9c5e10f4306a2c2a48da5cd41,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5385,0.5494,-0.01090000000000002,2.1667732051849367,2.050018885421753,0.11675431976318373,expert_prob − supervised_proxy_ce
cifar,alpha0p1,43,5000,expert_prob,supervised_proxy_ce,636192297f453c5f,c3cbb69fb5477a426c5f3fac47c6578b5e3fcb06cf655bb618f41b0df5726d2b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7142,0.7301,-0.015900000000000025,1.2943394300460815,1.2131696081161498,0.08116982192993172,expert_prob − supervised_proxy_ce
cifar,alpha0p1,43,10000,expert_prob,supervised_proxy_ce,1ada48c9639e6d5c,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7641,0.7895,-0.025399999999999978,1.0589100246429444,0.9055568433761596,0.15335318126678477,expert_prob − supervised_proxy_ce
