M_sha256,aggregation,batch_order_sha256,batch_size,cache_creation_commit,cache_sha256,consumed_batches_sha256,dataset,effective_teachers,epochs_completed,epochs_started,examples_seen,fallback_count,fallback_rate,kd_execution_commit,learning_rate,mean_selected_teachers,method,optimizer,pre_restriction_outside_support_mass,protocol_version,proxy_labels_sha256,proxy_master_sha256,proxy_master_size,proxy_selection,proxy_selection_seed,proxy_sha256,proxy_size,proxy_view,regime,run_id,scheduler,seed,student_final_sha256,student_final_train_loss,student_init_sha256,student_test_accuracy,student_test_nll,target_accuracy,target_entropy,target_nll,target_revision,temperature,training_recipe_json,updates,weight_decay,weight_rule,input_file,input_row,execution_commit,loss,source_cache_sha256,source_regime,expertise_M_sha256,partition_metadata_sha256,presence_counts_sha256,routing_mask_source,invalid_reason,valid
a549aff87e6ef58b5926807f91025e7e405b52c4fe466412a04e29956c72609c,mean_probabilities,2a836581bb03cec96f509a87a0a27efbc0afc37c6522a54562e03a18504b0346,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,d2636da84362f05b2a0ab8ebb5039b941c6b9310b42eddd0e6007451ba624b46,7d19cf95b4de564f3b35de7f267e55fb595e5b2a9d5e5d7408d2b7653541ba98,cifar,9.999999999999998,30,30,300000,0.0,0.0,e311558ce6e4e1a1d345e2051c2d5e8ccaecccda,0.001,10.0,feddf_prob,AdamW,,article1-v3,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,full_original_order,42,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,deterministic_evaluation,iid,a00f0c26cb8bbcde,none,42,6e1f642602a6c3b8d565a6101bcc91a0910e35ccf1a7ed5795695e08c60efd67,0.2703052163124084,185356aa1824f8622c4cedfce3d940f5365857f2d6541013f0f2d87bf8820d24,0.7522,0.7609709712982178,0.7964,2.162036171763306,1.5508668901104945,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,218,,,,,,,,,,True
a549aff87e6ef58b5926807f91025e7e405b52c4fe466412a04e29956c72609c,mean_probabilities,2a836581bb03cec96f509a87a0a27efbc0afc37c6522a54562e03a18504b0346,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,d2636da84362f05b2a0ab8ebb5039b941c6b9310b42eddd0e6007451ba624b46,7d19cf95b4de564f3b35de7f267e55fb595e5b2a9d5e5d7408d2b7653541ba98,cifar,6.5,30,30,300000,1000.0,0.1,e311558ce6e4e1a1d345e2051c2d5e8ccaecccda,0.001,5.5,expert_prob,AdamW,0.346011268219641,article1-v3,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,full_original_order,42,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,deterministic_evaluation,iid,b25818fe5626557a,none,42,b1e08d85d47a61c03c58d4a121491872790fa303b37b35ffeb9371a5f0a8a7e1,0.2797413468360901,185356aa1824f8622c4cedfce3d940f5365857f2d6541013f0f2d87bf8820d24,0.7475,0.8006440430164338,0.7923,2.14505773788061,1.5140357059241016,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,selected_uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,219,,,,,,,,,,True
34f84e2343874e1a7b9b815529aa22768f81a356597ec5e338c60b3904ca2c75,mean_probabilities,2a836581bb03cec96f509a87a0a27efbc0afc37c6522a54562e03a18504b0346,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,131d0b9efcd1c7294a6cc1cf94110c75b2bab77a718c2909d085900d8a7a96f6,7d19cf95b4de564f3b35de7f267e55fb595e5b2a9d5e5d7408d2b7653541ba98,cifar,9.999999999999998,30,30,300000,0.0,0.0,e311558ce6e4e1a1d345e2051c2d5e8ccaecccda,0.001,10.0,feddf_prob,AdamW,,article1-v3,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,full_original_order,42,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,deterministic_evaluation,alpha0p1,a9de3e3fa5f06018,none,42,c97e6a30f44e5a67c49798dd3d72165141fee0467b3154e13111282be655960c,0.1184835433959961,185356aa1824f8622c4cedfce3d940f5365857f2d6541013f0f2d87bf8820d24,0.3653,1.8135118171691893,0.4307,2.259694693225501,1.979957070068027,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,236,,,,,,,,,,True
34f84e2343874e1a7b9b815529aa22768f81a356597ec5e338c60b3904ca2c75,mean_probabilities,2a836581bb03cec96f509a87a0a27efbc0afc37c6522a54562e03a18504b0346,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,131d0b9efcd1c7294a6cc1cf94110c75b2bab77a718c2909d085900d8a7a96f6,7d19cf95b4de564f3b35de7f267e55fb595e5b2a9d5e5d7408d2b7653541ba98,cifar,2.4,30,30,300000,0.0,0.0,e311558ce6e4e1a1d345e2051c2d5e8ccaecccda,0.001,2.4,expert_prob,AdamW,0.4164458532925953,article1-v3,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,full_original_order,42,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,deterministic_evaluation,alpha0p1,b64a38c9c8e7fb27,none,42,c1257430f400405dc2887a2f4b56ee8265fdc29491697cd999c4e025ee9eb247,0.5592794418334961,185356aa1824f8622c4cedfce3d940f5365857f2d6541013f0f2d87bf8820d24,0.7773,0.9024679542541504,0.9877,1.9856955647391008,1.1238261880797793,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,selected_uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,237,,,,,,,,,,True
e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,mean_probabilities,2a836581bb03cec96f509a87a0a27efbc0afc37c6522a54562e03a18504b0346,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,df8172495f9d3fae3dc1d602b20cc4278ee8df7d87c004ad0754949c37f0bc7f,7d19cf95b4de564f3b35de7f267e55fb595e5b2a9d5e5d7408d2b7653541ba98,cifar,9.999999999999998,30,30,300000,0.0,0.0,2c00a459f5ebecc09fecffe118266d7e3efc7473,0.001,10.0,feddf_prob,AdamW,,article1-v3,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,full_original_order,42,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,deterministic_evaluation,single,dcc1cd8b8d9e76db,none,42,c20d70f5e4bf64418147cff7c14da69b4127e5091383bade18388aae8017ae43,0.1257355809211731,185356aa1824f8622c4cedfce3d940f5365857f2d6541013f0f2d87bf8820d24,0.0844,2.788810957336426,0.0861,2.2964527709495712,2.319675674428428,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,248,,,,,,,,,,True
e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,mean_probabilities,2a836581bb03cec96f509a87a0a27efbc0afc37c6522a54562e03a18504b0346,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,df8172495f9d3fae3dc1d602b20cc4278ee8df7d87c004ad0754949c37f0bc7f,7d19cf95b4de564f3b35de7f267e55fb595e5b2a9d5e5d7408d2b7653541ba98,cifar,1.0,30,30,300000,0.0,0.0,2c00a459f5ebecc09fecffe118266d7e3efc7473,0.001,1.0,expert_prob,AdamW,0.280443784953507,article1-v3,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,full_original_order,42,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,10000,deterministic_evaluation,single,f384e4ed50945edc,none,42,204faef1dd12d8eb852f7da927c4bda306af11a95749b12b0859ac49e8d4ff57,0.9905948042869568,185356aa1824f8622c4cedfce3d940f5365857f2d6541013f0f2d87bf8820d24,0.7827,1.7387799139022828,1.0,1.1749363584860764,0.3454380084591673,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,selected_uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,249,,,,,,,,,,True
11f91107f69eaf1c882605cd16eb48579ee7dfc8e92323ee1b304604abe55df7,mean_probabilities,9dc3b75d34f50fd7e8121684c2e8b96473759a62ffdf4da9a899b6be2324c4f6,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,313d08a4063e2e70f69684825648a6997881288513eb04c35886ca8ab551e5ca,c704b120a3cb73aa8c8df617232d6058a17a3bc42b1535cd8876b14fac92544e,cifar,9.999999999999998,30,30,300000,0.0,0.0,2c00a459f5ebecc09fecffe118266d7e3efc7473,0.001,10.0,feddf_prob,AdamW,,article1-v3,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,full_original_order,43,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,deterministic_evaluation,iid,e87c11f117ac21ff,none,43,28bce5b7f6d72c937413f5a47e74a19b7b2c6ea4ed77da024bc7898a8a3e4959,0.1824236810207367,335be889b9913daeb5005a38607982797a1f0f6633ae7459498f792989576a97,0.7615,0.6973574625968934,0.7827,2.1760931220498123,1.5913698524649196,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,254,,,,,,,,,,True
11f91107f69eaf1c882605cd16eb48579ee7dfc8e92323ee1b304604abe55df7,mean_probabilities,9dc3b75d34f50fd7e8121684c2e8b96473759a62ffdf4da9a899b6be2324c4f6,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,313d08a4063e2e70f69684825648a6997881288513eb04c35886ca8ab551e5ca,c704b120a3cb73aa8c8df617232d6058a17a3bc42b1535cd8876b14fac92544e,cifar,5.7,30,30,300000,1000.0,0.1,2c00a459f5ebecc09fecffe118266d7e3efc7473,0.001,4.7,expert_prob,AdamW,0.3899714209869451,article1-v3,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,full_original_order,43,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,deterministic_evaluation,iid,732fa36ec846a6f7,none,43,68e64b57995816d04fdf073d7fed3ffe63e52cbe0b2d3d2c2cf667db1a12d0e4,0.2416433691978454,335be889b9913daeb5005a38607982797a1f0f6633ae7459498f792989576a97,0.7609,0.742044600391388,0.8183,2.1448883830815526,1.500048393402514,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,selected_uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,255,,,,,,,,,,True
ad0320c63be8b9c50a5e28d376bbbd9e9c5f13fb47ba0982501f08b414baf9c6,mean_probabilities,9dc3b75d34f50fd7e8121684c2e8b96473759a62ffdf4da9a899b6be2324c4f6,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,cc524a8ddd5e02a659e62aedf04a4b8066364d34da98c377c658ce77c4fab266,c704b120a3cb73aa8c8df617232d6058a17a3bc42b1535cd8876b14fac92544e,cifar,9.999999999999998,30,30,300000,0.0,0.0,2c00a459f5ebecc09fecffe118266d7e3efc7473,0.001,10.0,feddf_prob,AdamW,,article1-v3,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,full_original_order,43,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,deterministic_evaluation,alpha0p1,16fbdea328414ca8,none,43,f50f9de4d1a0de1adbbbb1edb153e88263b36251f05c09e28e0f8fe1c277e312,0.0617946982383728,335be889b9913daeb5005a38607982797a1f0f6633ae7459498f792989576a97,0.5193,1.310298741722107,0.5436,2.255948474961182,1.928491496105181,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,272,,,,,,,,,,True
ad0320c63be8b9c50a5e28d376bbbd9e9c5f13fb47ba0982501f08b414baf9c6,mean_probabilities,9dc3b75d34f50fd7e8121684c2e8b96473759a62ffdf4da9a899b6be2324c4f6,256,7ff045e85bdcdcb19da695baf49045e3320a14d4,cc524a8ddd5e02a659e62aedf04a4b8066364d34da98c377c658ce77c4fab266,c704b120a3cb73aa8c8df617232d6058a17a3bc42b1535cd8876b14fac92544e,cifar,2.4,30,30,300000,0.0,0.0,2c00a459f5ebecc09fecffe118266d7e3efc7473,0.001,2.4,expert_prob,AdamW,0.4363367568377116,article1-v3,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,full_original_order,43,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,10000,deterministic_evaluation,alpha0p1,1ada48c9639e6d5c,none,43,e84599b992c34369dab627d7c10f0751c1873872e97ca48152026c54c7b6f9d0,0.4184534847736358,335be889b9913daeb5005a38607982797a1f0f6633ae7459498f792989576a97,0.7641,1.0589100246429444,0.9577,1.9720120680167648,1.1223862432089349,1.0,8.0,"{""K"": 10, ""batch_size"": 256, ""epochs"": 30, ""lr"": 0.001, ""optimizer"": ""AdamW"", ""weight_decay"": 0.0001}",1200,0.0001,selected_uniform,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,273,,,,,,,,,,True
