dataset,regime,proxy_size,contrast,metric,mean,sd,n,seeds
cifar,alpha0p1,100,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,-0.06666666666666857,2.7150751984674977,3,"42,43,44"
cifar,alpha0p1,100,expert_prob − supervised_proxy_ce,delta_student_test_nll,0.011115274429321254,0.21252516610450214,3,"42,43,44"
cifar,alpha0p1,500,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,1.2266666666666668,1.6519483446322827,3,"42,43,44"
cifar,alpha0p1,500,expert_prob − supervised_proxy_ce,delta_student_test_nll,-0.12517980372110996,0.24770205159953185,3,"42,43,44"
cifar,alpha0p1,1000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,1.1799999999999997,2.017845385553611,3,"42,43,44"
cifar,alpha0p1,1000,expert_prob − supervised_proxy_ce,delta_student_test_nll,-0.10021491413116472,0.1911346679161557,3,"42,43,44"
cifar,alpha0p1,5000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,-2.3599999999999994,1.8307648674802561,3,"42,43,44"
cifar,alpha0p1,5000,expert_prob − supervised_proxy_ce,delta_student_test_nll,0.1204417386372884,0.08545978227226493,3,"42,43,44"
cifar,alpha0p1,10000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,-2.643333333333331,1.0488247390929222,3,"42,43,44"
cifar,alpha0p1,10000,expert_prob − supervised_proxy_ce,delta_student_test_nll,0.15333838167190558,0.1069325794748469,3,"42,43,44"
cifar,iid,100,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,7.91,0.675055553269506,3,"42,43,44"
cifar,iid,100,expert_prob − supervised_proxy_ce,delta_student_test_nll,-1.082727111943563,0.12412778563844172,3,"42,43,44"
cifar,iid,500,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,10.880000000000003,0.755446887610238,3,"42,43,44"
cifar,iid,500,expert_prob − supervised_proxy_ce,delta_student_test_nll,-1.0452340860366822,0.032668056662075645,3,"42,43,44"
cifar,iid,1000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,10.410000000000004,1.0507616285342725,3,"42,43,44"
cifar,iid,1000,expert_prob − supervised_proxy_ce,delta_student_test_nll,-0.9641997156461081,0.13568033037025654,3,"42,43,44"
cifar,iid,5000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,0.9300000000000012,0.5786190456595746,3,"42,43,44"
cifar,iid,5000,expert_prob − supervised_proxy_ce,delta_student_test_nll,-0.3972934180259704,0.04571434727603141,3,"42,43,44"
cifar,iid,10000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,-3.7299999999999964,0.8853812738024192,3,"42,43,44"
cifar,iid,10000,expert_prob − supervised_proxy_ce,delta_student_test_nll,-0.11318323092460625,0.05442494716749966,3,"42,43,44"
cifar,single,100,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,0.08999999999999933,1.483543056335067,3,"42,43,44"
cifar,single,100,expert_prob − supervised_proxy_ce,delta_student_test_nll,1.4797222016652423,0.1979098621054977,3,"42,43,44"
cifar,single,500,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,2.866666666666667,0.12897028081435444,3,"42,43,44"
cifar,single,500,expert_prob − supervised_proxy_ce,delta_student_test_nll,0.9670742373148599,0.2006892880263286,3,"42,43,44"
cifar,single,1000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,2.9266666666666663,1.0818656724997453,3,"42,43,44"
cifar,single,1000,expert_prob − supervised_proxy_ce,delta_student_test_nll,0.8606292980194089,0.04882009097852928,3,"42,43,44"
cifar,single,5000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,0.7300000000000011,0.9892926766129446,3,"42,43,44"
cifar,single,5000,expert_prob − supervised_proxy_ce,delta_student_test_nll,0.8032077330271403,0.139777745480732,3,"42,43,44"
cifar,single,10000,expert_prob − supervised_proxy_ce,delta_student_test_accuracy,-0.2533333333333351,1.2897415761823496,3,"42,43,44"
cifar,single,10000,expert_prob − supervised_proxy_ce,delta_student_test_nll,0.8369077248573306,0.1661545261678175,3,"42,43,44"
cifar,alpha0p1,100,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-4.073333333333333,6.057642555758248,3,"42,43,44"
cifar,alpha0p1,100,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-0.7160299641291304,0.3526911161545586,3,"42,43,44"
cifar,alpha0p1,500,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-10.796666666666667,8.310838305088925,3,"42,43,44"
cifar,alpha0p1,500,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-0.3497574129104614,0.3071504170692924,3,"42,43,44"
cifar,alpha0p1,1000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-14.176666666666666,10.783340546107837,3,"42,43,44"
cifar,alpha0p1,1000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-0.22115203940073677,0.49640243382575866,3,"42,43,44"
cifar,alpha0p1,5000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-24.35,8.415004456326807,3,"42,43,44"
cifar,alpha0p1,5000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,0.28831450208028153,0.2896238004722898,3,"42,43,44"
cifar,alpha0p1,10000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-31.2,10.222421435256907,3,"42,43,44"
cifar,alpha0p1,10000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,0.5943056315422058,0.314587171043117,3,"42,43,44"
cifar,iid,100,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,8.866666666666665,0.8489012506371592,3,"42,43,44"
cifar,iid,100,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-1.2123737197240192,0.12031210129351387,3,"42,43,44"
cifar,iid,500,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,12.320000000000004,0.7254653678846406,3,"42,43,44"
cifar,iid,500,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-1.1013620868364968,0.03365534991494122,3,"42,43,44"
cifar,iid,1000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,11.246666666666668,0.6838372125976557,3,"42,43,44"
cifar,iid,1000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-1.0113552626927695,0.11985937022975074,3,"42,43,44"
cifar,iid,5000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,1.630000000000002,0.769220384545289,3,"42,43,44"
cifar,iid,5000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-0.4543523910045623,0.0055489441504121126,3,"42,43,44"
cifar,iid,10000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-3.653333333333334,0.7433258594542038,3,"42,43,44"
cifar,iid,10000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-0.14186368303298946,0.05903561571679599,3,"42,43,44"
cifar,single,100,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-23.976666666666667,0.9473295801004687,3,"42,43,44"
cifar,single,100,feddf_prob − supervised_proxy_ce,delta_student_test_nll,-0.3789143346150718,0.20214487222882854,3,"42,43,44"
cifar,single,500,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-37.693333333333335,1.0844968111217914,3,"42,43,44"
cifar,single,500,feddf_prob − supervised_proxy_ce,delta_student_test_nll,0.33964060656229655,0.12556309246740754,3,"42,43,44"
cifar,single,1000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-45.56,1.0905503197927187,3,"42,43,44"
cifar,single,1000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,0.6125324703216549,0.24893012844418078,3,"42,43,44"
cifar,single,5000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-63.14000000000001,1.6123275101541859,3,"42,43,44"
cifar,single,5000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,1.404516582043966,0.1609550192153332,3,"42,43,44"
cifar,single,10000,feddf_prob − supervised_proxy_ce,delta_student_test_accuracy,-69.53999999999999,1.3232157798333513,3,"42,43,44"
cifar,single,10000,feddf_prob − supervised_proxy_ce,delta_student_test_nll,1.7372593202908835,0.1693437811141119,3,"42,43,44"
cifar,alpha0p1,100,expert_prob − feddf_prob,delta_student_test_accuracy,4.006666666666665,5.625738470044029,3,"42,43,44"
cifar,alpha0p1,100,expert_prob − feddf_prob,delta_student_test_nll,0.7271452385584517,0.5555038601330058,3,"42,43,44"
cifar,alpha0p1,500,expert_prob − feddf_prob,delta_student_test_accuracy,12.023333333333335,9.046669737164798,3,"42,43,44"
cifar,alpha0p1,500,expert_prob − feddf_prob,delta_student_test_nll,0.22457760918935143,0.5174182953388622,3,"42,43,44"
cifar,alpha0p1,1000,expert_prob − feddf_prob,delta_student_test_accuracy,15.356666666666666,11.175313567561913,3,"42,43,44"
cifar,alpha0p1,1000,expert_prob − feddf_prob,delta_student_test_nll,0.12093712526957205,0.6307552454069674,3,"42,43,44"
cifar,alpha0p1,5000,expert_prob − feddf_prob,delta_student_test_accuracy,21.990000000000002,9.781109344036597,3,"42,43,44"
cifar,alpha0p1,5000,expert_prob − feddf_prob,delta_student_test_nll,-0.16787276344299315,0.3406093445556814,3,"42,43,44"
cifar,alpha0p1,10000,expert_prob − feddf_prob,delta_student_test_accuracy,28.55666666666667,11.177228338605829,3,"42,43,44"
cifar,alpha0p1,10000,expert_prob − feddf_prob,delta_student_test_nll,-0.44096724987030017,0.40962862159083135,3,"42,43,44"
cifar,iid,100,expert_prob − feddf_prob,delta_student_test_accuracy,-0.9566666666666649,0.4119870548128119,3,"42,43,44"
cifar,iid,100,expert_prob − feddf_prob,delta_student_test_nll,0.12964660778045634,0.021915785173926578,3,"42,43,44"
cifar,iid,500,expert_prob − feddf_prob,delta_student_test_accuracy,-1.4400000000000004,0.410731055558258,3,"42,43,44"
cifar,iid,500,expert_prob − feddf_prob,delta_student_test_nll,0.05612800079981484,0.003052161886165505,3,"42,43,44"
cifar,iid,1000,expert_prob − feddf_prob,delta_student_test_accuracy,-0.8366666666666633,0.6101092798288956,3,"42,43,44"
cifar,iid,1000,expert_prob − feddf_prob,delta_student_test_nll,0.047155547046661396,0.01643341637045549,3,"42,43,44"
cifar,iid,5000,expert_prob − feddf_prob,delta_student_test_accuracy,-0.7000000000000006,0.7196526940128902,3,"42,43,44"
cifar,iid,5000,expert_prob − feddf_prob,delta_student_test_nll,0.057058972978591936,0.040732502209583916,3,"42,43,44"
cifar,iid,10000,expert_prob − feddf_prob,delta_student_test_accuracy,-0.07666666666666191,0.3852704677669061,3,"42,43,44"
cifar,iid,10000,expert_prob − feddf_prob,delta_student_test_nll,0.028680452108383214,0.023516102557652317,3,"42,43,44"
cifar,single,100,expert_prob − feddf_prob,delta_student_test_accuracy,24.066666666666666,1.3829798745221622,3,"42,43,44"
cifar,single,100,expert_prob − feddf_prob,delta_student_test_nll,1.858636536280314,0.053422994989911515,3,"42,43,44"
cifar,single,500,expert_prob − feddf_prob,delta_student_test_accuracy,40.56,1.094942920886746,3,"42,43,44"
cifar,single,500,expert_prob − feddf_prob,delta_student_test_nll,0.6274336307525633,0.30796893570008255,3,"42,43,44"
cifar,single,1000,expert_prob − feddf_prob,delta_student_test_accuracy,48.48666666666667,1.9222469491023588,3,"42,43,44"
cifar,single,1000,expert_prob − feddf_prob,delta_student_test_nll,0.24809682769775407,0.2257667957604715,3,"42,43,44"
cifar,single,5000,expert_prob − feddf_prob,delta_student_test_accuracy,63.870000000000005,1.3061010680647875,3,"42,43,44"
cifar,single,5000,expert_prob − feddf_prob,delta_student_test_nll,-0.6013088490168256,0.24068367031269802,3,"42,43,44"
cifar,single,10000,expert_prob − feddf_prob,delta_student_test_accuracy,69.28666666666666,0.7050059101407117,3,"42,43,44"
cifar,single,10000,expert_prob − feddf_prob,delta_student_test_nll,-0.9003515954335529,0.20373724521809036,3,"42,43,44"
