block,dataset,regime,seed,method,proxy_size,found,valid,paired,status,reason
baseline,mnist,iid,42,feddf_prob,10000,1,1,1,complete,
baseline,mnist,iid,42,expert_prob,10000,1,1,1,complete,
baseline,mnist,iid,42,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,iid,42,oracle_prob,10000,1,1,1,complete,
baseline,mnist,iid,42,feddf_logit,10000,1,1,1,complete,
baseline,mnist,iid,42,oracle_logit,10000,1,1,1,complete,
presence,mnist,iid,42,presence_prob,10000,1,1,1,complete,
baseline,mnist,iid,43,feddf_prob,10000,1,1,1,complete,
baseline,mnist,iid,43,expert_prob,10000,1,1,1,complete,
baseline,mnist,iid,43,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,iid,43,oracle_prob,10000,1,1,1,complete,
baseline,mnist,iid,43,feddf_logit,10000,1,1,1,complete,
baseline,mnist,iid,43,oracle_logit,10000,1,1,1,complete,
presence,mnist,iid,43,presence_prob,10000,1,1,1,complete,
baseline,mnist,iid,44,feddf_prob,10000,1,1,1,complete,
baseline,mnist,iid,44,expert_prob,10000,1,1,1,complete,
baseline,mnist,iid,44,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,iid,44,oracle_prob,10000,1,1,1,complete,
baseline,mnist,iid,44,feddf_logit,10000,1,1,1,complete,
baseline,mnist,iid,44,oracle_logit,10000,1,1,1,complete,
presence,mnist,iid,44,presence_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,42,feddf_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,42,expert_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,42,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,alpha1p0,42,oracle_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,42,feddf_logit,10000,1,1,1,complete,
baseline,mnist,alpha1p0,42,oracle_logit,10000,1,1,1,complete,
presence,mnist,alpha1p0,42,presence_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,43,feddf_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,43,expert_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,43,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,alpha1p0,43,oracle_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,43,feddf_logit,10000,1,1,1,complete,
baseline,mnist,alpha1p0,43,oracle_logit,10000,1,1,1,complete,
presence,mnist,alpha1p0,43,presence_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,44,feddf_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,44,expert_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,44,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,alpha1p0,44,oracle_prob,10000,1,1,1,complete,
baseline,mnist,alpha1p0,44,feddf_logit,10000,1,1,1,complete,
baseline,mnist,alpha1p0,44,oracle_logit,10000,1,1,1,complete,
presence,mnist,alpha1p0,44,presence_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,42,feddf_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,42,expert_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,42,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,alpha0p5,42,oracle_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,42,feddf_logit,10000,1,1,1,complete,
baseline,mnist,alpha0p5,42,oracle_logit,10000,1,1,1,complete,
presence,mnist,alpha0p5,42,presence_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,43,feddf_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,43,expert_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,43,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,alpha0p5,43,oracle_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,43,feddf_logit,10000,1,1,1,complete,
baseline,mnist,alpha0p5,43,oracle_logit,10000,1,1,1,complete,
presence,mnist,alpha0p5,43,presence_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,44,feddf_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,44,expert_prob,10000,1,1,1,complete,
baseline,mnist,alpha0p5,44,expert_prob_sr,10000,1,1,1,complete,
