dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll
cifar,alpha0p1,42,expert_prob,supervised_proxy_ce,b64a38c9c8e7fb27,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7773,0.7938,-0.01649999999999996,0.9024679542541504,0.8560695510864258,0.04639840316772459
cifar,alpha0p1,43,expert_prob,supervised_proxy_ce,1ada48c9639e6d5c,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7641,0.7895,-0.025399999999999978,1.0589100246429444,0.9055568433761596,0.15335318126678477
cifar,alpha0p1,44,expert_prob,supervised_proxy_ce,37aeec9803de227f,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7497,0.7871,-0.03739999999999999,1.1247953678131104,0.864531807231903,0.26026356058120736
cifar,alpha0p5,42,expert_prob,supervised_proxy_ce,1a5ec00c049ea18a,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7499,0.7938,-0.04389999999999994,0.785844102859497,0.8560695510864258,-0.07022544822692878
cifar,alpha0p5,43,expert_prob,supervised_proxy_ce,fcb2d6b803bea567,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7615,0.7895,-0.028000000000000025,0.7460794727325439,0.9055568433761596,-0.15947737064361567
cifar,alpha0p5,44,expert_prob,supervised_proxy_ce,43e1e8dbb73f2bc9,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.75,0.7871,-0.03710000000000002,0.8396518667221069,0.864531807231903,-0.02487994050979614
cifar,alpha1p0,42,expert_prob,supervised_proxy_ce,647850f543c3374a,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.771,0.7938,-0.02279999999999993,0.7500233968734741,0.8560695510864258,-0.10604615421295172
cifar,alpha1p0,43,expert_prob,supervised_proxy_ce,342176127b0855ce,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7454,0.7895,-0.04410000000000003,0.7433933478355408,0.9055568433761596,-0.16216349554061882
cifar,alpha1p0,44,expert_prob,supervised_proxy_ce,3f9ec0095a44e2b6,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7503,0.7871,-0.036800000000000055,0.8027165410995484,0.864531807231903,-0.06181526613235466
cifar,iid,42,expert_prob,supervised_proxy_ce,b25818fe5626557a,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7475,0.7938,-0.0462999999999999,0.8006440430164338,0.8560695510864258,-0.055425508069992024
