dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,alpha0p1,42,expert_prob,feddf_prob,b64a38c9c8e7fb27,a9de3e3fa5f06018,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7773,0.3653,0.412,0.9024679542541504,1.8135118171691893,-0.9110438629150389,0.9877,0.4307,0.5569999999999999,1.1238261880797793,1.979957070068027,-0.8561308819882476,1.9856955647391008,2.259694693225501,-0.2739991284864003,0.0,0.0,0.0,0.0,0.0,0.0,2.4,10.0,-7.6,2.4,9.999999999999998,-7.599999999999998
cifar,alpha0p1,43,expert_prob,feddf_prob,1ada48c9639e6d5c,16fbdea328414ca8,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7641,0.5193,0.24480000000000002,1.0589100246429444,1.310298741722107,-0.25138871707916266,0.9577,0.5436,0.4141,1.1223862432089349,1.928491496105181,-0.806105252896246,1.9720120680167648,2.255948474961182,-0.28393640694441724,0.0,0.0,0.0,0.0,0.0,0.0,2.4,10.0,-7.6,2.4,9.999999999999998,-7.599999999999998
cifar,alpha0p1,44,expert_prob,feddf_prob,37aeec9803de227f,be2a4d0042b5c205,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7497,0.5498,0.19990000000000008,1.1247953678131104,1.2852645374298095,-0.1604691696166991,0.966,0.5876,0.37839999999999996,1.1837923584105716,1.8821623226799489,-0.6983699642693773,2.023083901177679,2.248885383450275,-0.22580148227259622,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,-7.0,3.0,9.999999999999998,-6.999999999999998
cifar,alpha0p5,42,expert_prob,feddf_prob,1a5ec00c049ea18a,e8ebfd1b97838513,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7499,0.6758,0.07410000000000005,0.785844102859497,0.9005568826675415,-0.11471277980804451,0.9293,0.708,0.22130000000000005,1.489613779940019,1.7930206170764436,-0.30340683713642447,2.1757462467084903,2.2345380273410296,-0.058791780632539314,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,-6.0,4.0,9.999999999999998,-5.999999999999998
cifar,alpha0p5,43,expert_prob,feddf_prob,fcb2d6b803bea567,97a3221726ba6a99,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7615,0.6949,0.06659999999999999,0.7460794727325439,0.8666470393180847,-0.1205675665855408,0.9344,0.7203,0.21409999999999996,1.4642761844890415,1.782453391486718,-0.3181772069976765,2.155654102811356,2.232264580027308,-0.07661047721595216,0.0,0.0,0.0,0.0,0.0,0.0,3.6,10.0,-6.4,3.6,9.999999999999998,-6.399999999999999
cifar,alpha0p5,44,expert_prob,feddf_prob,43e1e8dbb73f2bc9,b7f165e8e2e18b64,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.75,0.6944,0.05559999999999998,0.8396518667221069,0.8972167292594909,-0.05756486253738402,0.9345,0.7418,0.19269999999999998,1.3793831918242194,1.7281793966554444,-0.348796204831225,2.1296452639602483,2.2192276479821222,-0.0895823840218739,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,-6.0,4.0,9.999999999999998,-5.999999999999998
cifar,alpha1p0,42,expert_prob,feddf_prob,647850f543c3374a,2857c6e300930494,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.771,0.7559,0.015100000000000002,0.7500233968734741,0.7122387742519378,0.03778462262153626,0.9052,0.7935,0.11170000000000002,1.3401403479531933,1.571173702944407,-0.2310333549912138,2.0940857089282034,2.171959650650655,-0.07787394172245143,0.0,0.0,0.0,0.0,0.0,0.0,4.1,10.0,-5.9,4.1,9.999999999999998,-5.899999999999999
cifar,alpha1p0,43,expert_prob,feddf_prob,342176127b0855ce,91ad428d435968d6,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7454,0.7312,0.01419999999999999,0.7433933478355408,0.7610089792251586,-0.01761563138961786,0.8689,0.7539,0.11499999999999999,1.5763668522951644,1.721840387010635,-0.14547353471547053,2.1900683708490165,2.216283150209995,-0.02621477936097838,1000.0,0.0,1000.0,0.1,0.0,0.1,3.9,10.0,-6.1,4.9,9.999999999999998,-5.099999999999998
cifar,alpha1p0,44,expert_prob,feddf_prob,3f9ec0095a44e2b6,029ecf7489812429,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7503,0.7383,0.01200000000000001,0.8027165410995484,0.757378346824646,0.04533819427490238,0.9117,0.7787,0.133,1.4359060444522842,1.6707446908972052,-0.23483864644492103,2.1451626937592603,2.2023163942818784,-0.057153700522618145,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,-6.0,4.0,9.999999999999998,-5.999999999999998
cifar,iid,42,expert_prob,feddf_prob,b25818fe5626557a,a00f0c26cb8bbcde,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7475,0.7522,-0.0046999999999999265,0.8006440430164338,0.7609709712982178,0.03967307171821599,0.7923,0.7964,-0.0040999999999999925,1.5140357059241016,1.5508668901104945,-0.03683118418639286,2.14505773788061,2.162036171763306,-0.01697843388269593,1000.0,0.0,1000.0,0.1,0.0,0.1,5.5,10.0,-4.5,6.5,9.999999999999998,-3.4999999999999982
