dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll
cifar,alpha0p1,42,feddf_prob,supervised_proxy_ce,a9de3e3fa5f06018,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.3653,0.7938,-0.42849999999999994,1.8135118171691893,0.8560695510864258,0.9574422660827635
cifar,alpha0p1,43,feddf_prob,supervised_proxy_ce,16fbdea328414ca8,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.5193,0.7895,-0.2702,1.310298741722107,0.9055568433761596,0.4047418983459474
cifar,alpha0p1,44,feddf_prob,supervised_proxy_ce,be2a4d0042b5c205,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.5498,0.7871,-0.23730000000000007,1.2852645374298095,0.864531807231903,0.42073273019790647
cifar,alpha0p5,42,feddf_prob,supervised_proxy_ce,e8ebfd1b97838513,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.6758,0.7938,-0.118,0.9005568826675415,0.8560695510864258,0.04448733158111573
cifar,alpha0p5,43,feddf_prob,supervised_proxy_ce,97a3221726ba6a99,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.6949,0.7895,-0.09460000000000002,0.8666470393180847,0.9055568433761596,-0.03890980405807487
cifar,alpha0p5,44,feddf_prob,supervised_proxy_ce,b7f165e8e2e18b64,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.6944,0.7871,-0.0927,0.8972167292594909,0.864531807231903,0.03268492202758788
cifar,alpha1p0,42,feddf_prob,supervised_proxy_ce,2857c6e300930494,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7559,0.7938,-0.037899999999999934,0.7122387742519378,0.8560695510864258,-0.14383077683448797
cifar,alpha1p0,43,feddf_prob,supervised_proxy_ce,91ad428d435968d6,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7312,0.7895,-0.05830000000000002,0.7610089792251586,0.9055568433761596,-0.14454786415100096
cifar,alpha1p0,44,feddf_prob,supervised_proxy_ce,029ecf7489812429,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7383,0.7871,-0.048800000000000066,0.757378346824646,0.864531807231903,-0.10715346040725704
cifar,iid,42,feddf_prob,supervised_proxy_ce,a00f0c26cb8bbcde,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7522,0.7938,-0.04159999999999997,0.7609709712982178,0.8560695510864258,-0.09509857978820802
cifar,iid,43,feddf_prob,supervised_proxy_ce,e87c11f117ac21ff,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7615,0.7895,-0.028000000000000025,0.6973574625968934,0.9055568433761596,-0.20819938077926625
cifar,iid,44,feddf_prob,supervised_proxy_ce,fa2bcb5db7319c76,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7471,0.7871,-0.040000000000000036,0.7422387187004089,0.864531807231903,-0.12229308853149412
cifar,multi,42,feddf_prob,supervised_proxy_ce,faf19ceb1b28e46e,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.5142,0.7938,-0.27959999999999996,1.4455529586791993,0.8560695510864258,0.5894834075927735
cifar,multi,43,feddf_prob,supervised_proxy_ce,713d6b6a6dec828d,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.423,0.7895,-0.3665,1.660233941078186,0.9055568433761596,0.7546770977020263
cifar,multi,44,feddf_prob,supervised_proxy_ce,b37afb16cfc0a581,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.5097,0.7871,-0.2774,1.3987098165512084,0.864531807231903,0.5341780093193054
cifar,single,42,feddf_prob,supervised_proxy_ce,dcc1cd8b8d9e76db,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.0844,0.7938,-0.7093999999999999,2.788810957336426,0.8560695510864258,1.9327414062500001
cifar,single,43,feddf_prob,supervised_proxy_ce,30fad745b10be4d3,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.1064,0.7895,-0.6831,2.540905977630615,0.9055568433761596,1.6353491342544555
