contrast,dataset,positive_accuracy_regimes,negative_accuracy_regimes,negative_nll_regimes,accuracy_min_pp,accuracy_max_pp,complete_regimes
competence_presence,cifar,"alpha0p1,alpha0p5,alpha1p0",iid,alpha0p5,-0.07666666666666191,5.246666666666663,6
competence_presence,fmnist,"alpha0p1,alpha0p5,alpha1p0,iid",,alpha0p5,0.0,2.950000000000001,6
competence_presence,mnist,"alpha0p1,alpha0p5,alpha1p0",,"alpha0p1,alpha0p5,alpha1p0,iid",0.0,0.473333333333333,6
expert_ce,cifar,,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single","alpha0p5,alpha1p0,iid",-3.9166666666666607,-0.2533333333333351,6
expert_ce,fmnist,"multi,single","alpha0p1,alpha0p5,alpha1p0,iid","alpha0p5,alpha1p0,iid",-1.0266666666666682,0.5233333333333312,6
expert_ce,mnist,"alpha0p1,multi,single","alpha0p5,alpha1p0,iid",,-0.5633333333333379,0.17666666666666203,6
expertise,cifar,"alpha0p1,alpha0p5,alpha1p0,multi,single",iid,"alpha0p1,alpha0p5,single",-0.07666666666666191,69.28666666666666,6
expertise,fmnist,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",,"alpha0p1,alpha0p5,multi",0.06666666666666674,80.29666666666667,6
expertise,mnist,"alpha0p1,alpha0p5,alpha1p0,multi,single",,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",0.0,88.73,6
feddf_ce,cifar,,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single","alpha1p0,iid",-69.53999999999999,-3.653333333333334,6
feddf_ce,fmnist,,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single","alpha1p0,iid",-79.77333333333334,-1.033333333333334,6
feddf_ce,mnist,,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",,-88.64999999999999,-0.20000000000000387,6
oracle_expert,cifar,"alpha0p5,alpha1p0,iid,multi",alpha0p1,"alpha0p5,alpha1p0,iid,multi",-4.0566666666666675,1.0866666666666656,6
oracle_expert,fmnist,"alpha0p1,alpha0p5,alpha1p0,iid",multi,"alpha0p1,alpha0p5,alpha1p0,iid",-0.060000000000004494,0.8766666666666664,6
oracle_expert,mnist,"alpha0p1,alpha0p5,alpha1p0,iid,multi",,"alpha0p1,alpha0p5,alpha1p0,iid,multi",0.0,0.33666666666667033,6
pooling_expert,cifar,"alpha0p1,alpha0p5,alpha1p0,iid",multi,"alpha0p1,alpha0p5,alpha1p0,iid,multi",-0.10999999999999899,2.8000000000000025,0
pooling_expert,fmnist,"alpha0p5,alpha1p0,iid,multi",alpha0p1,"alpha0p1,alpha0p5,alpha1p0,iid,multi",-0.1599999999999972,0.2366666666666665,6
pooling_expert,mnist,"alpha0p5,alpha1p0,iid,multi",alpha0p1,"alpha0p1,alpha0p5,alpha1p0,iid,multi",-0.030000000000000398,0.09333333333333046,6
pooling_feddf,cifar,"alpha0p1,alpha0p5,alpha1p0,iid,multi",single,"alpha0p1,alpha0p5,alpha1p0,multi,single",-0.40000000000000036,12.543333333333331,6
pooling_feddf,fmnist,"alpha0p1,alpha0p5,alpha1p0,multi","iid,single","alpha0p1,alpha0p5,alpha1p0,multi,single",-0.34666666666666646,18.55,6
pooling_feddf,mnist,"alpha0p1,alpha0p5,alpha1p0,iid,multi",single,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",-0.24333333333333337,15.369999999999997,6
pooling_oracle,cifar,"alpha0p5,alpha1p0","alpha0p1,iid,multi","alpha0p5,alpha1p0,multi",-1.889999999999999,0.736666666666667,6
pooling_oracle,fmnist,"alpha0p1,alpha0p5,alpha1p0,iid,multi",,"alpha0p1,alpha0p5,alpha1p0,multi",0.0,0.28666666666666474,6
pooling_oracle,mnist,"alpha0p1,alpha0p5,iid,multi",alpha1p0,"alpha0p1,alpha0p5,alpha1p0,iid,multi",-0.0066666666666659324,0.046666666666668924,6
selection,cifar,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",1.3466666666666627,68.88666666666666,6
selection,fmnist,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",0.5699999999999965,79.95,6
selection,mnist,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",,"alpha0p1,alpha0p5,alpha1p0,iid,multi,single",0.12000000000000528,88.48666666666668,6
support,cifar,single,"alpha0p1,alpha0p5,alpha1p0,iid,multi",,-6.743333333333334,0.5733333333333368,6
support,fmnist,single,"alpha0p1,alpha0p5,alpha1p0,iid,multi",single,-1.263333333333335,0.1566666666666679,6
support,mnist,"alpha0p5,alpha1p0,single","alpha0p1,multi","alpha1p0,iid,single",-0.34666666666666546,0.22000000000000167,6
