dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers,presence_density,expertise_density,mask_disagreements,absent_train,no_expertise,min,median,max
cifar,alpha0p1,42,expert_prob,presence_prob,b64a38c9c8e7fb27,225e3548ce92366e,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7773,0.7121,0.06520000000000004,0.9024679542541504,0.935747580909729,-0.0332796266555786,0.9877,0.9399,0.047800000000000065,1.1238261880797793,1.5057136684127743,-0.381887480332995,1.9856955647391008,2.1802592572854818,-0.19456369254638095,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.5,-3.1,2.4,5.5,-3.1,0.55,0.24,31,45,49,13,289.0,761
cifar,alpha0p1,43,expert_prob,presence_prob,1ada48c9639e6d5c,f8d9267044e45c3b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7641,0.746,0.018100000000000005,1.0589100246429444,0.8340063423156738,0.22490368232727054,0.9577,0.934,0.023699999999999943,1.1223862432089349,1.4962579946210932,-0.37387175141215834,1.9720120680167648,2.1781818163284936,-0.20616974831172885,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.9,-3.5000000000000004,2.4,5.9,-3.5000000000000004,0.59,0.24,35,41,47,8,282.0,743
cifar,alpha0p1,44,expert_prob,presence_prob,37aeec9803de227f,587791d718ff4a92,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7497,0.7376,0.0121,1.1247953678131104,0.9165127767562866,0.20828259105682378,0.966,0.9554,0.010599999999999943,1.1837923584105716,1.3956722451772692,-0.21187988676669756,2.023083901177679,2.1466928731763044,-0.12360897199862553,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.6,-2.5999999999999996,3.0,5.6,-2.5999999999999996,0.56,0.3,26,44,47,18,264.0,523
cifar,alpha0p5,42,expert_prob,presence_prob,1a5ec00c049ea18a,240d20f2596b7a5a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7499,0.6875,0.06240000000000001,0.785844102859497,0.8663060916900635,-0.08046198883056643,0.9293,0.7393,0.19000000000000006,1.489613779940019,1.7751630897272217,-0.2855493097872026,2.1757462467084903,2.233347265913161,-0.057601019204670756,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.8,-5.800000000000001,4.0,9.8,-5.800000000000001,0.98,0.4,58,2,6,29,129.5,459
cifar,alpha0p5,43,expert_prob,presence_prob,fcb2d6b803bea567,d4038d5bcc2c6bc7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7615,0.7102,0.0512999999999999,0.7460794727325439,0.834981845664978,-0.08890237293243408,0.9344,0.7632,0.17120000000000002,1.4642761844890415,1.7645115157222848,-0.3002353312332433,2.155654102811356,2.230982436885406,-0.07532833407405004,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9.8,-6.200000000000001,3.6,9.8,-6.200000000000001,0.98,0.36,62,2,7,29,118.0,452
cifar,alpha0p5,44,expert_prob,presence_prob,43e1e8dbb73f2bc9,a9472ad2cc94ab9b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.75,0.7063,0.04369999999999996,0.8396518667221069,0.8501802586555481,-0.010528391933441239,0.9345,0.8152,0.11929999999999996,1.3793831918242194,1.6737846865062225,-0.29440149468200305,2.1296452639602483,2.2124666515675,-0.08282138760725166,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.4,-5.4,4.0,9.4,-5.4,0.94,0.4,54,6,8,44,123.0,451
cifar,alpha1p0,42,expert_prob,presence_prob,647850f543c3374a,c0750a67a0c648c2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.771,0.7561,0.014900000000000024,0.7500233968734741,0.710434962272644,0.03958843460083006,0.9052,0.7974,0.1078,1.3401403479531933,1.5613790479372442,-0.221238699984051,2.0940857089282034,2.1682212036410835,-0.07413549471288006,0.0,0.0,0.0,0.0,0.0,0.0,4.1,9.9,-5.800000000000001,4.1,9.9,-5.800000000000001,0.99,0.41,58,1,1,25,112.0,348
cifar,alpha1p0,43,expert_prob,presence_prob,342176127b0855ce,d8138bb4abcf6266,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7454,0.7312,0.01419999999999999,0.7433933478355408,0.7610089792251586,-0.01761563138961786,0.8689,0.7539,0.11499999999999999,1.5763668522951644,1.721840387010635,-0.14547353471547053,2.1900683708490165,2.216283150209995,-0.02621477936097838,1000.0,0.0,1000.0,0.1,0.0,0.1,3.9,10.0,-6.1,4.9,9.999999999999998,-5.099999999999998,1.0,0.39,61,0,1,40,109.0,288
cifar,alpha1p0,44,expert_prob,presence_prob,3f9ec0095a44e2b6,2e4606dd8c426730,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7503,0.7383,0.01200000000000001,0.8027165410995484,0.757378346824646,0.04533819427490238,0.9117,0.7787,0.133,1.4359060444522842,1.6707446908972052,-0.23483864644492103,2.1451626937592603,2.2023163942818784,-0.057153700522618145,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,-6.0,4.0,9.999999999999998,-5.999999999999998,1.0,0.4,60,0,2,22,137.0,323
cifar,iid,42,expert_prob,presence_prob,b25818fe5626557a,3f9308c5c90c7986,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7475,0.7522,-0.0046999999999999265,0.8006440430164338,0.7609709712982178,0.03967307171821599,0.7923,0.7964,-0.0040999999999999925,1.5140357059241016,1.5508668901104945,-0.03683118418639286,2.14505773788061,2.162036171763306,-0.01697843388269593,1000.0,0.0,1000.0,0.1,0.0,0.1,5.5,10.0,-4.5,6.5,9.999999999999998,-3.4999999999999982,1.0,0.55,45,0,0,80,80.0,80
