dataset,regime,seed,client,class,expertise_count,expertise_accuracy,M,experts_for_class,classes_for_teacher,evidence,train_count,validation_count,A,A_minus_M,diagnostic
mnist,iid,42,0,0,99,0.9898989796638488,1,10,10,True,345,49,1,0,accredited
mnist,iid,42,0,1,115,0.9652174115180968,1,10,10,True,403,57,1,0,accredited
mnist,iid,42,0,2,99,0.9494949579238892,1,10,10,True,347,50,1,0,accredited
mnist,iid,42,0,3,103,0.9514563083648682,1,10,10,True,360,51,1,0,accredited
mnist,iid,42,0,4,97,0.9793814420700072,1,10,10,True,340,48,1,0,accredited
mnist,iid,42,0,5,89,0.9887640476226808,1,10,10,True,310,44,1,0,accredited
mnist,iid,42,0,6,98,0.9897959232330322,1,10,10,True,345,49,1,0,accredited
mnist,iid,42,0,7,105,0.9904761910438538,1,10,10,True,369,53,1,0,accredited
mnist,iid,42,0,8,97,0.969072163105011,1,10,10,True,340,49,1,0,accredited
mnist,iid,42,0,9,99,0.9898989796638488,1,10,10,True,347,49,1,0,accredited
mnist,iid,42,1,0,99,0.9898989796638488,1,10,10,True,345,49,1,0,accredited
mnist,iid,42,1,1,115,0.9652174115180968,1,10,10,True,403,57,1,0,accredited
mnist,iid,42,1,2,99,0.9595959782600404,1,10,10,True,347,50,1,0,accredited
mnist,iid,42,1,3,103,0.9902912378311156,1,10,10,True,359,51,1,0,accredited
mnist,iid,42,1,4,97,0.9896907210350036,1,10,10,True,340,48,1,0,accredited
mnist,iid,42,1,5,88,0.9545454382896424,1,10,10,True,310,44,1,0,accredited
mnist,iid,42,1,6,98,0.9897959232330322,1,10,10,True,345,49,1,0,accredited
mnist,iid,42,1,7,105,0.9714285731315612,1,10,10,True,369,53,1,0,accredited
mnist,iid,42,1,8,97,0.9896907210350036,1,10,10,True,340,48,1,0,accredited
mnist,iid,42,1,9,99,0.9797979593276978,1,10,10,True,347,49,1,0,accredited
mnist,iid,42,2,0,99,1.0,1,10,10,True,345,49,1,0,accredited
mnist,iid,42,2,1,115,1.0,1,10,10,True,402,57,1,0,accredited
mnist,iid,42,2,2,99,0.9797979593276978,1,10,10,True,347,50,1,0,accredited
mnist,iid,42,2,3,103,0.9902912378311156,1,10,10,True,359,51,1,0,accredited
mnist,iid,42,2,4,97,0.9896907210350036,1,10,10,True,339,48,1,0,accredited
mnist,iid,42,2,5,88,0.9772727489471436,1,10,10,True,310,44,1,0,accredited
mnist,iid,42,2,6,98,0.9795918464660645,1,10,10,True,345,49,1,0,accredited
mnist,iid,42,2,7,105,0.9809523820877076,1,10,10,True,369,53,1,0,accredited
mnist,iid,42,2,8,97,0.9175257682800292,1,10,10,True,340,48,1,0,accredited
mnist,iid,42,2,9,99,0.9898989796638488,1,10,10,True,347,49,1,0,accredited
mnist,iid,42,3,0,98,1.0,1,10,10,True,345,49,1,0,accredited
mnist,iid,42,3,1,115,0.9652174115180968,1,10,10,True,402,57,1,0,accredited
mnist,iid,42,3,2,99,1.0,1,10,10,True,347,50,1,0,accredited
