dataset,regime,seed,presence_density,expertise_density,mask_disagreements,absent_train,no_expertise,min,median,max
cifar,alpha0p1,42,0.55,0.24,31,45,49,13,289.0,761
cifar,alpha0p1,43,0.59,0.24,35,41,47,8,282.0,743
cifar,alpha0p1,44,0.56,0.3,26,44,47,18,264.0,523
cifar,alpha0p5,42,0.98,0.4,58,2,6,29,129.5,459
cifar,alpha0p5,43,0.98,0.36,62,2,7,29,118.0,452
cifar,alpha0p5,44,0.94,0.4,54,6,8,44,123.0,451
cifar,alpha1p0,42,0.99,0.41,58,1,1,25,112.0,348
cifar,alpha1p0,43,1.0,0.39,61,0,1,40,109.0,288
cifar,alpha1p0,44,1.0,0.4,60,0,2,22,137.0,323
cifar,iid,42,1.0,0.55,45,0,0,80,80.0,80
cifar,iid,43,1.0,0.47,53,0,0,80,80.0,80
cifar,iid,44,1.0,0.52,48,0,0,80,80.0,80
cifar,multi,42,0.2,0.2,0,80,80,400,400.0,400
cifar,multi,43,0.2,0.2,0,80,80,400,400.0,400
cifar,multi,44,0.2,0.2,0,80,80,400,400.0,400
cifar,single,42,0.1,0.1,0,90,90,800,800.0,800
cifar,single,43,0.1,0.1,0,90,90,800,800.0,800
cifar,single,44,0.1,0.1,0,90,90,800,800.0,800
fmnist,alpha0p1,42,0.49,0.35,14,51,53,3,157.0,934
fmnist,alpha0p1,43,0.55,0.38,17,45,49,1,101.0,964
fmnist,alpha0p1,44,0.62,0.42,20,38,43,2,113.5,875
fmnist,alpha0p5,42,0.98,0.6,38,2,8,1,99.0,604
fmnist,alpha0p5,43,0.98,0.57,41,2,8,3,105.0,761
fmnist,alpha0p5,44,0.98,0.66,32,2,5,1,99.0,601
fmnist,alpha1p0,42,1.0,0.63,37,0,0,8,125.0,429
fmnist,alpha1p0,43,0.99,0.71,28,1,2,4,111.0,439
fmnist,alpha1p0,44,1.0,0.74,26,0,0,1,89.0,494
fmnist,iid,42,1.0,0.84,16,0,0,100,100.0,100
fmnist,iid,43,1.0,0.76,24,0,0,100,100.0,100
fmnist,iid,44,1.0,0.8,20,0,0,100,100.0,100
fmnist,multi,42,0.2,0.2,0,80,80,500,500.0,500
fmnist,multi,43,0.2,0.2,0,80,80,500,500.0,500
fmnist,multi,44,0.2,0.2,0,80,80,500,500.0,500
fmnist,single,42,0.1,0.1,0,90,90,1000,1000.0,1000
fmnist,single,43,0.1,0.1,0,90,90,1000,1000.0,1000
fmnist,single,44,0.1,0.1,0,90,90,1000,1000.0,1000
mnist,alpha0p1,42,0.68,0.48,20,32,35,1,118.0,892
mnist,alpha0p1,43,0.5,0.33,17,50,54,1,117.0,1102
mnist,alpha0p1,44,0.55,0.41,14,45,47,1,106.0,781
mnist,alpha0p5,42,0.96,0.73,23,4,4,3,71.0,935
mnist,alpha0p5,43,0.94,0.73,21,6,7,1,74.0,597
mnist,alpha0p5,44,0.96,0.76,20,4,5,1,87.5,507
mnist,alpha1p0,42,1.0,0.85,15,0,0,1,91.0,431
mnist,alpha1p0,43,0.99,0.87,12,1,2,10,82.0,503
mnist,alpha1p0,44,1.0,0.83,17,0,1,5,109.0,468
mnist,iid,42,1.0,1.0,0,0,0,88,99.0,115
mnist,iid,43,1.0,0.98,2,0,0,88,99.0,115
mnist,iid,44,1.0,1.0,0,0,0,88,99.0,115
mnist,multi,42,0.2,0.2,0,80,80,442,493.5,574
mnist,multi,43,0.2,0.2,0,80,80,442,493.5,574
mnist,multi,44,0.2,0.2,0,80,80,442,493.5,574
mnist,single,42,0.1,0.1,0,90,90,884,987.5,1148
mnist,single,43,0.1,0.1,0,90,90,884,987.5,1148
mnist,single,44,0.1,0.1,0,90,90,884,987.5,1148
