method,dataset,regime,seed,valid
expert_logit,mnist,iid,42,True
expert_logit,mnist,iid,43,True
expert_logit,mnist,iid,44,True
expert_logit,mnist,alpha1p0,42,True
expert_logit,mnist,alpha1p0,43,True
expert_logit,mnist,alpha1p0,44,True
expert_logit,mnist,alpha0p5,42,True
expert_logit,mnist,alpha0p5,43,True
expert_logit,mnist,alpha0p5,44,True
expert_logit,mnist,alpha0p1,42,True
expert_logit,mnist,alpha0p1,43,True
expert_logit,mnist,alpha0p1,44,True
expert_logit,mnist,multi,42,True
expert_logit,mnist,multi,43,True
expert_logit,mnist,multi,44,True
expert_logit,mnist,single,42,True
expert_logit,mnist,single,43,True
expert_logit,mnist,single,44,True
expert_logit,fmnist,iid,42,True
expert_logit,fmnist,iid,43,True
expert_logit,fmnist,iid,44,True
expert_logit,fmnist,alpha1p0,42,True
expert_logit,fmnist,alpha1p0,43,True
expert_logit,fmnist,alpha1p0,44,True
expert_logit,fmnist,alpha0p5,42,True
expert_logit,fmnist,alpha0p5,43,True
expert_logit,fmnist,alpha0p5,44,True
expert_logit,fmnist,alpha0p1,42,True
expert_logit,fmnist,alpha0p1,43,True
expert_logit,fmnist,alpha0p1,44,True
expert_logit,fmnist,multi,42,True
expert_logit,fmnist,multi,43,True
expert_logit,fmnist,multi,44,True
expert_logit,fmnist,single,42,True
expert_logit,fmnist,single,43,True
expert_logit,fmnist,single,44,True
expert_logit,cifar,iid,42,True
expert_logit,cifar,iid,43,False
expert_logit,cifar,iid,44,False
expert_logit,cifar,alpha1p0,42,True
expert_logit,cifar,alpha1p0,43,False
expert_logit,cifar,alpha1p0,44,False
expert_logit,cifar,alpha0p5,42,True
expert_logit,cifar,alpha0p5,43,False
expert_logit,cifar,alpha0p5,44,False
expert_logit,cifar,alpha0p1,42,True
expert_logit,cifar,alpha0p1,43,False
expert_logit,cifar,alpha0p1,44,False
expert_logit,cifar,multi,42,True
expert_logit,cifar,multi,43,False
expert_logit,cifar,multi,44,False
expert_logit,cifar,single,42,False
expert_logit,cifar,single,43,False
expert_logit,cifar,single,44,False
confidence_logit,mnist,iid,42,True
confidence_logit,mnist,iid,43,True
confidence_logit,mnist,iid,44,True
confidence_logit,mnist,alpha1p0,42,True
confidence_logit,mnist,alpha1p0,43,True
confidence_logit,mnist,alpha1p0,44,True
confidence_logit,mnist,alpha0p5,42,True
confidence_logit,mnist,alpha0p5,43,True
confidence_logit,mnist,alpha0p5,44,True
confidence_logit,mnist,alpha0p1,42,True
confidence_logit,mnist,alpha0p1,43,True
confidence_logit,mnist,alpha0p1,44,True
confidence_logit,mnist,multi,42,True
confidence_logit,mnist,multi,43,True
