dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,alpha0p1,42,oracle_prob,expert_prob,00686f5118aeb695,b64a38c9c8e7fb27,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7518,0.7773,-0.025499999999999967,0.986020357131958,0.9024679542541504,0.08355240287780763,0.9838,0.9877,-0.0039000000000000146,1.1692050592594467,1.1238261880797793,0.045378871179667435,2.027184539839382,1.9856955647391008,0.04148897510028138,166.0,0.0,166.0,0.0166,0.0,0.0166,2.6603,2.4,0.2603,2.8263,2.4,0.4262999999999999
cifar,alpha0p1,43,oracle_prob,expert_prob,6afa9f7cfd9ff638,1ada48c9639e6d5c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7159,0.7641,-0.04820000000000002,1.3151249069213866,1.0589100246429444,0.25621488227844225,0.976,0.9577,0.018299999999999983,1.1769675869374612,1.1223862432089349,0.0545813437285263,2.023952632805094,1.9720120680167648,0.05194056478832931,253.0,0.0,253.0,0.0253,0.0,0.0253,2.877,2.4,0.47699999999999987,3.13,2.4,0.73
cifar,alpha0p1,44,oracle_prob,expert_prob,a8fe0a2ce6881868,37aeec9803de227f,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7017,0.7497,-0.04800000000000004,1.330998456954956,1.1247953678131104,0.2062030891418456,0.9811,0.966,0.015100000000000002,1.2125122598864693,1.1837923584105716,0.028719901475897647,2.061538460365892,2.023083901177679,0.03845455918821328,218.0,0.0,218.0,0.0218,0.0,0.0218,3.3711,3.0,0.3711000000000002,3.5891,3.0,0.5891000000000002
cifar,alpha0p5,42,oracle_prob,expert_prob,5fc434b11f27e147,1a5ec00c049ea18a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7638,0.7499,0.013900000000000023,0.6917625277519226,0.785844102859497,-0.09408157510757442,0.9715,0.9293,0.042200000000000015,1.5245548823583304,1.489613779940019,0.034941102418311276,2.1931450165025352,2.1757462467084903,0.017398769794044977,287.0,0.0,287.0,0.0287,0.0,0.0287,4.6804,4.0,0.6803999999999997,4.9674,4.0,0.9673999999999996
cifar,alpha0p5,43,oracle_prob,expert_prob,1433645606357b07,fcb2d6b803bea567,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7504,0.7615,-0.011099999999999999,0.7900759433746338,0.7460794727325439,0.04399647064208989,0.9703,0.9344,0.03590000000000004,1.4955917009759745,1.4642761844890415,0.03131551648693298,2.180695431841676,2.155654102811356,0.025041329030319748,303.0,0.0,303.0,0.0303,0.0,0.0303,4.477,3.6,0.8770000000000002,4.78,3.6,1.1800000000000002
cifar,alpha0p5,44,oracle_prob,expert_prob,bc97d7978a92757f,43e1e8dbb73f2bc9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7626,0.75,0.012599999999999945,0.7346429990768433,0.8396518667221069,-0.10500886764526363,0.9775,0.9345,0.04300000000000004,1.405382707336067,1.3793831918242194,0.025999515511847537,2.151376977193886,2.1296452639602483,0.021731713233637873,229.0,0.0,229.0,0.0229,0.0,0.0229,4.7104,4.0,0.7103999999999999,4.9394,4.0,0.9394
cifar,alpha1p0,42,oracle_prob,expert_prob,bd0b8b1cafbe0b59,647850f543c3374a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7738,0.771,0.0028000000000000247,0.6953941226005554,0.7500233968734741,-0.05462927427291864,0.97,0.9052,0.06479999999999997,1.3739057978443223,1.3401403479531933,0.03376544989112906,2.127372079033881,2.0940857089282034,0.03328637010567759,300.0,0.0,300.0,0.03,0.0,0.03,5.8384,4.1,1.7384000000000004,6.1384,4.1,2.0384
cifar,alpha1p0,43,oracle_prob,expert_prob,188b73fd6991bb7b,342176127b0855ce,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7583,0.7454,0.012900000000000023,0.6978022964477539,0.7433933478355408,-0.04559105138778685,0.9617,0.8689,0.0928,1.5759577152979167,1.5763668522951644,-0.00040913699724764996,2.1991748867691947,2.1900683708490165,0.009106515920178193,384.0,1000.0,-616.0,0.0384,0.1,-0.06160000000000001,5.7219,3.9,1.8218999999999999,6.1059,4.9,1.2058999999999997
cifar,alpha1p0,44,oracle_prob,expert_prob,976891d6ce61e4cc,3f9ec0095a44e2b6,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7661,0.7503,0.015800000000000036,0.6973844346046447,0.8027165410995484,-0.10533210649490365,0.9699,0.9117,0.05820000000000003,1.4757346228513926,1.4359060444522842,0.03982857839910836,2.171991094811693,2.1451626937592603,0.02682840105243267,306.0,0.0,306.0,0.0306,0.0,0.0306,5.4941,4.0,1.4941000000000004,5.8001,4.0,1.8000999999999996
cifar,iid,42,oracle_prob,expert_prob,c5960233e7e78787,b25818fe5626557a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.762,0.7475,0.014499999999999957,0.7252334352016448,0.8006440430164338,-0.07541060781478892,0.953,0.7923,0.16069999999999995,1.4714634789580352,1.5140357059241016,-0.04257222696606644,2.1536808567381662,2.14505773788061,0.008623118857556289,470.0,1000.0,-530.0,0.047,0.1,-0.053000000000000005,6.9446,5.5,1.4446000000000003,7.4146,6.5,0.9146000000000001
cifar,iid,43,oracle_prob,expert_prob,ebd4fe9dbb3a6e0a,732fa36ec846a6f7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7689,0.7609,0.008000000000000007,0.6935678791046143,0.742044600391388,-0.048476721286773716,0.9542,0.8183,0.13590000000000002,1.4978063688242211,1.500048393402514,-0.0022420245782928117,2.164529142237381,2.1448883830815526,0.019640759155828302,460.0,1000.0,-540.0,0.046,0.1,-0.054000000000000006,6.6464,4.7,1.9463999999999997,7.1064,5.7,1.4063999999999997
cifar,iid,44,oracle_prob,expert_prob,98037d56541a91a1,f048d10da4d4f8c5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7602,0.7501,0.010099999999999998,0.6973271984100342,0.7439198655128479,-0.046592667102813734,0.9506,0.8219,0.12870000000000004,1.532354719515066,1.5625314945492446,-0.030176775034178593,2.175826124977973,2.1693333030041497,0.006492821973823393,494.0,1000.0,-506.0,0.0494,0.1,-0.050600000000000006,6.7879,5.2,1.5878999999999994,7.2819,6.2,1.0819
cifar,multi,42,oracle_prob,expert_prob,8890e361e723bfaf,e45d743ef17dcac0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.756,0.7485,0.007499999999999951,1.4651527351379394,1.5690236114501954,-0.103870876312256,0.9682,0.942,0.0262,0.8011927884259293,0.774684495313124,0.026508293112805337,1.6386350275178208,1.6246264559525458,0.014008571565274908,328.0,0.0,328.0,0.0328,0.0,0.0328,1.8513,2.0,-0.14870000000000005,2.1793,2.0,0.17930000000000001
cifar,multi,43,oracle_prob,expert_prob,0ef3f2f21cd2a102,cccf669675b00118,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7363,0.7377,-0.0014000000000000679,1.5475525390625,1.588653736114502,-0.04110119705200188,0.9609,0.9265,0.034399999999999986,0.8400127851713445,0.8099299222557768,0.03008286291556772,1.644655158204403,1.629249439199916,0.01540571900448695,401.0,0.0,401.0,0.0401,0.0,0.0401,1.8053,2.0,-0.1947000000000001,2.2063,2.0,0.20630000000000015
cifar,multi,44,oracle_prob,expert_prob,90b453e37aa2a237,c75c2a10a08cf2fd,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7612,0.7667,-0.00550000000000006,1.5229028438568115,1.5695095485687256,-0.04660670471191408,0.9715,0.9474,0.02410000000000001,0.7591748037923142,0.7364628298630538,0.022711973929260387,1.5940414302713088,1.5782369921977493,0.01580443807355958,293.0,0.0,293.0,0.0293,0.0,0.0293,1.865,2.0,-0.135,2.158,2.0,0.15799999999999992
cifar,single,42,oracle_prob,expert_prob,a331dc9eabe1e5b8,f384e4ed50945edc,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7827,0.7827,0.0,1.7387799139022828,1.7387799139022828,0.0,1.0,1.0,0.0,0.3454380084591673,0.3454380084591673,0.0,1.1749363584860764,1.1749363584860764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
cifar,single,43,oracle_prob,expert_prob,d50362a1d4b30185,9d78cd505aef877c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8018,0.8018,0.0,1.558212961578369,1.558212961578369,0.0,1.0,1.0,0.0,0.3181445951576681,0.3181445951576681,0.0,1.1515907386505606,1.1515907386505606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
cifar,single,44,oracle_prob,expert_prob,5057abc673058bb2,5284426a3da466ef,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7783,0.7783,0.0,1.839888500785828,1.839888500785828,0.0,1.0,1.0,0.0,0.310253358283077,0.310253358283077,0.0,1.1268682133606789,1.1268682133606789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
