dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,alpha0p1,42,expert_prob,expert_logit,b64a38c9c8e7fb27,6869eda71ce63e5e,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.7773,0.7493,0.028000000000000025,0.9024679542541504,1.1510407949447632,-0.2485728406906128,0.9877,0.992,-0.0042999999999999705,1.1238261880797793,1.042674255378817,0.08115193270096221,1.9856955647391008,1.9470094644683988,0.03868610027070196,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.0,2.4,2.4,0.0
cifar,alpha0p5,42,expert_prob,expert_logit,1a5ec00c049ea18a,70fd45cb24397f9c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.7499,0.7383,0.011600000000000055,0.785844102859497,0.8278199010848999,-0.04197579822540287,0.9293,0.934,-0.0047000000000000375,1.489613779940019,1.4739557600851885,0.015658019854830618,2.1757462467084903,2.1692777717485425,0.006468474959947734,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
cifar,alpha1p0,42,expert_prob,expert_logit,647850f543c3374a,78f7162f96a08885,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.771,0.763,0.008000000000000007,0.7500233968734741,0.7671196801185608,-0.01709628324508672,0.9052,0.9091,-0.0039000000000000146,1.3401403479531933,1.3318699433121477,0.008270404641045559,2.0940857089282034,2.087727452149956,0.00635825677824764,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.1,0.0,4.1,4.1,0.0
cifar,iid,42,expert_prob,expert_logit,b25818fe5626557a,9a081680d68fa9ae,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.7475,0.7457,0.0018000000000000238,0.8006440430164338,0.8144115260601044,-0.013767483043670592,0.7923,0.794,-0.0017000000000000348,1.5140357059241016,1.5104006329429436,0.0036350729811580607,2.14505773788061,2.142457537990947,0.0026001998896627576,1000.0,1000.0,0.0,0.1,0.1,0.0,5.5,5.5,0.0,6.5,6.5,0.0
cifar,multi,42,expert_prob,expert_logit,e45d743ef17dcac0,8f0e304de29f7a95,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.7485,0.7496,-0.0010999999999999899,1.5690236114501954,1.569563491439819,-0.0005398799896236817,0.942,0.9425,-0.000500000000000056,0.774684495313124,0.7684802114532484,0.006204283859875592,1.6246264559525458,1.613088334653297,0.011538121299248916,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
fmnist,alpha0p1,42,expert_prob,expert_logit,f003b578acbead11,ee4622118c8e53e8,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8977,0.8949,0.0028000000000000247,0.5442288514614105,0.6926723701000214,-0.14844351863861083,0.9944,0.9968,-0.0024000000000000687,0.7653004349788436,0.5807112925074831,0.1845891424713605,1.7517848960329214,1.4345743052554478,0.3172105907774736,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,3.5,3.5,0.0
fmnist,alpha0p1,43,expert_prob,expert_logit,89b7a98af918a190,d6936aa789a071ad,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.894,0.8966,-0.0025999999999999357,0.4541786133289337,0.5284197990179061,-0.07424118568897242,0.9934,0.9972,-0.0038000000000000256,0.8561923499609259,0.7379944483937408,0.11819790156718502,1.8190037290807028,1.6864754537773108,0.13252827530339206,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,0.0,3.8,3.8,0.0
fmnist,alpha0p1,44,expert_prob,expert_logit,0319b4e50dba203c,34370c2c97f0388b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8941,0.8991,-0.0050000000000000044,0.5301061787128448,0.5044552665710449,0.02565091214179993,0.9874,0.9919,-0.0044999999999999485,0.880189226585599,0.7723114489590833,0.10787777762651563,1.853686467433205,1.7349255636763792,0.1187609037568258,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,4.2,4.2,0.0
fmnist,alpha0p5,42,expert_prob,expert_logit,a94e698fa3ce41b2,e40b683092f7a593,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8968,0.894,0.0028000000000000247,0.3631809852600097,0.3902107420921326,-0.027029756832122886,0.9692,0.971,-0.0018000000000000238,1.048163690914879,1.0057046331749495,0.04245905773992953,1.9594785655630804,1.915157602547324,0.04432096301575639,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0
fmnist,alpha0p5,43,expert_prob,expert_logit,a9382d7e110e1b4f,e47c4480a07b5646,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8915,0.8913,0.00019999999999997797,0.3744296416997909,0.3699189596772194,0.004510682022571544,0.9531,0.9547,-0.0016000000000000458,1.0695800526396888,1.0495748389636907,0.020005213675998057,1.949756345254559,1.92308299559599,0.026673349658568934,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,0.0,5.7,5.7,0.0
