dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,alpha0p1,42,feddf_prob,feddf_logit,a9de3e3fa5f06018,d650066873623ff7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.3653,0.2319,0.13340000000000002,1.8135118171691893,2.561540500640869,-0.7480286834716798,0.4307,0.2639,0.1668,1.979957070068027,2.1017735786204854,-0.12181650855245851,2.259694693225501,2.266241273697546,-0.006546580472044816,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha0p1,43,feddf_prob,feddf_logit,16fbdea328414ca8,e6d006cfc727d3f5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.5193,0.3844,0.13489999999999996,1.310298741722107,1.7341556615829468,-0.42385691986083973,0.5436,0.3976,0.14599999999999996,1.928491496105181,2.060180525846457,-0.13168902974127605,2.255948474961182,2.273506647496911,-0.017558172535729,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha0p1,44,feddf_prob,feddf_logit,be2a4d0042b5c205,c0f913d03f085f88,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.5498,0.4418,0.10799999999999993,1.2852645374298095,1.890162203788757,-0.6048976663589476,0.5876,0.4451,0.14250000000000002,1.8821623226799489,2.0243186959823984,-0.14215637330244957,2.248885383450275,2.264741858096389,-0.01585647464611384,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha0p5,42,feddf_prob,feddf_logit,e8ebfd1b97838513,d0e835345f988a49,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6758,0.6178,0.05799999999999994,0.9005568826675415,1.0466298574447632,-0.1460729747772217,0.708,0.6303,0.07769999999999999,1.7930206170764436,1.8307664241801267,-0.03774580710368314,2.2345380273410296,2.2380536237822533,-0.0035155964412236784,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha0p5,43,feddf_prob,feddf_logit,97a3221726ba6a99,8ba70c907e4eeffa,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6949,0.6637,0.031200000000000006,0.8666470393180847,0.9793743072509764,-0.11272726793289167,0.7203,0.6842,0.03610000000000002,1.782453391486718,1.8149324198295649,-0.03247902834284688,2.232264580027308,2.235627527087343,-0.0033629470600349265,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha0p5,44,feddf_prob,feddf_logit,b7f165e8e2e18b64,1e9c8ccd1e771ac7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6944,0.6774,0.017000000000000015,0.8972167292594909,0.9990643453598024,-0.10184761610031146,0.7418,0.6916,0.05020000000000002,1.7281793966554444,1.770816465576691,-0.042637068921246524,2.2192276479821222,2.223778595806841,-0.004550947824718765,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha1p0,42,feddf_prob,feddf_logit,2857c6e300930494,6630d293af8401fd,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7559,0.7383,0.01760000000000006,0.7122387742519378,0.7546076863765716,-0.042368912124633784,0.7935,0.7665,0.027000000000000024,1.571173702944407,1.5974883834991511,-0.026314680554744063,2.171959650650655,2.175681106875566,-0.003721456224911268,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha1p0,43,feddf_prob,feddf_logit,91ad428d435968d6,f1e88c621a2262bb,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7312,0.7243,0.006899999999999906,0.7610089792251586,0.7733401244163514,-0.012331145191192716,0.7539,0.7468,0.007099999999999995,1.721840387010635,1.7301636613387623,-0.008323274328127406,2.216283150209995,2.2172523786761653,-0.0009692284661704242,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,alpha1p0,44,feddf_prob,feddf_logit,029ecf7489812429,de546cca3eaa3408,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7383,0.7221,0.016199999999999992,0.757378346824646,0.8069720258712768,-0.04959367904663081,0.7787,0.7531,0.025599999999999956,1.6707446908972052,1.684526653467324,-0.013781962570118766,2.2023163942818784,2.202816100170373,-0.0004997058884947947,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,iid,42,feddf_prob,feddf_logit,a00f0c26cb8bbcde,b0a9335fd8631103,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7522,0.7503,0.0019000000000000128,0.7609709712982178,0.7584363522052765,0.0025346190929412815,0.7964,0.7953,0.0010999999999999899,1.5508668901104945,1.5488693710734205,0.0019975190370740137,2.162036171763306,2.159372890827451,0.0026632809358546616,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,iid,43,feddf_prob,feddf_logit,e87c11f117ac21ff,66b66282ed861eb0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7615,0.7569,0.0045999999999999375,0.6973574625968934,0.6968411563873291,0.0005163062095642212,0.7827,0.7816,0.0010999999999999899,1.5913698524649196,1.5924936018916662,-0.0011237494267466452,2.1760931220498123,2.174438754065124,0.0016543679846883208,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,iid,44,feddf_prob,feddf_logit,fa2bcb5db7319c76,04de2951944865c5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7471,0.7491,-0.0020000000000000018,0.7422387187004089,0.7432672451972961,-0.0010285264968872276,0.7951,0.7923,0.0028000000000000247,1.6115981178102532,1.6108557450833247,0.000742372726928453,2.1841124427676046,2.182206690832577,0.001905751935027844,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,multi,42,feddf_prob,feddf_logit,faf19ceb1b28e46e,2b1f3cf2af74e691,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.5142,0.4399,0.07429999999999998,1.4455529586791993,1.7961317916870116,-0.35057883300781234,0.5249,0.4292,0.09570000000000001,2.063125837837762,2.2041199782962657,-0.14099414045850356,2.2824704548036423,2.298526466647272,-0.01605601184362948,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
