dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,alpha0p1,42,oracle_prob,oracle_logit,00686f5118aeb695,bb8cfa5cd29f2199,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7518,0.745,0.006800000000000028,0.986020357131958,1.118831376075745,-0.13281101894378688,0.9838,0.9838,0.0,1.1692050592594467,1.0906267292352787,0.07857833002416803,2.027184539839382,1.9841868586443707,0.04299768119501146,166.0,166.0,0.0,0.0166,0.0166,0.0,2.6603,2.6603,0.0,2.8263,2.8263,0.0
cifar,alpha0p1,43,oracle_prob,oracle_logit,6afa9f7cfd9ff638,3f0f1e59ff950c9e,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7159,0.7423,-0.02639999999999998,1.3151249069213866,1.1496942176818847,0.16543068923950188,0.976,0.976,0.0,1.1769675869374612,1.0845606501929177,0.09240693674454348,2.023952632805094,1.9603408738082104,0.06361175899688365,253.0,253.0,0.0,0.0253,0.0253,0.0,2.877,2.877,0.0,3.13,3.13,0.0
cifar,alpha0p1,44,oracle_prob,oracle_logit,a8fe0a2ce6881868,63dcce5f980f6033,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7017,0.7388,-0.03710000000000002,1.330998456954956,1.2441152362823489,0.08688322067260712,0.9811,0.9811,0.0,1.2125122598864693,1.1083727502932597,0.10413950959320961,2.061538460365892,1.9986210545048608,0.06291740586103134,218.0,218.0,0.0,0.0218,0.0218,0.0,3.3711,3.3711,0.0,3.5891,3.5891,0.0
cifar,alpha0p5,42,oracle_prob,oracle_logit,5fc434b11f27e147,27dffcb093acc0f5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7638,0.7521,0.011700000000000044,0.6917625277519226,0.7475920793533325,-0.0558295516014099,0.9715,0.9715,0.0,1.5245548823583304,1.5124011099098404,0.012153772448489919,2.1931450165025352,2.187996726770024,0.005148289732511024,287.0,287.0,0.0,0.0287,0.0287,0.0,4.6804,4.6804,0.0,4.9674,4.9674,0.0
cifar,alpha0p5,43,oracle_prob,oracle_logit,1433645606357b07,d056c98fd184e3c4,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7504,0.7423,0.008099999999999996,0.7900759433746338,0.8683688417434693,-0.07829289836883546,0.9703,0.9703,0.0,1.4955917009759745,1.4789153286973058,0.016676372278668694,2.180695431841676,2.172936747950559,0.007758683891117002,303.0,303.0,0.0,0.0303,0.0303,0.0,4.477,4.477,0.0,4.78,4.78,0.0
cifar,alpha0p5,44,oracle_prob,oracle_logit,bc97d7978a92757f,12aa7bc5bfd8ca62,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7626,0.7603,0.0022999999999999687,0.7346429990768433,0.7422684561729431,-0.0076254570960998524,0.9775,0.9775,0.0,1.405382707336067,1.3798246865559831,0.025558020780083845,2.151376977193886,2.139668230844345,0.011708746349541332,229.0,229.0,0.0,0.0229,0.0229,0.0,4.7104,4.7104,0.0,4.9394,4.9394,0.0
cifar,alpha1p0,42,oracle_prob,oracle_logit,bd0b8b1cafbe0b59,74970e4ab28b3d1a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7738,0.7709,0.0029000000000000137,0.6953941226005554,0.7054270444393158,-0.010032921838760367,0.97,0.97,0.0,1.3739057978443223,1.3646442979403048,0.009261499904017478,2.127372079033881,2.120926361823202,0.006445717210679103,300.0,300.0,0.0,0.03,0.03,0.0,5.8384,5.8384,0.0,6.1384,6.1384,0.0
cifar,alpha1p0,43,oracle_prob,oracle_logit,188b73fd6991bb7b,009ad8beb224298c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7583,0.7585,-0.00019999999999997797,0.6978022964477539,0.6897539072990417,0.008048389148712198,0.9617,0.9617,0.0,1.5759577152979167,1.570019035447589,0.00593867985032781,2.1991748867691947,2.1971722808773784,0.0020026058918163336,384.0,384.0,0.0,0.0384,0.0384,0.0,5.7219,5.7219,0.0,6.1059,6.1059,0.0
cifar,alpha1p0,44,oracle_prob,oracle_logit,976891d6ce61e4cc,44d02313966295d1,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7661,0.7645,0.0016000000000000458,0.6973844346046447,0.7184468600749969,-0.021062425470352197,0.9699,0.9699,0.0,1.4757346228513926,1.467771245511656,0.00796337733973651,2.171991094811693,2.1680584503675866,0.003932644444106348,306.0,306.0,0.0,0.0306,0.0306,0.0,5.4941,5.4941,0.0,5.8001,5.8001,0.0
cifar,iid,42,oracle_prob,oracle_logit,c5960233e7e78787,fda178d0340937a9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.762,0.7716,-0.009599999999999942,0.7252334352016448,0.689916472864151,0.03531696233749382,0.953,0.953,0.0,1.4714634789580352,1.466790159394075,0.00467331956396011,2.1536808567381662,2.150367559626355,0.0033132971118110532,470.0,470.0,0.0,0.047,0.047,0.0,6.9446,6.9446,0.0,7.4146,7.4146,0.0
