dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,alpha0p1,42,oracle_logit,feddf_logit,bb8cfa5cd29f2199,d650066873623ff7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.745,0.2319,0.5131,1.118831376075745,2.561540500640869,-1.4427091245651242,0.9838,0.2639,0.7199,1.0906267292352787,2.1017735786204854,-1.0111468493852067,1.9841868586443707,2.266241273697546,-0.2820544150531752,166.0,0.0,166.0,0.0166,0.0,0.0166,2.6603,10.0,-7.339700000000001,2.8263,9.999999999999998,-7.173699999999998
cifar,alpha0p1,43,oracle_logit,feddf_logit,3f0f1e59ff950c9e,e6d006cfc727d3f5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7423,0.3844,0.35789999999999994,1.1496942176818847,1.7341556615829468,-0.584461443901062,0.976,0.3976,0.5784,1.0845606501929177,2.060180525846457,-0.9756198756535392,1.9603408738082104,2.273506647496911,-0.3131657736887006,253.0,0.0,253.0,0.0253,0.0,0.0253,2.877,10.0,-7.123,3.13,9.999999999999998,-6.869999999999998
cifar,alpha0p1,44,oracle_logit,feddf_logit,63dcce5f980f6033,c0f913d03f085f88,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7388,0.4418,0.297,1.2441152362823489,1.890162203788757,-0.6460469675064082,0.9811,0.4451,0.536,1.1083727502932597,2.0243186959823984,-0.9159459456891388,1.9986210545048608,2.264741858096389,-0.2661208035915281,218.0,0.0,218.0,0.0218,0.0,0.0218,3.3711,10.0,-6.6289,3.5891,9.999999999999998,-6.410899999999998
cifar,alpha0p5,42,oracle_logit,feddf_logit,27dffcb093acc0f5,d0e835345f988a49,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7521,0.6178,0.13429999999999997,0.7475920793533325,1.0466298574447632,-0.29903777809143073,0.9715,0.6303,0.34120000000000006,1.5124011099098404,1.8307664241801267,-0.31836531427028625,2.187996726770024,2.2380536237822533,-0.05005689701222904,287.0,0.0,287.0,0.0287,0.0,0.0287,4.6804,10.0,-5.3196,4.9674,9.999999999999998,-5.032599999999999
cifar,alpha0p5,43,oracle_logit,feddf_logit,d056c98fd184e3c4,8ba70c907e4eeffa,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7423,0.6637,0.0786,0.8683688417434693,0.9793743072509764,-0.11100546550750712,0.9703,0.6842,0.2861,1.4789153286973058,1.8149324198295649,-0.3360170911322591,2.172936747950559,2.235627527087343,-0.06269077913678434,303.0,0.0,303.0,0.0303,0.0,0.0303,4.477,10.0,-5.523,4.78,9.999999999999998,-5.219999999999998
cifar,alpha0p5,44,oracle_logit,feddf_logit,12aa7bc5bfd8ca62,1e9c8ccd1e771ac7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7603,0.6774,0.08289999999999997,0.7422684561729431,0.9990643453598024,-0.25679588918685925,0.9775,0.6916,0.28590000000000004,1.3798246865559831,1.770816465576691,-0.3909917790207078,2.139668230844345,2.223778595806841,-0.08411036496249613,229.0,0.0,229.0,0.0229,0.0,0.0229,4.7104,10.0,-5.2896,4.9394,9.999999999999998,-5.060599999999998
cifar,alpha1p0,42,oracle_logit,feddf_logit,74970e4ab28b3d1a,6630d293af8401fd,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7709,0.7383,0.03260000000000007,0.7054270444393158,0.7546076863765716,-0.0491806419372558,0.97,0.7665,0.20350000000000001,1.3646442979403048,1.5974883834991511,-0.23284408555884628,2.120926361823202,2.175681106875566,-0.05475474505236422,300.0,0.0,300.0,0.03,0.0,0.03,5.8384,10.0,-4.1616,6.1384,9.999999999999998,-3.8615999999999984
cifar,alpha1p0,43,oracle_logit,feddf_logit,009ad8beb224298c,f1e88c621a2262bb,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7585,0.7243,0.0341999999999999,0.6897539072990417,0.7733401244163514,-0.08358621711730962,0.9617,0.7468,0.21489999999999998,1.570019035447589,1.7301636613387623,-0.1601446258911734,2.1971722808773784,2.2172523786761653,-0.020080097798786944,384.0,0.0,384.0,0.0384,0.0,0.0384,5.7219,10.0,-4.2781,6.1059,9.999999999999998,-3.894099999999998
cifar,alpha1p0,44,oracle_logit,feddf_logit,44d02313966295d1,de546cca3eaa3408,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7645,0.7221,0.04239999999999999,0.7184468600749969,0.8069720258712768,-0.08852516579627989,0.9699,0.7531,0.2168,1.467771245511656,1.684526653467324,-0.21675540795566794,2.1680584503675866,2.202816100170373,-0.03475764980278662,306.0,0.0,306.0,0.0306,0.0,0.0306,5.4941,10.0,-4.5059,5.8001,9.999999999999998,-4.199899999999999
cifar,iid,42,oracle_logit,feddf_logit,fda178d0340937a9,b0a9335fd8631103,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7716,0.7503,0.021299999999999986,0.689916472864151,0.7584363522052765,-0.06851987934112547,0.953,0.7953,0.15769999999999995,1.466790159394075,1.5488693710734205,-0.0820792116793454,2.150367559626355,2.159372890827451,-0.009005331201096034,470.0,0.0,470.0,0.047,0.0,0.047,6.9446,10.0,-3.0553999999999997,7.4146,9.999999999999998,-2.585399999999998
