dataset,regime,seed,client,epochs_run,selected_epoch,validation_accuracy
mnist,iid,42,0,10,5,0.9819639278557114
mnist,iid,42,1,19,14,0.9779116465863453
mnist,iid,42,2,14,9,0.9698795180722891
mnist,iid,42,3,15,10,0.9698795180722891
mnist,iid,42,4,16,11,0.9799196787148594
mnist,iid,42,5,16,11,0.9859437751004017
mnist,iid,42,6,15,10,0.9839357429718876
mnist,iid,42,7,16,11,0.9839357429718876
mnist,iid,42,8,13,8,0.9879275653923542
mnist,iid,42,9,12,7,0.9818913480885312
mnist,iid,43,0,14,9,0.9859719438877755
mnist,iid,43,1,16,11,0.9799196787148594
mnist,iid,43,2,10,5,0.9839357429718876
mnist,iid,43,3,12,7,0.9779116465863453
mnist,iid,43,4,8,3,0.9779116465863453
mnist,iid,43,5,16,11,0.9859437751004017
mnist,iid,43,6,9,4,0.9698795180722891
mnist,iid,43,7,13,8,0.9799196787148594
mnist,iid,43,8,17,12,0.9839034205231388
mnist,iid,43,9,15,10,0.9839034205231388
mnist,iid,44,0,12,7,0.9739478957915831
mnist,iid,44,1,16,11,0.9698795180722891
mnist,iid,44,2,16,11,0.9879518072289156
mnist,iid,44,3,13,8,0.9779116465863453
mnist,iid,44,4,13,8,0.9779116465863453
mnist,iid,44,5,8,3,0.9819277108433735
mnist,iid,44,6,14,9,0.9759036144578314
mnist,iid,44,7,14,9,0.9799196787148594
mnist,iid,44,8,25,20,0.9899396378269618
mnist,iid,44,9,21,16,0.9879275653923542
mnist,alpha1p0,42,0,11,6,0.9921383647798742
mnist,alpha1p0,42,1,11,6,0.9754901960784313
mnist,alpha1p0,42,2,13,8,0.9851851851851852
mnist,alpha1p0,42,3,14,9,0.976890756302521
mnist,alpha1p0,42,4,17,12,0.9737827715355806
mnist,alpha1p0,42,5,16,11,0.9747191011235955
mnist,alpha1p0,42,6,13,8,0.9902234636871509
mnist,alpha1p0,42,7,13,8,0.9931350114416476
mnist,alpha1p0,42,8,11,6,0.971677559912854
mnist,alpha1p0,42,9,10,5,0.984070796460177
mnist,alpha1p0,43,0,10,5,0.9787928221859706
mnist,alpha1p0,43,1,13,8,0.9794721407624634
mnist,alpha1p0,43,2,14,9,0.984375
mnist,alpha1p0,43,3,14,9,0.9876796714579056
mnist,alpha1p0,43,4,8,3,0.9792843691148776
mnist,alpha1p0,43,5,14,9,0.9840510366826156
mnist,alpha1p0,43,6,9,4,0.9816176470588235
mnist,alpha1p0,43,7,15,10,0.9842829076620825
mnist,alpha1p0,43,8,11,6,0.9705882352941176
mnist,alpha1p0,43,9,11,6,0.9790874524714829
mnist,alpha1p0,44,0,16,11,0.9775112443778111
mnist,alpha1p0,44,1,14,9,0.9930232558139535
mnist,alpha1p0,44,2,12,7,0.9857651245551602
mnist,alpha1p0,44,3,13,8,0.9905660377358491
mnist,alpha1p0,44,4,11,6,0.9884836852207294
mnist,alpha1p0,44,5,22,17,0.9915014164305949
mnist,alpha1p0,44,6,19,14,0.9816176470588235
mnist,alpha1p0,44,7,17,12,0.9798761609907121
mnist,alpha1p0,44,8,13,8,0.9860627177700348
mnist,alpha1p0,44,9,16,11,0.9877622377622378
mnist,alpha0p5,42,0,9,4,0.9951060358890701
mnist,alpha0p5,42,1,9,4,0.9772727272727273
mnist,alpha0p5,42,2,21,16,0.9854368932038835
mnist,alpha0p5,42,3,13,8,0.9826086956521739
mnist,alpha0p5,42,4,20,15,0.9884393063583815
mnist,alpha0p5,42,5,16,11,0.9939148073022313
mnist,alpha0p5,42,6,12,7,0.9905660377358491
mnist,alpha0p5,42,7,11,6,0.9887640449438202
mnist,alpha0p5,42,8,12,7,0.9948096885813149
mnist,alpha0p5,42,9,12,7,0.9798387096774194
mnist,alpha0p5,43,0,10,5,0.9871244635193133
mnist,alpha0p5,43,1,13,8,0.9925
mnist,alpha0p5,43,2,15,10,0.9917582417582418
mnist,alpha0p5,43,3,9,4,0.9809160305343512
mnist,alpha0p5,43,4,12,7,0.9868421052631579
mnist,alpha0p5,43,5,9,4,0.9770992366412213
mnist,alpha0p5,43,6,14,9,0.9773913043478261
mnist,alpha0p5,43,7,11,6,0.9846743295019157
mnist,alpha0p5,43,8,18,13,0.9860917941585535
mnist,alpha0p5,43,9,10,5,0.9833333333333333
mnist,alpha0p5,44,0,11,6,0.9778325123152709
mnist,alpha0p5,44,1,16,11,0.9876543209876543
mnist,alpha0p5,44,2,10,5,0.9878640776699029
mnist,alpha0p5,44,3,12,7,0.9792663476874003
mnist,alpha0p5,44,4,14,9,0.9858611825192802
mnist,alpha0p5,44,5,16,11,0.9757785467128027
mnist,alpha0p5,44,6,15,10,0.989100817438692
mnist,alpha0p5,44,7,12,7,0.989769820971867
mnist,alpha0p5,44,8,12,7,0.9822695035460993
mnist,alpha0p5,44,9,14,9,0.9897959183673469
mnist,alpha0p1,42,0,11,6,0.9936143039591315
mnist,alpha0p1,42,1,12,7,0.9941002949852508
mnist,alpha0p1,42,2,11,6,0.987012987012987
mnist,alpha0p1,42,3,11,6,0.9940968122786304
mnist,alpha0p1,42,4,16,11,0.993993993993994
mnist,alpha0p1,42,5,15,10,0.995475113122172
mnist,alpha0p1,42,6,8,3,1.0
mnist,alpha0p1,42,7,16,11,0.9935064935064936
mnist,alpha0p1,42,8,10,5,0.9896193771626297
mnist,alpha0p1,42,9,12,7,0.9920948616600791
mnist,alpha0p1,43,0,17,12,0.996802557953637
mnist,alpha0p1,43,1,9,4,1.0
mnist,alpha0p1,43,2,16,11,0.9971671388101983
mnist,alpha0p1,43,3,12,7,0.9987546699875467
mnist,alpha0p1,43,4,10,5,1.0
mnist,alpha0p1,43,5,9,4,0.998211091234347
mnist,alpha0p1,43,6,12,7,0.9952718676122931
mnist,alpha0p1,43,7,9,4,0.9924812030075187
mnist,alpha0p1,43,8,9,4,1.0
mnist,alpha0p1,43,9,6,1,1.0
mnist,alpha0p1,44,0,9,4,0.9951923076923077
mnist,alpha0p1,44,1,13,8,0.9962917181705809
mnist,alpha0p1,44,2,9,4,0.9959785522788204
mnist,alpha0p1,44,3,10,5,0.9834368530020704
mnist,alpha0p1,44,4,10,5,0.9937304075235109
mnist,alpha0p1,44,5,10,5,0.9875
mnist,alpha0p1,44,6,7,2,0.9967741935483871
mnist,alpha0p1,44,7,15,10,0.9916201117318436
mnist,alpha0p1,44,8,16,11,0.9900497512437811
mnist,alpha0p1,44,9,15,10,0.9915651358950328
mnist,multi,42,0,8,3,1.0
mnist,multi,42,1,9,4,0.9920792079207921
mnist,multi,42,2,7,2,1.0
mnist,multi,42,3,7,2,1.0
mnist,multi,42,4,6,1,0.9918367346938776
mnist,multi,42,5,9,4,1.0
mnist,multi,42,6,13,8,0.9940476190476191
mnist,multi,42,7,6,1,1.0
mnist,multi,42,8,6,1,1.0
mnist,multi,42,9,11,6,0.9938650306748467
mnist,multi,43,0,9,4,1.0
mnist,multi,43,1,8,3,0.998019801980198
mnist,multi,43,2,6,1,1.0
mnist,multi,43,3,6,1,1.0
mnist,multi,43,4,14,9,0.9938775510204082
mnist,multi,43,5,8,3,1.0
mnist,multi,43,6,14,9,0.998015873015873
mnist,multi,43,7,6,1,1.0
mnist,multi,43,8,7,2,1.0
mnist,multi,43,9,9,4,1.0
mnist,multi,44,0,10,5,1.0
mnist,multi,44,1,11,6,0.998019801980198
mnist,multi,44,2,7,2,1.0
mnist,multi,44,3,9,4,1.0
mnist,multi,44,4,16,11,0.9938775510204082
mnist,multi,44,5,7,2,1.0
mnist,multi,44,6,9,4,0.996031746031746
mnist,multi,44,7,7,2,0.9978401727861771
mnist,multi,44,8,8,3,1.0
mnist,multi,44,9,20,15,0.9979550102249489
mnist,single,42,0,6,1,1.0
mnist,single,42,1,6,1,1.0
mnist,single,42,2,6,1,1.0
mnist,single,42,3,6,1,1.0
mnist,single,42,4,6,1,1.0
mnist,single,42,5,6,1,1.0
mnist,single,42,6,6,1,1.0
mnist,single,42,7,6,1,1.0
mnist,single,42,8,6,1,1.0
mnist,single,42,9,6,1,1.0
mnist,single,43,0,6,1,1.0
mnist,single,43,1,6,1,1.0
mnist,single,43,2,6,1,1.0
mnist,single,43,3,6,1,1.0
mnist,single,43,4,6,1,1.0
mnist,single,43,5,6,1,1.0
mnist,single,43,6,6,1,1.0
mnist,single,43,7,6,1,1.0
mnist,single,43,8,6,1,1.0
mnist,single,43,9,6,1,1.0
mnist,single,44,0,6,1,1.0
mnist,single,44,1,6,1,1.0
mnist,single,44,2,6,1,1.0
mnist,single,44,3,6,1,1.0
mnist,single,44,4,6,1,1.0
mnist,single,44,5,6,1,1.0
mnist,single,44,6,6,1,1.0
mnist,single,44,7,6,1,1.0
mnist,single,44,8,6,1,1.0
mnist,single,44,9,6,1,1.0
fmnist,iid,42,0,12,7,0.87
fmnist,iid,42,1,23,18,0.894
fmnist,iid,42,2,12,7,0.902
fmnist,iid,42,3,13,8,0.892
fmnist,iid,42,4,24,19,0.898
fmnist,iid,42,5,13,8,0.872
fmnist,iid,42,6,22,17,0.902
fmnist,iid,42,7,21,16,0.89
fmnist,iid,42,8,16,11,0.87
fmnist,iid,42,9,22,17,0.914
fmnist,iid,43,0,18,13,0.886
fmnist,iid,43,1,15,10,0.894
fmnist,iid,43,2,24,19,0.9
fmnist,iid,43,3,14,9,0.886
fmnist,iid,43,4,21,16,0.908
fmnist,iid,43,5,19,14,0.904
fmnist,iid,43,6,19,14,0.884
fmnist,iid,43,7,29,24,0.932
fmnist,iid,43,8,18,13,0.9
fmnist,iid,43,9,11,6,0.87
fmnist,iid,44,0,26,21,0.884
fmnist,iid,44,1,20,15,0.894
fmnist,iid,44,2,17,12,0.886
fmnist,iid,44,3,11,6,0.888
fmnist,iid,44,4,14,9,0.882
fmnist,iid,44,5,19,14,0.898
fmnist,iid,44,6,16,11,0.9
fmnist,iid,44,7,11,6,0.878
fmnist,iid,44,8,22,17,0.9
fmnist,iid,44,9,16,11,0.908
fmnist,alpha1p0,42,0,22,17,0.9049919484702094
fmnist,alpha1p0,42,1,11,6,0.8888888888888888
fmnist,alpha1p0,42,2,14,9,0.9338624338624338
fmnist,alpha1p0,42,3,13,8,0.9080882352941176
fmnist,alpha1p0,42,4,16,11,0.9168356997971603
fmnist,alpha1p0,42,5,18,13,0.9407616361071932
fmnist,alpha1p0,42,6,8,3,0.8765957446808511
fmnist,alpha1p0,42,7,16,11,0.9388714733542319
fmnist,alpha1p0,42,8,13,8,0.93125
fmnist,alpha1p0,42,9,19,14,0.9319899244332494
fmnist,alpha1p0,43,0,23,18,0.9113082039911308
fmnist,alpha1p0,43,1,7,2,0.8981818181818182
fmnist,alpha1p0,43,2,20,15,0.9324894514767933
fmnist,alpha1p0,43,3,14,9,0.9247311827956989
fmnist,alpha1p0,43,4,19,14,0.875
fmnist,alpha1p0,43,5,23,18,0.9043927648578811
fmnist,alpha1p0,43,6,15,10,0.8532110091743119
fmnist,alpha1p0,43,7,15,10,0.9022727272727272
fmnist,alpha1p0,43,8,17,12,0.9553846153846154
fmnist,alpha1p0,43,9,20,15,0.897822445561139
fmnist,alpha1p0,44,0,20,15,0.901840490797546
fmnist,alpha1p0,44,1,12,7,0.9351851851851852
fmnist,alpha1p0,44,2,20,15,0.9092741935483871
fmnist,alpha1p0,44,3,15,10,0.8728070175438597
fmnist,alpha1p0,44,4,20,15,0.951530612244898
fmnist,alpha1p0,44,5,17,12,0.8596881959910914
fmnist,alpha1p0,44,6,24,19,0.94579945799458
fmnist,alpha1p0,44,7,14,9,0.9344978165938864
fmnist,alpha1p0,44,8,16,11,0.896551724137931
fmnist,alpha1p0,44,9,16,11,0.9393203883495146
fmnist,alpha0p5,42,0,13,8,0.9066666666666666
fmnist,alpha0p5,42,1,7,2,0.9036312849162011
fmnist,alpha0p5,42,2,11,6,0.9316239316239316
fmnist,alpha0p5,42,3,25,20,0.9767025089605734
fmnist,alpha0p5,42,4,9,4,0.926984126984127
fmnist,alpha0p5,42,5,19,14,0.9412568306010929
fmnist,alpha0p5,42,6,19,14,0.9301533219761499
fmnist,alpha0p5,42,7,18,13,0.9144434222631095
fmnist,alpha0p5,42,8,10,5,0.8640483383685801
fmnist,alpha0p5,42,9,15,10,0.9580838323353293
fmnist,alpha0p5,43,0,9,4,0.8483412322274881
fmnist,alpha0p5,43,1,14,9,0.9103690685413005
fmnist,alpha0p5,43,2,18,13,0.9168443496801706
fmnist,alpha0p5,43,3,12,7,0.8823529411764706
fmnist,alpha0p5,43,4,8,3,0.935064935064935
fmnist,alpha0p5,43,5,12,7,0.8683729433272395
fmnist,alpha0p5,43,6,21,16,0.9586956521739131
fmnist,alpha0p5,43,7,16,11,0.9409020217729394
fmnist,alpha0p5,43,8,14,9,0.9043062200956937
fmnist,alpha0p5,43,9,11,6,0.8561151079136691
fmnist,alpha0p5,44,0,11,6,0.8757396449704142
fmnist,alpha0p5,44,1,23,18,0.8820960698689956
fmnist,alpha0p5,44,2,15,10,0.9140893470790378
fmnist,alpha0p5,44,3,16,11,0.903114186851211
fmnist,alpha0p5,44,4,10,5,0.8985507246376812
fmnist,alpha0p5,44,5,24,19,0.9578392621870883
fmnist,alpha0p5,44,6,12,7,0.8604992657856094
fmnist,alpha0p5,44,7,9,4,0.9435382685069009
fmnist,alpha0p5,44,8,18,13,0.9757009345794393
fmnist,alpha0p5,44,9,16,11,0.9506172839506173
fmnist,alpha0p1,42,0,6,1,1.0
fmnist,alpha0p1,42,1,19,14,0.9762033531638724
fmnist,alpha0p1,42,2,9,4,1.0
fmnist,alpha0p1,42,3,6,1,1.0
fmnist,alpha0p1,42,4,6,1,0.9963636363636363
fmnist,alpha0p1,42,5,10,5,0.9303135888501742
fmnist,alpha0p1,42,6,10,5,0.9590643274853801
fmnist,alpha0p1,42,7,10,5,0.9734513274336283
fmnist,alpha0p1,42,8,16,11,0.9907407407407407
fmnist,alpha0p1,42,9,10,5,0.9893390191897654
fmnist,alpha0p1,43,0,11,6,0.9962406015037594
fmnist,alpha0p1,43,1,10,5,0.9800664451827242
fmnist,alpha0p1,43,2,16,11,0.9736070381231672
fmnist,alpha0p1,43,3,11,6,0.9929078014184397
fmnist,alpha0p1,43,4,8,3,0.9759036144578314
fmnist,alpha0p1,43,5,13,8,0.8797595190380761
fmnist,alpha0p1,43,6,10,5,0.9915865384615384
fmnist,alpha0p1,43,7,17,12,0.9966216216216216
fmnist,alpha0p1,43,8,18,13,0.9390739236393176
fmnist,alpha0p1,43,9,10,5,0.9929245283018868
fmnist,alpha0p1,44,0,7,2,0.9791666666666666
fmnist,alpha0p1,44,1,10,5,0.9922879177377892
fmnist,alpha0p1,44,2,12,7,0.91792656587473
fmnist,alpha0p1,44,3,8,3,0.9930434782608696
fmnist,alpha0p1,44,4,18,13,0.9837962962962963
fmnist,alpha0p1,44,5,9,4,0.9823008849557522
fmnist,alpha0p1,44,6,7,2,1.0
fmnist,alpha0p1,44,7,14,9,0.9569190600522193
fmnist,alpha0p1,44,8,16,11,0.9522342064714946
fmnist,alpha0p1,44,9,11,6,0.941282746160795
fmnist,multi,42,0,8,3,0.998
fmnist,multi,42,1,12,7,0.986
fmnist,multi,42,2,7,2,1.0
fmnist,multi,42,3,6,1,1.0
fmnist,multi,42,4,6,1,1.0
fmnist,multi,42,5,8,3,0.994
fmnist,multi,42,6,11,6,0.984
fmnist,multi,42,7,6,1,1.0
fmnist,multi,42,8,6,1,0.998
fmnist,multi,42,9,7,2,1.0
fmnist,multi,43,0,8,3,0.994
fmnist,multi,43,1,13,8,0.984
fmnist,multi,43,2,6,1,0.998
fmnist,multi,43,3,6,1,1.0
fmnist,multi,43,4,7,2,1.0
fmnist,multi,43,5,7,2,0.994
fmnist,multi,43,6,12,7,0.982
fmnist,multi,43,7,7,2,1.0
fmnist,multi,43,8,8,3,0.998
fmnist,multi,43,9,7,2,0.998
fmnist,multi,44,0,8,3,0.994
fmnist,multi,44,1,14,9,0.99
fmnist,multi,44,2,6,1,1.0
fmnist,multi,44,3,6,1,1.0
fmnist,multi,44,4,6,1,0.998
fmnist,multi,44,5,12,7,0.998
fmnist,multi,44,6,8,3,0.988
fmnist,multi,44,7,6,1,0.998
fmnist,multi,44,8,7,2,1.0
fmnist,multi,44,9,9,4,1.0
fmnist,single,42,0,6,1,1.0
fmnist,single,42,1,6,1,1.0
fmnist,single,42,2,6,1,1.0
fmnist,single,42,3,6,1,1.0
fmnist,single,42,4,6,1,1.0
fmnist,single,42,5,6,1,1.0
fmnist,single,42,6,6,1,1.0
fmnist,single,42,7,6,1,1.0
fmnist,single,42,8,6,1,1.0
fmnist,single,42,9,6,1,1.0
fmnist,single,43,0,6,1,1.0
fmnist,single,43,1,6,1,1.0
fmnist,single,43,2,6,1,1.0
fmnist,single,43,3,6,1,1.0
fmnist,single,43,4,6,1,1.0
fmnist,single,43,5,6,1,1.0
fmnist,single,43,6,6,1,1.0
