dataset,regime,seed,M_density,classes_without_expert,proxy_coverage,fallback_count,mean_selected_teachers,cache_sha256,M_sha256,proxy_sha256,proxy_labels_sha256,teachers_sha256,artifact_creation_commit
mnist,iid,42,1.0,[],1.0,0,10.0,1c4c00d5a8782ab5dc03a856baacc1e6bb134e73805febca3945c8bb2e4a855b,80f93e8c7d0e1e083e6aab0b073011d858d092951eb4bb2d595cd43173e04704,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,6dfc4565af07a760e65caf28804d7b2a05a1276379c941a460d4d758aa75662b,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,iid,43,0.98,[],1.0,0,9.8,8ac88c9f1a75ccda0684de74cb99754aec0a00b42071fed4220bc725afbd5a03,c71a836fb18c224322482aff09b171a1f8d84ddad62b65d79efc561e33930e21,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,4d84e29cf932a59834e98485c4a1c0519f66fd3383a702e56dae0373970ea054,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,iid,44,1.0,[],1.0,0,10.0,2be687a7dd5628056a9971fbdadae93b40c89d02a356ccc1b2d8b00bafeb221a,80f93e8c7d0e1e083e6aab0b073011d858d092951eb4bb2d595cd43173e04704,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,b7a100e1560fb882e665a2e617204ff4b513343c65b2daf81536dc7c287822b7,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,alpha1p0,42,0.85,[],1.0,0,8.5,1ee8a9739c99917174c92d57423b9aa95a139d3c9001f26cf1f675650f598b41,1769e55a274edd8fde7ce78f67c69efc41f316699db14eb618a7a583ee1a4d45,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,8f6fc695626a5c3c1823f09af98766c72629c61a550214fa723842e15c24341b,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,alpha1p0,43,0.87,[],1.0,0,8.7,ff04b0252c3ccff7e7c9e843e924552abc98cfd604fac7fc737af84621655cd7,fbffb618aec84f560646af13acf9311ec6545311c1069781e5769e1ea4da706f,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,8dcd84e3a19a03edd4e991afcd4b0d2502c7273144ca1c24ce573c6d4f913325,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,alpha1p0,44,0.83,[],1.0,0,8.3,c2b2687c5bac374406192f0e0c7b62a74251251a0245f84a6d21cc2170d2aae2,0650d165310dbc4d98971a03727dec20db2324f54decbfd7940ca9962cbcd167,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,b0fbe1316aa06b3aca2623bea591e6cf1c7163d67fa54355217ef7c31d59cdcd,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,alpha0p5,42,0.73,[],1.0,0,7.3,67ba36a524103132452e244163fa770344870afabeada27dd648b46b93ab881c,3ae930a3d455fc72ab3b3be5987cdf360256a9dad8863ce77738b057cc6ceadd,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,453ba4e63eb5ee11585ef01de40201eb01fb6e643bc931118457688a948082e3,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,alpha0p5,43,0.73,[],1.0,0,7.3,f68e0135bfb79bc81d8248bcca893ffc6452b860d96435aecd30e9ff55b8074a,04143945fb8e4442c3455972f3dcbb27819a04f68401bb1f636c2028c1f9ff7f,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,cf62998e98fe35b56945ad5104a874d7a628fa06594902858bf6a257ad254fbd,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,alpha0p5,44,0.76,[],1.0,0,7.6,811d590e26b98e5ce2a005c04ccba0033f209e6b7e3daf41b3766e1c12636339,99905278cc3440f8f543b794a44a1dcc228233c140cf853ac7b5d388880577c6,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,470ce07455d6d7e0cde3cf30d38ff77856ad0bc88900036a6d4c3a856031588f,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,alpha0p1,42,0.48,[],1.0,0,4.8,e20270ca96acb6652f0c3bd9824939b190449f09c353f40c10ebacac5452d657,06ed36d10f15ccf7d7bc7d3dd31476e9709437718660aac1fbc95b258373e375,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,6eceb1fefed5da7b66b3c267c5cb7bff4557d9bd50123e8cabce5c5cd03392e9,7ec812be75663f47fb1c9726f93e3688d8b157f3
