dataset,regime,seed,status,checkpoint_state_verification
mnist,iid,42,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,iid,43,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,iid,44,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha1p0,42,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha1p0,43,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha1p0,44,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha0p5,42,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha0p5,43,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha0p5,44,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha0p1,42,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha0p1,43,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,alpha0p1,44,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,multi,42,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,multi,43,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,multi,44,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,single,42,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,single,43,present,"unavailable: metadata stores state hashes, not file hashes"
mnist,single,44,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,iid,42,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,iid,43,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,iid,44,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha1p0,42,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha1p0,43,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha1p0,44,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha0p5,42,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha0p5,43,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha0p5,44,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha0p1,42,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha0p1,43,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,alpha0p1,44,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,multi,42,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,multi,43,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,multi,44,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,single,42,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,single,43,present,"unavailable: metadata stores state hashes, not file hashes"
fmnist,single,44,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,iid,42,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,iid,43,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,iid,44,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha1p0,42,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha1p0,43,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha1p0,44,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha0p5,42,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha0p5,43,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha0p5,44,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha0p1,42,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha0p1,43,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,alpha0p1,44,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,multi,42,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,multi,43,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,multi,44,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,single,42,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,single,43,present,"unavailable: metadata stores state hashes, not file hashes"
cifar,single,44,present,"unavailable: metadata stores state hashes, not file hashes"
