dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,alpha0p1,42,expert_prob_sr,expert_prob,628816ccf6575c87,b64a38c9c8e7fb27,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7271,0.7773,-0.05020000000000002,3.2176220165252687,0.9024679542541504,2.315154062271118,0.9971,0.9877,0.009399999999999964,0.5527423964073912,1.1238261880797793,-0.5710837916723881,1.1684840422473917,1.9856955647391008,-0.8172115224917091,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.0,2.4,2.4,0.0
cifar,alpha0p1,43,expert_prob_sr,expert_prob,a22684050910f5a4,1ada48c9639e6d5c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7048,0.7641,-0.05930000000000002,3.667044135284424,1.0589100246429444,2.6081341106414797,0.9833,0.9577,0.025599999999999956,0.5393550167663829,1.1223862432089349,-0.583031226442552,1.1489264599530318,1.9720120680167648,-0.823085608063733,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.0,2.4,2.4,0.0
cifar,alpha0p1,44,expert_prob_sr,expert_prob,5fb791d5c3fdef20,37aeec9803de227f,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6569,0.7497,-0.0928,4.135623593139648,1.1247953678131104,3.010828225326538,0.977,0.966,0.01100000000000001,0.6772487790847486,1.1837923584105716,-0.5065435793258231,1.4005470669432472,2.023083901177679,-0.6225368342344317,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
cifar,alpha0p5,42,expert_prob_sr,expert_prob,313f884cd8366ccc,1a5ec00c049ea18a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7232,0.7499,-0.026700000000000057,2.6434200553894045,0.785844102859497,1.8575759525299076,0.9902,0.9293,0.060899999999999954,0.8486370522518684,1.489613779940019,-0.6409767276881507,1.685351002430472,2.1757462467084903,-0.49039524427801817,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
cifar,alpha0p5,43,expert_prob_sr,expert_prob,649b5421aad84b2e,fcb2d6b803bea567,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7193,0.7615,-0.042199999999999904,2.375699154663086,0.7460794727325439,1.629619681930542,0.9913,0.9344,0.05689999999999995,0.7698326612555626,1.4642761844890415,-0.6944435232334789,1.5994285426528658,2.155654102811356,-0.5562255601584902,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,0.0,3.6,3.6,0.0
cifar,alpha0p5,44,expert_prob_sr,expert_prob,9e2d1b32bfb5f99b,43e1e8dbb73f2bc9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6987,0.75,-0.05130000000000001,3.12164776763916,0.8396518667221069,2.281995900917053,0.9822,0.9345,0.047699999999999965,0.792390573050323,1.3793831918242194,-0.5869926187738964,1.5781160782829506,2.1296452639602483,-0.5515291856772977,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
cifar,alpha1p0,42,expert_prob_sr,expert_prob,901f3616ed554925,647850f543c3374a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7446,0.771,-0.02639999999999998,2.081092249298096,0.7500233968734741,1.3310688524246217,0.9883,0.9052,0.08309999999999995,0.7793729925185585,1.3401403479531933,-0.5607673554346347,1.6731147278828349,2.0940857089282034,-0.42097098104536856,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.1,0.0,4.1,4.1,0.0
cifar,alpha1p0,43,expert_prob_sr,expert_prob,7b7ee002fd688e63,342176127b0855ce,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7107,0.7454,-0.03469999999999995,3.010198476409912,0.7433933478355408,2.2668051285743713,0.9438,0.8689,0.07489999999999997,0.925943889155579,1.5763668522951644,-0.6504229631395854,1.6779912192434836,2.1900683708490165,-0.5120771516055329,1000.0,1000.0,0.0,0.1,0.1,0.0,3.9,3.9,0.0,4.9,4.9,0.0
cifar,alpha1p0,44,expert_prob_sr,expert_prob,cf3b68f26236ee46,3f9ec0095a44e2b6,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.728,0.7503,-0.022299999999999986,2.306248474884033,0.8027165410995484,1.5035319337844846,0.9823,0.9117,0.0706,0.7943985745840734,1.4359060444522842,-0.6415074698682108,1.6527181604545298,2.1451626937592603,-0.4924445333047305,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
cifar,iid,42,expert_prob_sr,expert_prob,aadc4f910a8966d5,b25818fe5626557a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6692,0.7475,-0.07830000000000004,4.334282697296143,0.8006440430164338,3.533638654279709,0.8626,0.7923,0.07030000000000003,1.104086775619892,1.5140357059241016,-0.40994893030420965,1.7453132497509778,2.14505773788061,-0.39974448812963215,1000.0,1000.0,0.0,0.1,0.1,0.0,5.5,5.5,0.0,6.5,6.5,0.0
