dataset,regime,seed,client,file_sha256,state_sha256,valid,reason
mnist,iid,42,0,18f1cbf7f29fb54795aedefab8349b5991d08f2e4875eb3e706ebde2d056db92,3142cd258fef0dc8f082b9362f2d72b26fe32a138ed133c7aba178e4525f441b,True,
mnist,iid,42,1,3203d4f64743bc4a13584e7cdd4a45a95261ba58bbe0ce04d3c3bd40c8525f6b,28ae0d260e6f2c65e4c5c39e6c5ef0fd4a27a9675e9cb9cb5ac29c58f024045c,True,
mnist,iid,42,2,d175f22490c52a9ec3b67b1acd9888805146c4e277fa2dfba303f9309b3c0229,ec3883949eaa219d18af7989cbd3c95e5b8260d380c9d2da043cb430f4b7ae60,True,
mnist,iid,42,3,d8cc29915d2e9c2b96e52706da806345ebcb1d9ab6b2dc8d4a9adef979674681,53865c252eb4f96f0dd134e64c575f5ad2fd264f5d7a69b4f465b1c0116f694a,True,
mnist,iid,42,4,de374e1cdf1bc892d8a6c91306d6c5e285ac1fd8a8d2498dcece1dc8ecff19d9,ec7fd7569bb8f8d25234127ba084d398fda6ecdcf48b1e7f0eedaa03ed000f9f,True,
mnist,iid,42,5,f2b125d925b12d4958f8490e6c5bc2a5a6ff8d1b3dfbb171b7e8710ab5da014b,a6b327232127fd16f5a163642216ebb35f3ff1d918e678d8669a369be0e3c96a,True,
mnist,iid,42,6,77ab08390066b1da69b4ba350d8ef258cd34577251f9e2972c4f44dfcf97a551,fcd4d47ec934670607775d0c880dd2227496e1efa4d4816b8e4eca33a47e0aff,True,
mnist,iid,42,7,51aea17535f471978fd8fca463234f2a190d96fa751950e11c76a95484ec8414,0aae76532054eb4dfa5d43eb215d58045a696acda84be77d782d8ef07acc6c8f,True,
mnist,iid,42,8,729dcad459cfefe605c8cf2bec296ca363bc6e971bb302234020e3b383a16c54,2c9165439e16382604203d0d835be40797b6c179d916fbc736d3086a8ae1d270,True,
mnist,iid,42,9,7c1517b4b2b1ead96742bdf350805f9e9fcb8b5ccd993a93f5ae0fdaa538f3fd,93f6b90b97368328e61305b7e1ef72174efc609719f019d7de7cb0971db5e2f2,True,
