dataset,regime,method,metric,mean,n,seeds,source
mnist,iid,feddf_logit,student_test_accuracy,0.9837666666666668,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,feddf_prob,student_test_accuracy,0.9842333333333334,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,oracle_logit,student_test_accuracy,0.9849666666666668,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,oracle_prob,student_test_accuracy,0.9854333333333334,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,expert_prob,student_test_accuracy,0.9842333333333334,3,"42,43,44",published absolute anchor
mnist,iid,expert_prob_sr,student_test_accuracy,0.9842333333333334,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,supervised_proxy_ce,student_test_accuracy,0.9862333333333334,3,"42,43,44",published absolute anchor
mnist,iid,feddf_logit,student_test_nll,0.050916794972882096,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,feddf_prob,student_test_nll,0.0500574582820292,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,oracle_logit,student_test_nll,0.046603294265658304,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,oracle_prob,student_test_nll,0.0457631576729939,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,expert_prob,student_test_nll,0.049895311253999,3,"42,43,44",published absolute anchor
mnist,iid,expert_prob_sr,student_test_nll,0.049839644681553635,3,"42,43,44",absolute anchor plus paired mean differences
mnist,iid,supervised_proxy_ce,student_test_nll,0.049376982656603,3,"42,43,44",published absolute anchor
mnist,alpha1p0,feddf_logit,student_test_accuracy,0.9801333333333335,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,feddf_prob,student_test_accuracy,0.9810333333333335,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,oracle_logit,student_test_accuracy,0.9846000000000001,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,oracle_prob,student_test_accuracy,0.9845333333333335,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,expert_prob,student_test_accuracy,0.9822666666666668,3,"42,43,44",published absolute anchor
mnist,alpha1p0,expert_prob_sr,student_test_accuracy,0.9844666666666668,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,supervised_proxy_ce,student_test_accuracy,0.9862333333333334,3,"42,43,44",published absolute anchor
mnist,alpha1p0,feddf_logit,student_test_nll,0.061984914291192,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,feddf_prob,student_test_nll,0.058774169929178,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,oracle_logit,student_test_nll,0.0463516517691857,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,oracle_prob,student_test_nll,0.0462183477407477,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,expert_prob,student_test_nll,0.0540278255437267,3,"42,43,44",published absolute anchor
mnist,alpha1p0,expert_prob_sr,student_test_nll,0.0504750843995522,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha1p0,supervised_proxy_ce,student_test_nll,0.049376982656603,3,"42,43,44",published absolute anchor
mnist,alpha0p5,feddf_logit,student_test_accuracy,0.9617666666666668,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha0p5,feddf_prob,student_test_accuracy,0.9717666666666668,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha0p5,oracle_logit,student_test_accuracy,0.9839000000000001,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha0p5,oracle_prob,student_test_accuracy,0.9839666666666668,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha0p5,expert_prob,student_test_accuracy,0.9806,3,"42,43,44",published absolute anchor
mnist,alpha0p5,expert_prob_sr,student_test_accuracy,0.9814,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha0p5,supervised_proxy_ce,student_test_accuracy,0.9862333333333334,3,"42,43,44",published absolute anchor
mnist,alpha0p5,feddf_logit,student_test_nll,0.1198859174162148,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha0p5,feddf_prob,student_test_nll,0.08804589462094,3,"42,43,44",absolute anchor plus paired mean differences
mnist,alpha0p5,oracle_logit,student_test_nll,0.0518939258455298,3,"42,43,44",absolute anchor plus paired mean differences
