dataset,regime,mean,sd,n,seeds,contrast,metric
cifar,alpha0p1,-0.0674333333333333,0.0224344229552117,3,"42,43,44",support,student_test_accuracy
cifar,alpha0p5,-0.0400666666666666,0.012437979471495,3,"42,43,44",support,student_test_accuracy
cifar,alpha1p0,-0.0277999999999999,0.0063174361888348,3,"42,43,44",support,student_test_accuracy
cifar,iid,-0.0653333333333333,0.0123540816467001,3,"42,43,44",support,student_test_accuracy
cifar,multi,-0.0131333333333333,0.0108960237395727,3,"42,43,44",support,student_test_accuracy
cifar,single,0.0057333333333333,0.0087088078020663,3,"42,43,44",support,student_test_accuracy
fmnist,alpha0p1,-0.0100666666666667,0.0076225542525673,3,"42,43,44",support,student_test_accuracy
fmnist,alpha0p5,-0.0083666666666666,0.0073514170969502,3,"42,43,44",support,student_test_accuracy
fmnist,alpha1p0,-0.0028666666666666,0.0023115651263447,3,"42,43,44",support,student_test_accuracy
fmnist,iid,-0.0126333333333333,0.0036350149013908,3,"42,43,44",support,student_test_accuracy
fmnist,multi,-0.0005333333333333,0.0012662279942148,3,"42,43,44",support,student_test_accuracy
fmnist,single,0.0015666666666666,0.0036115555282084,3,"42,43,44",support,student_test_accuracy
mnist,alpha0p1,-0.0018333333333333,0.0017156145643277,3,"42,43,44",support,student_test_accuracy
mnist,alpha0p5,0.0008,0.0014798648586949,3,"42,43,44",support,student_test_accuracy
mnist,alpha1p0,0.0022,0.0002645751311064,3,"42,43,44",support,student_test_accuracy
mnist,iid,0.0,0.0,3,"42,43,44",support,student_test_accuracy
mnist,multi,-0.0034666666666666,0.0012013880860627,3,"42,43,44",support,student_test_accuracy
mnist,single,0.0005999999999999,0.0009848857801795,3,"42,43,44",support,student_test_accuracy
cifar,alpha0p1,2.644705466079712,0.3492760130822855,3,"42,43,44",support,student_test_nll
cifar,alpha0p5,1.9230638451258344,0.3310818340414887,3,"42,43,44",support,student_test_nll
cifar,alpha1p0,1.7004686382611591,0.4979845818931043,3,"42,43,44",support,student_test_nll
cifar,iid,2.770291814343134,0.6784359634912481,3,"42,43,44",support,student_test_nll
cifar,multi,4.1476322966257735,0.2876959066631703,3,"42,43,44",support,student_test_nll
cifar,single,3.615302626164754,0.134130472465861,3,"42,43,44",support,student_test_nll
fmnist,alpha0p1,0.7287402748743693,0.1410126383274253,3,"42,43,44",support,student_test_nll
fmnist,alpha0p5,0.5818160886685054,0.3067814632805655,3,"42,43,44",support,student_test_nll
fmnist,alpha1p0,0.6486743088245391,0.0986937148775532,3,"42,43,44",support,student_test_nll
fmnist,iid,1.079586348172029,0.2535263816557946,3,"42,43,44",support,student_test_nll
fmnist,multi,0.9096714441299438,0.192049160500497,3,"42,43,44",support,student_test_nll
fmnist,single,-0.1964143925684192,0.1587005819398404,3,"42,43,44",support,student_test_nll
mnist,alpha0p1,0.0342952763648722,0.0294080249000264,3,"42,43,44",support,student_test_nll
mnist,alpha0p5,0.0008374107818012,0.0032565708430207,3,"42,43,44",support,student_test_nll
mnist,alpha1p0,-0.0035527411441745,0.0026230603005322,3,"42,43,44",support,student_test_nll
mnist,iid,-5.566657244536708e-05,9.641733175858948e-05,3,"42,43,44",support,student_test_nll
mnist,multi,0.1775295677327123,0.0352596153311354,3,"42,43,44",support,student_test_nll
mnist,single,-0.0197064615768058,0.0058527042292536,3,"42,43,44",support,student_test_nll
cifar,alpha0p1,-0.5535528658135878,0.0411471756195171,3,"42,43,44",support,target_nll
cifar,alpha0p5,-0.6408042898985087,0.0537256597762098,3,"42,43,44",support,target_nll
cifar,alpha1p0,-0.6175659294808103,0.0493905863027272,3,"42,43,44",support,target_nll
cifar,iid,-0.4534424015272808,0.0388295161445719,3,"42,43,44",support,target_nll
cifar,multi,-0.3489145280072664,0.018278020134586,3,"42,43,44",support,target_nll
cifar,single,-0.3246119872999708,0.0184624016001494,3,"42,43,44",support,target_nll
fmnist,alpha0p1,-0.2731867399331493,0.0291752464477567,3,"42,43,44",support,target_nll
fmnist,alpha0p5,-0.2730016266553429,0.056383020623081,3,"42,43,44",support,target_nll
fmnist,alpha1p0,-0.2541207518580298,0.0414934552342043,3,"42,43,44",support,target_nll
fmnist,iid,-0.1545874160269692,0.0242542247977385,3,"42,43,44",support,target_nll
fmnist,multi,-0.0474720422506325,0.0084632255232619,3,"42,43,44",support,target_nll
fmnist,single,-3.525918138822266e-06,6.422606109310555e-07,3,"42,43,44",support,target_nll
mnist,alpha0p1,-0.2159390978935174,0.034749736625519,3,"42,43,44",support,target_nll
mnist,alpha0p5,-0.1309985168579306,0.0135336367681695,3,"42,43,44",support,target_nll
mnist,alpha1p0,-0.0781840779122593,0.011508804055054,3,"42,43,44",support,target_nll
mnist,iid,-0.0042113471387538,0.0072942672126314,3,"42,43,44",support,target_nll
mnist,multi,-0.0462614855417906,0.0049512800405698,3,"42,43,44",support,target_nll
mnist,single,-2.8523771565297278e-06,1.002815590365642e-06,3,"42,43,44",support,target_nll
